id,name
ID,filename
1,storehorse.horse4526
2,storehorse.horse4523
3,storehorse.horse2
4,storehorse.horse4503
5,storehorse.horse6
6,storehorse.horse3487
7,storehorse.horse4547
8,storehorse.horse4550
9,storehorse.horse4553
10,storehorse.horse4507
11,storehorse.horse10
12,storehorse.horse3
13,storehorse.horse4515
14,storehorse.horse4564
15,storehorse.horse9
16,storehorse.horse3489
17,storehorse.horse11
18,storehorse.horse4559
19,storehorse.horse13
20,storehorse.horse3492
21,storehorse.horse4527
22,storehorse.horse4521
23,storehorse.horse1
24,storehorse.horse4556
25,storehorse.horse4530
26,storehorse.horse4510
27,storehorse.horse4518
28,storehorse.horse4528
29,storehorse.horse3485
30,storehorse.horse12
31,storehorse.horse4560
32,storehorse.horse5
33,storehorse.horse3497
34,storehorse.horse4531
35,storehorse.horse4
36,storehorse.horse4529
37,buff.buff_attack_1
38,buff.buff_balala_xiaolan
39,buff.buff_balala_qiaoling
40,buff.buff_balala_meiqi
41,buff.buff_starcloud
42,buff.buff_cold
43,buff.buff_sheep
44,buff.buff_wither_1
45,buff.buff_freeze
46,buff.buff_soccer
47,buff.buff_diarrhea
48,buff.buff_hp_1
49,buff.buff_balala_meixue
50,buff.buff_fluorescence
51,buff.buff_dundun
52,buff.buff_pop
53,buff.buff_dumpling
54,buff.buff_chicken
55,buff.buff_damage_absorb
56,buff.buff_balala_youle
57,buff.buff_speed_1
58,buff.buff_damaged_1
59,buff.buff_light
60,buff.buff_balala_xiaomin
61,buff.buff_cow
62,buff.buff_sick_1
63,buff.buff_balala_caili
64,buff.buff_evil
65,music.theme1
66,music.boss_nianshou
67,music.bgm_day_1
68,music.bgm5
69,music.bgm_day_2
70,music.star_bossmusic_final
71,music.boss_voidwalker_1
72,music.bgm8
73,music.bgm_night_2
74,music.bgm_planet_day_3
75,music.bgm_planet_day_1
76,music.bgm_planet_land
77,music.tone.tone
78,music.bgm2
79,music.tiangoushiyue
80,music.boss_voidwalker_2
81,music.earthcore_boss
82,music.boss_earthcore_1
83,music.bgm_planet_day_2
84,music.bgm3
85,music.bgm_night_1
86,music.bgm_day_5
87,music.fx.fx4
88,music.fx.fx2
89,music.fx.fx3
90,music.fx.fx1
91,music.note.bass6
92,music.note.drum4
93,music.note.bass3
94,music.note.bass7
95,music.note.lead3
96,music.note.drum3
97,music.note.drum5
98,music.note.lead6
99,music.note.lead7
100,music.note.lead4
101,music.note.drum2
102,music.note.drum7
103,music.note.lead8
104,music.note.bass2
105,music.note.drum8
106,music.note.lead2
107,music.note.lead5
108,music.note.lead1
109,music.note.drum1
110,music.note.bass8
111,music.note.drum6
112,music.note.bass5
113,music.note.bass4
114,music.note.bass1
115,music.bgm_day_3
116,music.bgm6
117,music.bgm1
118,music.MiniStarBGM
119,music.earthcore_1
120,music.bgm_night_4
121,music.bgm_planet_day_4
122,music.bgm7
123,music.bgm_night_5
124,music.bgm_planet_night_1
125,music.instrument.C5_7
126,music.instrument.C4_6
127,music.instrument.C6_2#
128,music.instrument.C1_2#
129,music.instrument.C2_6
130,music.instrument.C4_1
131,music.instrument.C3_2
132,music.instrument.C1_4#
133,music.instrument.C4_6#
134,music.instrument.C1_3
135,music.instrument.C3_5
136,music.instrument.C4_2
137,music.instrument.C1_6
138,music.instrument.C6_2
139,music.instrument.C6_4
140,music.instrument.C5_5
141,music.instrument.C4_5#
142,music.instrument.C2_1#
143,music.instrument.C3_3
144,music.instrument.C2_3
145,music.instrument.C6_4#
146,music.instrument.C2_4#
147,music.instrument.C1_1#
148,music.instrument.C0_1
149,music.instrument.C1_5#
150,music.instrument.C5_4#
151,music.instrument.C2_4
152,music.instrument.C0_2
153,music.instrument.C5_4
154,music.instrument.C2_7
155,music.instrument.C0_5
156,music.instrument.C1_5
157,music.instrument.C3_1#
158,music.instrument.C6_6#
159,music.instrument.C4_2#
160,music.instrument.C3_1
161,music.instrument.C5_5#
162,music.instrument.C4_5
163,music.instrument.C0_3
164,music.instrument.C2_5#
165,music.instrument.C2_2
166,music.instrument.C2_2#
167,music.instrument.C0_4#
168,music.instrument.C0_6
169,music.instrument.C3_4
170,music.instrument.C0_5#
171,music.instrument.C0_4
172,music.instrument.C6_5#
173,music.instrument.C1_2
174,music.instrument.C3_4#
175,music.instrument.C4_3
176,music.instrument.C4_7
177,music.instrument.C0_1#
178,music.instrument.C2_1
179,music.instrument.C0_6#
180,music.instrument.C3_2#
181,music.instrument.C6_5
182,music.instrument.C5_2#
183,music.instrument.C3_6
184,music.instrument.C5_6#
185,music.instrument.C0_7
186,music.instrument.C6_6
187,music.instrument.C5_2
188,music.instrument.C5_1
189,music.instrument.C3_7
190,music.instrument.C4_4#
191,music.instrument.C1_6#
192,music.instrument.C6_3
193,music.instrument.C4_1#
194,music.instrument.C3_6#
195,music.instrument.C5_3
196,music.instrument.C1_4
197,music.instrument.C2_6#
198,music.instrument.C4_4
199,music.instrument.C1_1
200,music.instrument.C6_1
201,music.instrument.C5_1#
202,music.instrument.C1_7
203,music.instrument.C3_5#
204,music.instrument.C0_2#
205,music.instrument.C2_5
206,music.instrument.C6_1#
207,music.instrument.C5_6
208,music.instrument.C6_7
209,music.bgm_planet_night_2
210,music.bgm_day_4
211,music.bgm_earthcore_day_1
212,music.loop.bass_a1
213,music.loop.pad4
214,music.loop.pad1
215,music.loop.drum4
216,music.loop.bass3
217,music.loop.drum_a1
218,music.loop.bass_a2
219,music.loop.drum_a4
220,music.loop.pad_a3
221,music.loop.drum3
222,music.loop.pad_a1
223,music.loop.pad_a4
224,music.loop.pad3
225,music.loop.drum2
226,music.loop.drum_a2
227,music.loop.bass2
228,music.loop.pad_a2
229,music.loop.bass_a3
230,music.loop.pad2
231,music.loop.drum1
232,music.loop.bass_a4
233,music.loop.drum_a3
234,music.loop.bass4
235,music.loop.bass1
236,music.bgm_earthcore_night_1
237,music.bgm_planet_night_3
238,music.boss_golem_1
239,music.bgm4
240,music.bgm_night_3
241,act.act23
242,ui.bp.BPSound2
243,ui.bp.LVbp1
244,ui.info.experience_star
245,ui.info.achievement_complete
246,ui.info.achievement_reach
247,ui.info.tame_failed
248,ui.info.crafting_error
249,ui.info.book_seriesunlock
250,ui.info.death
251,ui.info.shop_unlock
252,ui.info.tame_success
253,ui.info.message_get
254,ui.info.guide_info
255,ui.info.book_unlock
256,ui.info.Shop_draw
257,ui.info.guide_complete
258,ui.info.guide_get
259,ui.info.voice_on
260,ui.info.crafting_success
261,ui.plant.plant_love_full
262,ui.plant.plant_guide_1
263,ui.plant.plant_water_get
