序号,动作名称,第三人称动作ID,第一人称动作ID,关联序号（关联animact的序号）,图标(没填不会出现在表情动作库里),特效,表情,触发器开放（1=人物动作 2=怪物动作 3=通用动作）,stringID
ID,Name,ActID,FpsActID,LinkID,icon,Effect,FaceID,TriggerType,stringID
1,打招呼,,,1,icon100140,,,1,15250
2,低头思考,,,2,icon100162,,,1,15251
3,哭泣,,,3,icon100159,,,1,15252
4,生气,,,4,icon100158,,,1,15253
5,伸懒腰,,,5,icon100163,,,1,15254
6,胜利（高兴）,,,6,icon100155,,,1,15255
7,感谢,,,7,icon100131,,,1,15256
8,休闲动作,,,8,icon100130,,,1,15257
9,倒地,,,9,icon100157,,,1,15258
10,pose1,,,10,icon100133,,,1,15259
11,站立,100100,,,icon100299,,,3,15260
12,跑,100101,,,icon100299,,,3,15261
13,躺下睡觉,100102,,,icon100299,,,3,15262
14,坐下,100103,,,icon100299,,,3,15263
15,游泳,100104,,,icon100299,,,3,15264
16,攻击,100105,,,icon100299,,,3,15265
17,死亡,100106,,,icon100299,,,3,15266
18,受击,100107,,,icon100299,,,3,15267
19,休闲,100108,,,icon100299,,,3,15268
20,跳,100109,,,icon100299,,,3,15269
100112,双手互搓,100112,,,,,,3,
100113,npc吃东西动作,100113,,,,,,3,
100114,FPS的Idle,100114,101100,,,,,3,
100115,FPS的Walk,100115,101101,,,,,3,
100116,FPS的Attack,100116,101105,,,,,3,
100117,FPS的EAT,100117,101110,,,,,3,
100118,TPS射箭,100118,,,,,,3,
100119,TPS吃东西,100119,,,,,,3,
100120,TPS射箭移动,100120,,,,,,3,
100121,,100121,,,,,,3,
100122,,100122,,,,,,3,
100123,,100123,,,,,,3,
100124,,100124,,,,,,3,
100125,,100125,,,,,,3,
100126,,100126,,,,,,3,
100127,耍帅AR,100127,,,,,,3,
100128,出场AR,100128,,,,,,3,
100129,舞蹈AR,100129,,,,,,3,
100130,FPS的拉弓准备,100130,,,,,,3,
100131,FPS的拉弓瞄准,100131,,,,,,3,
100132,FPS的拉弓射出,100132,,,,,,3,
100133,FPS的ARROWATTACK,100133,101111,,,,,3,
100134,消失动作,100134,,,,,,3,
100135,actoinIdle休闲动作,100135,,,,,,3,
100136,FPS手枪打枪动作,100136,101108,,,,,3,
100137,FPS步枪打枪动作,100137,,,,,,3,
100138,FPS手枪换子弹动作,100138,101113,,,,,3,
100139,FPS步枪换子弹动作,100139,,,,,,3,
100140,FPS手枪换枪,100140,,,,,,3,
100141,FPS步枪换枪,100141,,,,,,3,
100142,FPS手枪拉近瞄准,100142,,,,,,3,
100143,FPS手枪持枪待机,100143,101117,,,,,3,
100144,FPS步枪持枪待机,100144,,,,,,3,
100145,FPS手枪瞄准射击,100145,101109,,,,,3,
100146,FPS矛蓄力,100146,101121,,,,,3,
100147,FPS矛蓄力循环,100147,,,,,,3,
100148,FPS矛挖,100148,101120,,,,,3,
100149,TPS矛挖,100149,,,,,,3,
100150,FPS链锯挖,100150,,,,,,3,
100151,TPS链锯挖,100151,,,,,,3,
100152,金枪攻击,100152,,,,,,3,
100153,FPS狙击持枪待机,100153,,,,,,3,
100154,FPS狙击打枪动作,100154,,,,,,3,
