方块ID,方块名称,选取动作id,选取姿态tick
ID,Name,CorrespondingAction,CorrespondingPoseTick
200012,木质野人战士雕像,100105,500
200013,银质野人战士雕像,100105,500
200014,金质野人战士雕像,100105,500
200015,木质野人祭司雕像,100112,500
200016,银质野人祭司雕像,100112,500
200017,金质野人祭司雕像,100112,500
200018,木质野人投矛手雕像,100141,200
200019,银质野人投矛手雕像,100141,200
200020,金质野人投矛手雕像,100141,200
200021,木质野萌宝雕像,100163,1000
200022,银质野萌宝雕像,100163,1000
200023,金质野萌宝雕像,100163,1000
200024,木质毒素野人祭司雕像,100112,500
200025,银质毒素野人祭司雕像,100112,500
200026,金质毒素野人祭司雕像,100112,500
200027,木质治疗野人祭司雕像,100112,500
200028,银质治疗野人祭司雕像,100112,500
200029,金质治疗野人祭司雕像,100112,500
200030,木质雷电野人祭司雕像,100112,500
200031,银质雷电野人祭司雕像,100112,500
200032,金质雷电野人祭司雕像,100112,500
200033,木质火焰野人祭司雕像,100112,500
200034,银质火焰野人祭司雕像,100112,500
200035,金质火焰野人祭司雕像,100112,500
200036,木质蝙蝠雕像,100100,700
200037,银质蝙蝠雕像,100100,700
200038,金质蝙蝠雕像,100100,700
200039,木质符文怪雕像,100100,100
200040,银质符文怪雕像,100100,100
200041,金质符文怪雕像,100100,100
200042,木质虚空使徒雕像,100172,500
200043,银质虚空使徒雕像,100172,500
200044,金质虚空使徒雕像,100172,500
200045,木质海盗掠夺者雕像,100827,300
200046,银质海盗掠夺者雕像,100827,300
200047,金质海盗掠夺者雕像,100827,300
200048,木质海盗猎手雕像,100827,500
200049,银质海盗猎手雕像,100827,500
200050,金质海盗猎手雕像,100827,500
200051,木质爆爆蛋雕像,100163,800
200052,银质爆爆蛋雕像,100163,800
200053,金质爆爆蛋雕像,100163,800
200054,木质毒尾蝎雕像,100100,100
200055,银质毒尾蝎雕像,100100,100
200056,金质毒尾蝎雕像,100100,100
200057,木质海灵守卫雕像,100105,700
200058,银质海灵守卫雕像,100105,700
200059,金质海灵守卫雕像,100105,700
200060,木质沙灵守卫雕像,100105,600
200061,银质沙灵守卫雕像,100105,600
200062,金质沙灵守卫雕像,100105,600
200063,木质熔岩巨人雕像,100108,1500
200064,银质熔岩巨人雕像,100108,1500
200065,金质熔岩巨人雕像,100108,1500
200066,木质硫磺弓手雕像,100108,700
200067,银质硫磺弓手雕像,100108,700
200068,金质硫磺弓手雕像,100108,700
200069,木质萌眼叮叮雕像,100100,100
200070,银质萌眼叮叮雕像,100100,100
200071,金质萌眼叮叮雕像,100100,100
200072,木质萌眼咚咚雕像,100100,100
200073,银质萌眼咚咚雕像,100100,100
200074,金质萌眼咚咚雕像,100100,100
200075,木质萌眼当当雕像,100100,100
200076,银质萌眼当当雕像,100100,100
200077,金质萌眼当当雕像,100100,100
200078,木质萌眼咻咻雕像,100100,100
200079,银质萌眼咻咻雕像,100100,100
200080,金质萌眼咻咻雕像,100100,100
200081,木质冰灵守卫雕像,100130,1000
200082,银质冰灵守卫雕像,100130,1000
200083,金质冰灵守卫雕像,100130,1000
200084,木质寒霜野人祭司雕像,100105,600
200085,银质寒霜野人祭司雕像,100105,600
200086,金质寒霜野人祭司雕像,100105,600
200087,木质小型海盗船雕像,100100,5
200088,银质小型海盗船雕像,100100,5
200089,金质小型海盗船雕像,100100,5
200090,木质中型海盗船雕像,100100,5
200091,银质中型海盗船雕像,100100,5
200092,金质中型海盗船雕像,100100,5
200093,木质大型海盗船雕像,100100,5
200094,银质大型海盗船雕像,100100,5
200095,金质大型海盗船雕像,100100,5
