iD(方块ID),怪物ID,耐久度,刷怪时间下限/0.05s,刷怪时间上限/0.05s,一次刷怪数量,范围内同种怪最大数量,无视光亮规则:1是0否,地牢出现几率/万分率，权重式,
ID,MobResID,Duration,MinSpawnDelay,MaxSpawnDelay,SpawnCount,MaxSameMob,ForceSpawn,DungeonOdds,
810,3101,,100,300,4,6,1,,测试用
901,3101,3,200,300,2,6,1,10,野人战士刷怪笼
902,3102,2,200,300,1,6,1,1,野萌宝刷怪笼
903,3105,3,200,300,1,6,1,10,野人投矛手刷怪笼
904,3107,3,200,300,2,6,1,5,蜘蛛刷怪笼
906,3109,2,200,300,1,6,1,3,爆爆蛋刷怪笼
908,3130,,200,300,1,6,1,,熔岩巨人刷怪笼
909,3131,,200,300,1,6,1,,硫磺弓手刷怪笼
910,3400,,200,300,1,6,1,,鸡刷怪笼
911,3401,,200,300,1,6,1,,牛刷怪笼
912,3402,,200,300,1,6,1,,猪刷怪笼
913,3403,,200,300,1,6,1,,羊刷怪笼
915,3407,,200,300,1,6,1,,狼刷怪笼
917,3501,2,200,300,1,6,1,1,地心人刷怪笼
918,3502,1,200,300,1,1,1,,远古黑龙刷怪笼
745,3131,5,100,200,1,16,1,,黑龙硫磺弓手刷怪图腾
