家园等级,升级需要经验,宠物数量,家园作用（填stringid）,奖励包ID（填PackID）,勋章阶段,勋章等级,解锁称号
HomeLv,Exp,PetNum,StringID,AwardPackID,MedalStage,MedalLevel,TitleString
1,0,2,40351,9001,1,1,46100
2,30,2,40351,9002,1,,
3,200,4,40351,9003,1,,
4,5088,4,40351,9004,1,2,46101
5,8208,6,40351,9005,1,,
6,21528,6,40351,9001,1,,
7,40728,8,40351,9002,1,3,46102
8,51048,8,40351,9003,1,,
9,95208,9,40351,9004,1,,
10,154008,9,40351,9005,2,1,46103
11,226008,10,40351,9001,2,,
12,286488,10,40351,9002,2,,
13,362520,12,40351,9003,2,2,46104
14,457906,12,40351,9004,2,,
15,577345,14,40351,9005,2,,
16,726645,14,40351,9001,2,3,46105
17,912970,16,40351,9002,2,,
18,1029065,16,40351,9003,2,,
19,1161499,18,40351,9004,2,,
20,1312380,18,40351,9005,3,1,46106
21,1499333,20,40351,9001,3,,
22,1923221,20,40351,9002,3,,
23,2406705,20,40351,9003,3,2,46107
24,3053364,20,40351,9004,3,,
25,3851113,20,40351,9005,3,,
26,4834519,20,40351,9001,3,3,46108
27,6045936,20,40351,9002,3,,
28,7537232,20,40351,9003,3,,
29,9371902,20,40351,9004,3,,
30,11627644,20,40351,9005,4,1,46109
