物体ID,名称,类型[0=Projectile，1=Block],是否使用重力[0=不使用，1=使用],二次搭建[-1=不能二次搭建，0=可以二次搭建，不填默认值0],质量g,阻力,角阻力,材质ID,形状ID[0=球体，1=立方体，2=胶囊体],形状参数1,形状参数2,形状参数3,0=不能编辑且无物理效果，1=不能编辑但有物理效果，2=可编辑但无物理效果，3=可编辑且有物理效果,模型放缩,（暂不用）冻结x位移[0=不冻结，1=冻结],（暂不用）冻结y位移[0=不冻结，1=冻结],（暂不用）冻结z位移[0=不冻结，1=冻结],（暂不用）冻结x旋转[0=不冻结，1=冻结],（暂不用）冻结y旋转[0=不冻结，1=冻结],（暂不用）冻结z旋转[0=不冻结，1=冻结],（暂不用）中心
ActorID,,ActorType,UseGravity,SecondBuild,Mass,Drag,AngularDrag,MaterialID,ShapeID,ShapeVal1,ShapeVal2,ShapeVal3,EditType,ModelScale,FreezePositionX,FreezePositionY,FreezePositionZ,FreezeRotationX,FreezeRotationY,FreezeRotationZ,Center
10100,模板,0,1,,1500,0.5,0.5,10,0,50,,,2,1,,,,,,,
10103,模板,0,1,,1500,0.5,0.5,10,0,50,,,2,1,,,,,,,
12295,钢珠,0,0,,0,0,0,10,0,5,,,3,1,,,,,,,
12296,桌球,0,1,,5000,0.4,0.2,11,0,50,,,3,1,,,,,,,
12297,排球,0,1,,1500,0.5,0.4,12,0,50,,,3,1,,,,,,,
12298,木箱子,0,1,,5000,0.6,0.6,13,1,100,100,100,3,1,,,,,,,
15007,罐装手雷,0,1,,1500,0.4,0.4,11,2,10,18,1,3,1,,,,,,,
15008,菠萝手雷,0,1,,1500,0.3,0.3,11,0,17,,,3,1,,,,,,,
15522,长方体,0,1,,3000,0.5,0.5,2,1,200,300,100,1,1,,,,,,,
15523,胶囊体（竖）,0,1,,3000,0.5,0.5,1,2,25,50,1,1,1,,,,,,,
15524,球体,0,1,,3000,0.5,0.5,1,0,50,,,1,1,,,,,,,
15525,中心长方体,0,1,,3000,0.5,0.5,1,1,200,300,100,1,1,,,,,,,
15526,胶囊体（横）,0,1,,3000,0.5,0.5,1,2,25,50,0,1,1,,,,,,,
15527,胶囊体（直）,0,1,,3000,0.5,0.5,1,2,25,50,2,1,1,,,,,,,
12002,石矛,0,1,,3000,0.5,0.5,10,2,17,107,2,2,1,,,,,,,
12051,石箭,0,1,,1000,0.2,0.5,10,2,5,45,1,2,1,,,,,,,
12248,彩蛋,0,1,,1000,0.5,0.5,12,0,14,,,2,1,,,,,,,
12249,彩弹枪子弹,0,1,,500,0.2,0.2,12,0,4,,,2,1,,,,,,,
12280,大爆竹,0,1,,1000,0.5,0.5,10,2,9,7,1,2,1,,,,,,,
12282,石子,0,1,,300,0.5,0.5,13,0,4,,,2,1,,,,,,,
12285,火箭弹,0,1,,5000,0.3,0.5,11,2,12,14,2,2,1,,,,,,,
15003,子弹,0,1,,500,0.2,0.2,11,2,3,5,2,2,1,,,,,,,
11638,音爆罐子,0,1,,1500,0.4,0.4,11,2,10,18,1,3,1,,,,,,,
9997,微缩投掷,0,1,,1500,0.5,0.5,10,1,50,50,50,3,1,,,,,,,
1082,车身方块（测试用）,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1083,转向车轮,1,1,-1,20000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1084,驾驶座,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1085,机械车间,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1086,车间（测试）,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1087,动力车轮,1,1,-1,20000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1088,引擎（测试）,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1089,燃料引擎,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1090,无限引擎,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1091,乘客座,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1092,动作序列器,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1093,推进器001型,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1094,机翼,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1095,尾翼,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1096,航天推进器,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1099,油箱,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1153,测试：标记器（-）,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1154,测试：标记器（+）,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1155,测试：滑动方块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1156,测试：转轴方块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1157,测试：开关,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1158,球铰链方块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1159,铰链方块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
8,雕纹砖块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
104,岩石,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1040,球触碰方块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
105,青石,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
108,素纹黄砖,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
112,黑晶石,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
116,萌眼星石块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1160,机械爪,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1161,液压臂,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1164,避震器,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1165,升降绞绳,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1166,绞绳-尾部固定木桩,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1167,绞绳-绳子,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1168,红外感应方块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1169,光照感应器,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1170,高度感应器,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1171,速度感应器,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
124,硫黄岩,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
126,魔古岩,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
132,硫黄晶砂,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
135,神秘图腾-大地,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
136,神秘图腾-天空,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
200,樱桃木,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
201,落叶松木,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
202,白杨木,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
203,红杉木,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
204,楠木,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
205,胡桃木,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
206,木板,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
207,秋叶橙木板,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
208,象牙白木板,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
209,海棠红木板,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
