资源ID,资源分类（0=生物，1=角色，2=装扮，3=方块，4=道具）,对象ID,中文名称,资源路径,图片缩略图,后缀,下载模式,海外LITE（字段名：LITE+渠道号，目前的数字是随便填的，0=保留资源，1=去除资源）,教育版LITE（同左）,盒子版LITE（同左）
ResourceID,ResourceType,TargetID,备注用,ResourcePath,Encode,Ext,DownloadMode,LITE375,LITE501,LITE406
1,2,1,胖哒,,2,,1,,,
1,2,2,齐天小圣,,2,,1,,,
1,2,3,兔美美,,2,,1,,,
1,2,4,迷斯拉,,2,,1,,,
1,2,5,琉璃酱,,2,,1,,,
1,2,6,乔治,,2,,1,,,
1,2,7,安妮,,2,,1,,,
1,2,8,墨家小飞,,2,,1,,,
1,2,9,德古拉六世,,2,,1,,,
1,2,10,叮叮当,,2,,1,,,
1,2,11,荒原猎人雪诺,,2,,1,,,
1,2,12,羽姬,,2,,1,,,
1,2,13,慕容笑天,,2,,1,,,
1,2,14,西部警长乔伊,,2,,1,,,
1,2,15,篮球队长卢卡斯,,2,,1,,,
1,2,16,啦啦队长克莱尔,,2,,1,,,
1,2,17,西部玫瑰露西,,2,,1,,,
1,2,18,黑帽子船长蒂奇,,2,,1,,,
1,2,19,甜心玛丽,,2,,1,,,
1,2,20,程锦衣,,2,,1,,,
1,2,21,花小楼,,2,,1,,,
1,2,22,莉莉丝,,2,,1,,,
1,2,23,月无双,,2,,1,,,
1,2,24,叶小龙,,2,,1,,,
1,2,25,二郎神,,2,,1,,,
1,2,26,余小乐,,2,,1,,,
1,2,27,迷梭梭,,2,,1,,,
1,2,28,幻音,,2,,1,,,
1,2,29,幻-零式,,2,,1,,,
1,2,30,柳仙儿,,2,,1,,,
1,2,31,帕普奇,,2,,1,,,
1,2,32,米娜,,2,,1,,,
1,2,33,雪灵,,2,,1,,,
1,2,34,嘟嘟啵啵,,2,,1,,,
1,2,35,嘟嘟,,2,,1,,,
1,2,36,啵啵,,2,,1,,,
1,2,37,梦歌,,2,,1,,,
1,2,38,斩浪,,2,,1,,,
1,2,39,安吉洛斯,,2,,1,,,
1,2,40,暗星,,2,,1,,,
1,2,41,兰斯洛特,,2,,1,,,
1,2,42,喵小糖,,2,,1,,,
1,2,43,千兵卫,,2,,1,,,
1,2,44,星翼,,2,,1,,,
1,2,45,离,,2,,1,,,
1,2,46,黯,,2,,1,,,
1,2,47,啾啾,,2,,1,,,
1,2,48,华乐,,2,,1,,,
1,2,49,大毛,,2,,1,,,
1,2,50,乔克,,2,,1,,,
1,2,51,小艾,,2,,1,,,
1,2,52,擎天柱,,2,,1,,,
1,2,53,威震天,,2,,1,,,
1,2,54,慕斯,,2,,1,,,
1,2,55,金柚柚,,2,,1,,,
1,2,56,喜团团,,2,,1,,,
1,2,57,林千树,,2,,1,,,
1,2,58,大黄蜂,,2,,1,,,
1,2,59,花幽幽,,2,,1,,,
1,2,60,星灵,,2,,1,,,
1,2,61,雪球球,,2,,1,,,
1,2,62,爱丽丝,,2,,1,,,
1,2,63,蛙太郎,,2,,1,,,
1,2,64,红蜘蛛,,2,,1,,,
1,2,65,热破,,2,,1,,,
1,2,66,惊破天,,2,,1,,,
1,2,67,全能玩家劳尔,,2,,1,,,
1,2,68,电玩少女铃音,,2,,1,,,
1,2,69,青弦,,2,,1,,,
1,2,70,紫悦女孩,,2,,1,,,
1,2,71,宇宙公主女孩,,2,,1,,,
1,2,72,柔柔女孩,,2,,1,,,
1,2,73,月亮公主女孩,,2,,1,,,
1,2,74,钢锁,,2,,1,,,
1,2,75,飞标,,2,,1,,,
1,2,76,嚎叫,,2,,1,,,
1,2,77,色彩旅行者达奇,,2,,1,,,
1,2,78,塔莉娅,,2,,1,,,
1,2,79,森林隐者巫塔,,2,,1,,,
1,2,80,兔子先生拉比,,2,,1,,,
1,2,81,碧琪女孩,,2,,1,,,
1,2,82,白夜女巫卡洛儿,,2,,1,,,
1,2,83,余小欢,,2,,1,,,
1,2,84,章小丸,,2,,1,,,
1,2,85,熊小吉,,2,,1,,,
1,2,86,星光熠熠女孩,,2,,1,,,
1,2,87,云宝女孩,,2,,1,,,
1,2,88,音韵公主女孩,,2,,1,,,
1,2,89,初暮,,2,,1,,,
1,2,90,冲云霄,,2,,1,,,
1,2,91,利爪,,2,,1,,,
1,2,92,铁头,,2,,1,,,
1,2,93,野牛,,2,,1,,,
1,2,94,猛虎,,2,,1,,,
1,2,95,大鹏,,2,,1,,,
1,2,96,大无畏,,2,,1,,,
1,2,97,银剑,,2,,1,,,
1,2,98,弹弓,,2,,1,,,
1,2,99,俯冲,,2,,1,,,
1,2,100,空袭,,2,,1,,,
1,2,101,飞火,,2,,1,,,
1,2,102,圣婴,,2,,1,,,
1,2,103,魔炎,,2,,1,,,
1,2,104,灵瑶,,2,,1,,,
1,2,105,小红帽阿夏尔,,2,,1,,,
1,2,106,迷小酷,,2,,1,,,
1,2,107,狼少年沃尔夫,,2,,1,,,
1,2,108,天仙子雅,,2,,1,,,
1,2,109,临江仙颂,,2,,1,,,
1,2,110,红玫瑰少女仙杜瑞拉,,2,,1,,,
1,2,111,橘子,,2,,1,,,
1,2,112,绣球花少年查理斯,,2,,1,,,
1,2,113,泡泡,,2,,1,,,
1,2,114,朝露繁花,,2,,1,,,
1,2,115,冰公主,,2,,1,,,
1,2,116,罗丽,,2,,1,,,
1,2,117,白光莹,,2,,1,,,
1,2,118,灰姑娘克里斯汀,,2,,1,,,
1,2,120,小龙人麟休,,2,,1,,,
1,2,121,妙妙,,2,,1,,,
1,2,122,白天鹅奥杰塔,,2,,1,,,
1,2,123,时希,,2,,1,,,
1,2,124,洁莉,,2,,1,,,
1,2,125,快客小涡,,2,,1,,,
1,2,127,黑天鹅奥杰塔,,2,,1,,,
1,2,128,青蛙王子克劳德,,2,,1,,,
1,2,130,白雪公主索菲亚,,2,,1,,,
1,2,131,汉森,,2,,1,,,
1,2,132,格雷特,,2,,1,,,
1,2,136,哈鲁,,2,,1,,,
1,2,138,春雨,,2,,1,,,
1,2,139,清夏,,2,,1,,,
1,2,140,秋果,,2,,1,,,
1,2,141,小蓝,,2,,1,,,
1,2,142,童梦仙踪,,2,,1,,,
1,2,143,凌美琪,,2,,1,,,
1,2,144,凌美雪,,2,,1,,,
1,2,145,游乐王子,,2,,1,,,
1,2,146,璎落,,2,,1,,,
1,2,147,雷光,,2,,1,,,
1,2,148,凛冬,,2,,1,,,
1,2,149,珍奇女孩,,2,,1,,,
1,2,150,苹果嘉儿女孩,,2,,1,,,
1,2,151,阿拉灯,,2,,1,,,
1,2,152,匹诺曹,,2,,1,,,
1,2,153,塔莎,,2,,1,,,
1,2,154,殷小敏,,2,,1,,,
1,2,155,施巧灵,,2,,1,,,
1,2,156,彩俐公主,,2,,1,,,
1,2,158,血族魔法师洛特,,2,,1,,,
1,2,159,瑶月仙子,,2,,1,,,
1,2,160,玉团儿,,2,,1,,,
1,2,161,号手妮塔,,2,,1,,,
1,2,162,鼓手尼普,,2,,1,,,
1,2,163,龙响无双,,2,,1,,,
1,2,164,拾玖,,2,,1,,,
1,2,165,糖心小熊,,2,,1,,,
1,2,166,星月小梦,,2,,1,,,
1,2,167,星团公主波莉,,2,,1,,,
1,2,169,魂羽歌者莺初,,2,,1,,,
1,2,171,弥梦帝君空侯,,2,,1,,,
1,2,172,倪羽儿,,2,,1,,,
1,2,173,谢知礼,,2,,1,,,
1,2,174,驱魔人开斯特,,2,,1,,,
1,2,175,奥利维亚,,2,,1,,,
1,2,176,黑猫幽娜,,2,,1,,,
1,2,177,蜘蛛王子安德鲁,,2,,1,,,
1,2,178,极兽特工沃夫·银,,2,,1,,,
1,2,179,灵公主,,2,,1,,,
1,2,180,龙空空,,2,,1,,,
1,2,181,火鸡专家托克,,2,,1,,,
1,2,182,草莓酱贝瑞,,2,,1,,,
1,2,184,电音天后莎莎,,2,,1,,,
1,2,185,仙踪守护者悠妮,,2,,1,,,
1,2,186,云裳,,2,,1,,,
1,2,187,元祥儿,,2,,1,,,
1,2,188,颜廷怀,,2,,1,,,
1,2,189,舞狮游龙,,2,,1,,,
1,2,190,蜜多多,,2,,1,,,
1,2,191,沈一弦,,2,,1,,,
1,2,192,云胭,,2,,1,,,
1,2,193,苍鸿,,2,,1,,,
1,2,196,米兰达,,2,,1,,,
1,2,197,帝皇侠,,2,,1,,,
1,2,198,虎心玉,,2,,1,,,
1,2,199,虎啸丰,,2,,1,,,
1,2,200,艾菲莉,,2,,1,,,
1,2,201,泰林,,2,,1,,,
1,2,202,芙洛丝,,2,,1,,,
1,2,203,霓裳物语,,2,,1,,,
1,2,204,炎龙侠,,2,,1,,,
1,2,208,小海侠莫塔,,2,,1,,,
1,2,209,花火,,2,,1,,,
1,2,210,魔闪闪,,2,,1,,,
1,2,211,烽灵,,2,,1,,,
1,2,212,陶梦蝶,,2,,1,,,
1,2,214,雪莉,,2,,1,,,
1,2,219,梦魇之月女孩,,2,,1,,,
1,2,220,格莉菲塔,,2,,1,,,
1,2,221,莱柯,,2,,1,,,
1,2,222,觉醒者妮妮,,2,,1,,,
1,2,223,觉醒者卡卡,,2,,1,,,
1,2,224,银铃,,2,,1,,,
1,2,225,可瑞尔,,2,,1,,,
1,2,226,刑天侠,,2,,1,,,
1,2,227,风鹰侠,,2,,1,,,
1,2,228,长发公主萝拉,,2,,1,,,
1,5,,,res/entity/player/player12,,.omod,1,,,
1,5,,,res/entity/player/playerAR,,.omod,1,,,
1,5,,,res/entity/player/share,,.omod,1,,,
1,5,,,res/sounds/ui/button/button_click.ogg,,,1,,,
1,5,,,res/sounds/music/theme1.ogg,,,1,,,
1,5,,,res/blocks/transfer_static.png,,,1,,,
1,5,,,res/blocks/water_still.png,,,1,,,
1,5,,,res/blocks/honey_still.png,,,1,,,
1,5,,,res/blocks/transfer_flow.png,,,1,,,
1,5,,,res/blocks/transfer_static_emi.png,,,1,,,
1,5,,,res/blocks/transfer_flow_emi.png,,,1,,,
1,5,,,res/blocks/lava_flow_emi.png,,,1,,,
1,5,,,res/blocks/portal.png,,,1,,,
1,5,,,res/blocks/lava_flow.png,,,1,,,
1,5,,,res/blocks/lava_still_emi.png,,,1,,,
1,5,,,res/blocks/lava_still.png,,,1,,,
1,5,,,res/blocks/water_flow.png,,,1,,,
1,5,,,res/blocks/honey_flow.png,,,1,,,
1,5,,,res/blocks/grass_side.png,,,1,,,
1,5,,,res/blocks/grass_side_overlay.png,,,1,,,
1,5,,,res/blocks/grass_side_snowed.png,,,1,,,
1,5,,,res/blocks/grass_top.png,,,1,,,
1,5,,,res/blocks/cosmicgrass_side_overlay.png,,,1,,,
1,5,,,res/blocks/cosmicgrass_side.png,,,1,,,
1,5,,,res/blocks/cosmicgrass_top.png,,,1,,,
1,5,,,res/entity/13808/body.omod,,,1,,,
1,5,,,res/itemmods/coord,,.omod,1,,,
1,5,,,res/entity/custommodel,,.omod,1,,,
1,5,,,res/entity/100039/body.omod,,.omod,1,,,
1,5,,,res/entity/player/player12/body.png,,,1,,,
1,5,,,res/entity/player/player12/face.png,,,,,,
