特性ID,名称（仅备注用）,特性名称,图标（填文件夹.文件名）,描述,类型（0普通，1特殊）,使用类型（0加属性，1冒险时触发）,特性等级,特性效果数量,特性效果,效果值1,效果值2,效果值2,效果值2
SkillID,Name,SkillName,Icon,Desc,Type,UseType,SkillLv,SkillFunctionNum,Function1_ID,Function1_Val1,Function1_Val2,Function1_Val3,Function1_Val4
1,负重1,41760,itemskillicons.1001,41762,0,1,0,1,1,15,,,
2,负重2,41761,itemskillicons.1001,41762,0,1,0,1,2,5,,,
3,速度1,41763,itemskillicons.1003,41765,0,1,0,1,3,15,,,
4,速度2,41764,itemskillicons.1003,41765,0,1,0,1,4,5,,,
5,耐力1,41766,itemskillicons.1005,41768,0,1,0,1,5,15,,,
6,耐力2,41767,itemskillicons.1005,41768,0,1,0,1,6,5,,,
7,经验,41769,itemskillicons.1007,41770,0,1,0,1,7,5,,,
8,能力值1,41771,itemskillicons.1008,41773,0,1,0,1,8,50,,,
9,能力值2,41772,itemskillicons.1008,41773,0,1,0,1,9,5,,,
10,冒险精神,41774,itemskillicons.1010,41775,0,1,0,1,10,5,,,
11,耐热,41750,itemskillicons.1011,41751,1,1,0,1,11,,,,
12,耐寒,41752,itemskillicons.1012,41753,1,1,0,1,12,,,,
13,飞行,41754,itemskillicons.1013,41755,1,1,0,1,13,,,,
14,挖掘,41756,itemskillicons.1014,41757,1,1,0,1,14,,,,
15,潜水,41758,itemskillicons.1015,41759,1,1,0,1,15,,,,
