函数ID,名称,返回类型【类型（parm表可查），区分左右值（0=左右值|1=仅右值），局部触发器中是否显示（1=显示（默认）|0=隐藏）】,返回类型名称,UI分类,UI显示类型名称,描述,描述备注,参数1,参数1默认值,参数2,参数2默认值,参数3,参数3默认值,参数4,参数4默认值,参数5,参数5默认值,参数6,参数6默认值,参数7,参数7默认值,参数8,参数8默认值,参数9,参数9默认值,参数10,参数10默认值,触发器显示（0=默认全部可见 1=仅开发者可见 2=仅999渠道可见）,触发器提示版本号（填写版本号的第二位）
ID,Name,ReturnType,,Type,TypeName,Desc,,Param1,DefaultParam1,Param2,DefaultParam2,Param3,DefaultParam3,Param4,DefaultParam4,Param5,DefaultParam5,Param6,DefaultParam6,Param7,DefaultParam7,Param8,DefaultParam8,Param9,DefaultParam9,Param10,DefaultParam10,Display,Version
10001,位置转化为区域,"1001,1",区域,1,通用,以|@1|为中心点，尺寸为（|@2|，|@3|，|@4|）的区域,以【位置】为中心点，尺寸为（长【数值】，高【数值】，宽【数值】）的区域,"1002,1",,"1005,1",1|0,"1005,1",1|0,"1005,1",1|0,,,,,,,,,,,,,0,
10002,区域偏移,"1001,1",区域,1,通用,@1|沿坐标轴偏移（|@2|，|@3|，|@4|）,【区域】沿坐标轴偏移（【数值】，【数值】，【数值】）,"1001,1",,"1005,1",1|0,"1005,1",1|0,"1005,1",1|0,,,,,,,,,,,,,0,
10003,扩大区域,"1001,1",区域,1,通用,将|@1|三轴大小分别扩大X|@2|，Y|@3|，Z|@4|格,将【区域】三轴大小分别扩大【数值】，【数值】，【数值】格,"1001,1",,"1005,1",1|0,"1005,1",1|0,"1005,1",1|0,,,,,,,,,,,,,0,
10005,指定坐标位置,"1002,1",位置,1,通用,坐标值 X|@1|Y|@2|Z|@3|的位置,坐标值 X【数值】Y【数值】Z【数值】的位置,"1005,1",1|0,"1005,1",1|0,"1005,1",1|0,,,,,,,,,,,,,,,0,
10006,位置偏移（改变原位置）,"1002,1",位置,1,通用,@1|沿坐标轴偏移（|@2|，|@3|，|@4|）,【位置】沿坐标轴偏移（【数值】，【数值】，【数值】）,"1002,1",,"1005,1",1|0,"1005,1",1|0,"1005,1",1|0,,,,,,,,,,,,,0,
10007,区域的中央位置,"1002,1",位置,1,通用,@1|的中央位置,【区域】的中央位置,"1001,1",,,,,,,,,,,,,,,,,,,,0,
10008,区域中的随机位置,"1002,1",位置,1,通用,@1|的随机位置,【区域】的随机位置,"1001,1",,,,,,,,,,,,,,,,,,,,0,
10009,计时器时间,"1005,1",数值,1,通用,@1|的时间,【计时器】的时间,"1040,1",,,,,,,,,,,,,,,,,,,,0,
10010,指定方向射线的长度,"1005,1",数值,1,通用,以|@1|起，向|@2|投射|@3|格的射线，返回阻挡方块到起始位置之间的射线长度,以【位置】起，向【位置】投射【数值】格的射线，返回阻挡方块到起始位置之间的射线长度,"1002,1",,"1002,1",,"1005,1",1|0,,,,,,,,,,,,,,,0,
