交易项ID/每一项都不重复,组ID/不同商人的组ID可以重复,道具ID,商人ID/1游商2沙漠3雪地,交易类型（0收购1出售2以物换物）,出现权重,数量下限/以物换物的时候NPC卖的,数量上限,价格下限/单位星星,价格上限/单位星星,物物ID/以物换物的时候付出的,物物数量下限,物物数量上限,交易限制次数,附魔标记,附魔价格浮动下限/百分比,附魔价格浮动上限/百分比,名称,单价,广告显示,
ID,GroupID,ItemID,NpcID,TradeType,Weight,NumFloor,NumCeil,PriceFloor,PriceCeil,PayItemID,PayItemNumFloor,PayItemNumCeil,LockNum,EnchantFlag,EnchPriceFloor,EnchPriceCeil,Name,Price,ADShow,
1,1,11201,3011,0,100,30,50,1,1,,,,10,,,,凝能晶,0.0228,,
2,1,11207,3011,0,100,8,12,1,1,,,,10,,,,炽炎,0.30615,,
3,2,710,3011,0,100,10,25,1,1,,,,10,,,,丝线,0.0299,,
4,2,11306,3011,0,100,20,64,1,1,,,,10,,,,不稳定化合物,0.009,,
5,2,12527,3011,0,100,20,45,1,1,,,,10,,,,蟹腿,0.0299,,
6,3,600,3011,0,100,20,50,1,1,,,,10,,,,棉花块,0.032,,
7,3,11303,3011,0,100,20,50,1,1,,,,10,,,,细羽毛,0.032,,
8,3,12052,3011,0,100,30,60,1,1,,,,10,,,,嘟嘟鸟蛋,0.016,,
9,3,12522,3011,0,100,25,64,1,1,,,,10,,,,墩墩肉,0.0213,,
10,3,12516,3011,0,100,25,64,1,1,,,,10,,,,沃沃兽肉,0.016,,
11,4,229,3011,0,100,30,120,1,1,,,,10,,,,玉米,0.0051,,
12,4,230,3011,0,100,20,50,1,1,,,,10,,,,巨布鲁果,0.0102,,
13,4,236,3011,0,100,30,80,1,1,,,,10,,,,青瓜,0.0051,,
14,4,239,3011,0,100,20,50,1,1,,,,10,,,,巨鳞羽果,0.0102,,
15,4,241,3011,0,100,30,64,1,1,,,,10,,,,番薯,0.0051,,
16,5,12051,3011,1,100,8,15,1,1,,,,5,,,,石箭,0.0868,1,
17,5,12212,3011,1,100,1,1,10,20,,,,1,,,,链甲胸甲,0.23036875,,
18,5,12213,3011,1,100,1,1,8,15,,,,1,,,,链甲护腿,0.2065375,,
19,5,12223,3011,1,100,1,1,8,15,,,,1,,,,秘银护腿,0.44485,,
20,6,633,3011,1,100,5,10,1,1,,,,5,,,,玻璃块,0.2,1,
21,6,634,3011,1,100,5,10,1,1,,,,5,,,,玻璃块,0.2,1,
22,6,635,3011,1,100,5,10,1,1,,,,5,,,,玻璃块,0.2,1,
23,6,636,3011,1,100,5,10,1,1,,,,5,,,,玻璃块,0.2,1,
24,6,637,3011,1,100,5,10,1,1,,,,5,,,,玻璃块,0.2,1,
25,6,638,3011,1,100,5,10,1,1,,,,5,,,,玻璃块,0.2,1,
26,6,639,3011,1,100,5,10,1,1,,,,5,,,,玻璃块,0.2,1,
27,6,640,3011,1,100,5,10,1,1,,,,5,,,,玻璃块,0.2,1,
28,6,641,3011,1,100,5,10,1,1,,,,5,,,,玻璃块,0.2,1,
29,6,642,3011,1,100,5,10,1,1,,,,5,,,,玻璃块,0.2,1,
30,6,643,3011,1,100,5,10,1,1,,,,5,,,,玻璃块,0.2,1,
31,6,644,3011,1,100,5,10,1,1,,,,5,,,,玻璃块,0.2,1,
32,6,645,3011,1,100,5,10,1,1,,,,5,,,,玻璃块,0.2,1,
33,6,646,3011,1,100,5,10,1,1,,,,5,,,,玻璃块,0.2,1,
34,6,647,3011,1,100,5,10,1,1,,,,5,,,,玻璃块,0.2,1,
