序号,"类型[1道具,2生物,3投射物,4方块]",关联的ID,子分类[类型=生物时，1=生物，2=角色],子分类[类型=生物时，1=生物，2=角色；类型=道具时，1=工具，2=武器，3=其他，4=装备],分类名称StringID,名称备注,形状ID[0=球体，1=立方体，2=胶囊体],形状参数1,形状参数2,形状参数3,海外开放（0和空为在国内海外都开放，1为只在国内开放，2为只在海外开放）
ID,Type,RelevantID,Class,ClassEX,ClassNameID,,ShapeID,ShapeVal1,ShapeVal2,ShapeVal3,RegionType
1,1,817,1,1,4130,火炬,2,6,28,1,
2,1,11001,1,1,4130,黄铜斧,1,8,75,35,
3,1,11002,1,1,4130,石斧,1,8,75,35,
4,1,11003,1,1,4130,秘银斧,1,8,75,35,
5,1,11004,1,1,4130,钛合金斧,1,8,75,35,
6,1,11005,1,1,4130,链锯,1,22,20,88,
7,1,11011,1,1,4130,黄铜镐,1,14,71,70,
8,1,11012,1,1,4130,石镐,1,14,71,70,
9,1,11013,1,1,4130,秘银镐,1,14,71,70,
10,1,11014,1,1,4130,钛合金镐,1,14,71,70,
11,1,11015,1,1,4130,钻头,1,40,31,78,
12,1,11021,1,1,4130,黄铜铲,1,23,71,35,
13,1,11022,1,1,4130,石铲,1,23,71,35,
14,1,11023,1,1,4130,秘银铲,1,23,71,35,
15,1,11024,1,1,4130,钛合金铲,1,23,71,35,
16,1,11025,1,1,4130,钨金铲,1,23,71,35,
17,1,11031,1,1,4130,黄铜耙,1,27,69,41,
18,1,11032,1,1,4130,石耙,1,27,69,41,
19,1,11033,1,1,4130,秘银耙,1,27,69,41,
20,1,11034,1,1,4130,钛合金耙,1,27,69,41,
21,1,11035,1,1,4130,钨金耙,1,27,69,41,
22,1,11058,1,1,4130,捕鱼网,1,27,29,26,
23,1,11059,1,1,4130,拐杖糖镐,1,4,73,24,
24,1,11060,1,1,4130,棒棒糖斧,1,12,81,39,
25,1,11061,1,1,4130,大宝剑,1,7,76,31,
26,1,11062,1,1,4130,大宝铲,1,19,81,24,
27,1,11070,1,1,4130,扳手,1,6,47,22,
28,1,11302,1,1,4132,兽骨,1,25,104,25,
29,1,11315,1,1,4130,地心之眼,0,15,,,
30,1,12001,2,2,4131,木棒,2,18,29,1,
31,1,12002,2,2,4131,石矛,2,17,107,2,
32,1,12003,2,2,4131,短剑,1,6,73,24,
33,1,12004,2,2,4131,突刺长枪,2,14,61,2,
