控制端名称,控制端,子类,执行端,子类,执行端名称,控制关系类型[0=UI通电激活，1=UI2态使用，2=UI3态使用，3=通电激活，4特殊处理],默认连接[0=否，1=是],开放编辑[0=否，1=是]
,ControlPortPartsType,ControlPortSubType,WorkPortPartsType,WorkPortSubType,,ControlRelationType,DefaultConnect,CanEdit
驾驶座,3,1,1,1,车轮,2,1,0
驾驶座,3,1,2,1,引擎,2,1,0
驾驶座,3,1,2,2,推进器,0,1,1
驾驶座,3,1,5,1,电路电源,1,0,1
驾驶座,3,1,5,2,电路执行,0,0,1
驾驶座,3,1,5,3,控制器,0,0,1
驾驶座,3,1,5,4,关节,0,0,1
乘客座,3,2,2,2,推进器,0,0,1
乘客座,3,2,5,1,电路电源,1,0,1
乘客座,3,2,5,2,电路执行,0,0,1
乘客座,3,2,5,3,控制器,0,0,1
乘客座,3,2,5,4,关节,0,0,1
电路电源,5,1,2,2,推进器,3,0,1
电路电源,5,1,5,2,电路执行,3,0,1
电路电源,5,1,5,3,控制器,3,0,1
电路电源,5,1,5,4,关节,3,0,1
控制器,5,3,5,4,关节,4,0,1
船舵,3,1,2,4,螺旋推进器,2,1,0
船舵,3,1,2,1,引擎,2,1,0
船舵,3,1,2,2,推进器,0,1,1
船舵,3,1,5,1,电路电源,1,0,1
船舵,3,1,5,2,电路执行,0,0,1
船舵,3,1,5,3,控制器,0,0,1
船舵,3,1,5,4,关节,0,0,1
