道具ID,名称,食材类型（0=食材，1=非食材）,食物类型（0=生的，1=篝火烹饪的，2=锅烹饪的，3=加工的）,使用时间,增加饥饿度,增加饥饿耐力,增加治疗血量,动物治疗血量,增加治疗血量（溢出）,恢复体力值,恢复温度,获取护盾,获取毅力,获得氧气值,附加状态1ID,状态1等级,状态1获得概率,附加状态2ID,状态2等级,状态2获得概率,附加状态3ID,状态3等级,状态3获得概率,保留容器,是否投掷（无效）,影响范围半径（无效）,随机状态(1:是否随机获得状态),"清除状态(1:清除随机状态, 2:清除随机有害状态)",食物效果,野人选择优先级（0不选择，1最高优先级，数字越大优先级越低）,烧烤类型（1=生肉，2=熟肉，3=糊肉）
ID,Name,IngredientsType,Type,UseTime,AddFood,AddFoodSat,HealAmount,HealAnimal,HealAmountSpill,HealStamina,AddTemperature,GetShield,GetInsistence,GetOxygen,BuffID1,BuffLevel1,BuffOdds1,BuffID2,BuffLevel2,BuffOdds2,BuffID3,BuffLevel3,BuffOdds3,Container,UseMethod,EffectRadius,RandomBuff,ClearBuff,FoodEffect,ChoosePriority,BarbecueType
226,土笋,,0,30,0,0,0,0,,15,,,,,76,1,5000,,,,,,,,,,,,拉肚子,,
227,紫苏,,0,30,0,0,0,0,,15,,,,,76,1,5000,,,,,,,,,,,,拉肚子,,
228,独葵,,0,30,5,0,0,10,,15,,,,,,,,,,,,,,,,,,,,6,
230,巨布鲁果,,0,30,25,12,0,,,30,,,,,,,,,,,,,,,,,,,,4,
236,青瓜,,0,30,10,9,0,10,,15,,,,,,,,,,,,,,,,,,,"圣夜雪橇、福牛坐骑,九色鹿的食物",5,
241,番薯,,0,30,10,3,0,10,,15,,,,,,,,,,,,,,,,,,,,5,
266,变异土笋,,0,30,10,1,0,,,15,,,,,102,1,10000,53,1,5000,53,2,7500,,,,,,增加荧光BUFF，挖掘增益、减益随机,5,
267,变异紫苏,,0,30,10,1,0,,,15,,,,,102,1,10000,52,1,5000,52,2,7500,,,,,,增加荧光BUFF，恢复、中毒随机,5,
270,星光孢子,1,0,30,10,1,0,,,15,,,,,102,1,10000,38,2,7500,16,1,5000,,,,,,增加荧光BUFF，夜视、晕头转向BUFF随机,5,
271,星光孢子,1,0,30,10,1,0,,,15,,,,,102,1,10000,38,2,7500,16,1,5000,,,,,,,5,
272,星光孢子,1,0,30,10,1,0,,,15,,,,,102,1,10000,38,2,7500,16,1,5000,,,,,,,5,
273,星光孢子,1,0,30,10,1,0,,,15,,,,,102,1,10000,38,2,7500,16,1,5000,,,,,,,5,
274,星光孢子,1,0,30,10,1,0,,,15,,,,,102,1,10000,38,2,7500,16,1,5000,,,,,,,5,
275,星光孢子,1,0,30,10,1,0,,,15,,,,,102,1,10000,38,2,7500,16,1,5000,,,,,,,5,
276,星光孢子,1,0,30,10,1,0,,,15,,,,,102,1,10000,38,2,7500,16,1,5000,,,,,,,5,
277,星光孢子,1,0,30,10,1,0,,,15,,,,,102,1,10000,38,2,7500,16,1,5000,,,,,,,5,
278,星光孢子,1,0,30,10,1,0,,,15,,,,,102,1,10000,38,2,7500,16,1,5000,,,,,,,5,
279,星光孢子,1,0,30,10,1,0,,,15,,,,,102,1,10000,38,2,7500,16,1,5000,,,,,,,5,
280,星光孢子,1,0,30,10,1,0,,,15,,,,,102,1,10000,38,2,7500,16,1,5000,,,,,,,5,
281,星光孢子,1,0,30,10,1,0,,,15,,,,,102,1,10000,38,2,7500,16,1,5000,,,,,,,5,
282,星光孢子,1,0,30,10,1,0,,,15,,,,,102,1,10000,38,2,7500,16,1,5000,,,,,,,5,
283,星光孢子,1,0,30,10,1,0,,,15,,,,,102,1,10000,38,2,7500,16,1,5000,,,,,,,5,
284,星光孢子,1,0,30,10,1,0,,,15,,,,,102,1,10000,38,2,7500,16,1,5000,,,,,,,5,
285,星光孢子,1,0,30,10,1,0,,,15,,,,,102,1,10000,38,2,7500,16,1,5000,,,,,,,5,
295,大椰子,,0,30,5,0,0,,,15,,,,,,,,,,,,,,,,,,,,6,
378,乔木果实,,0,30,20,10,10,,,0,,,,,6,4,10000,,,,,,,11407,,,,,,,
465,洋红毒菇,,0,30,0,0,0,0,,15,,,,,76,1,8000,,,,,,,,,,,,拉肚子,,
685,竖纹糖块,1,0,30,30,10,30,,,0,,,,,6,3,10000,,,,,,,,,,,,,,
