接口ID,类型ID,类型名,类型备注,函数名-不用翻译,函数标题-不用翻译,描述1参数及类型,描述2返回值及类型-不用翻译,描述3该方法的主要作用,描述4具体使用案例如下-不用翻译
ID,Type,TypeName,,FunctionName,FunctionDesc,Desc1,Desc2,Desc3,Desc4
10001,1,游戏管理,Game,doGameEnd,Game:doGameEnd(),nil,ErrorCode.OK,结束比赛,local result = Game:doGameEnd()
10002,1,游戏管理,Game,setScriptVar,"Game:setScriptVar(index, val)","index:number从1开始索引, val:number自定义的值",ErrorCode.OK,设置脚本参数，供自定义使用,"local result = Game:setScriptVar(index, val)"
10003,1,游戏管理,Game,getScriptVar,Game:getScriptVar(index),index:number从1开始索引,"ErrorCode.OK, val:number自定义的值",获取脚本参数，自定义使用,local result = Game:getScriptVar(index)
10004,1,游戏管理,Game,sendScriptVars2Client,Game:sendScriptVars2Client(),nil,ErrorCode.OK,上传设置好的脚本参数,local result = Game:sendScriptVars2Client()
10005,1,游戏管理,Game,addRenderGlobalEffect,Game:addRenderGlobalEffect(path),path:string,"ErrorCode.OK, effectid:number",新增全局效果,local result = Game:addRenderGlobalEffect(path)
10006,1,游戏管理,Game,removeRenderGlobalEffect,Game:removeRenderGlobalEffect(effectid),effectid:number,ErrorCode.OK,移除全局效果,local result = Game:removeRenderGlobalEffect(effectid)
10007,1,游戏管理,Game,setRenderGlobalEffectPos,"Game:setRenderGlobalEffectPos(effectid, x, y, z)","effectid:number, x|y|z:number",ErrorCode.OK,设置全局效果位置,"local result = Game:setRenderGlobalEffectPos(effectid, x, y, z)"
10008,1,游戏管理,Game,setRenderGlobalEffectScale,"Game:setRenderGlobalEffectScale(effectid, scalex, scaley, scalez)","effectid:number, scalex|scaley|scalez:number",ErrorCode.OK,设置全局效果缩放,"local result = Game:setRenderGlobalEffectScale(effectid, scalex, scaley, scalez)"
10009,1,游戏管理,Game,msgBox,Game:msgBox(msg),,,messagebox,local result = Game:msgBox(msg)
20001,2,世界管理,World,isDaytime,World:isDaytime(),none,"ErrorCode.OK, result:boolean",是否是白天,"local isDayTx = World:isDaytime()
if isDayTx~=ErrorCode.OK then --如果是夜晚则给玩家发火把
	local itemId, itemCnt = 817, 2 --火把Id和数量
	Player:gainItems(playerId, itemId, itemCnt, 1)
end"
20002,2,世界管理,World,isCustomGame,World:isCustomGame(),none,"ErrorCode.OK, result:boolean",是否是自定义游戏,"local result = World:isCustomGame()
if result==ErrorCode.OK then print('当前游戏是自定义游戏') end"
