目标ID,目标归属标签(0关闭，1主线，2生产，3战斗，4探索),解锁方式（0默认解锁，1完成前置任务后解锁）,显隐模式（0默认显示，1完成所有前置任务后显示，2完成任意前置任务后显示，3完成自身任意任务后显示）,名称,前置任务ID1（链接SurviveTaskDef.csv的ID）,前置任务ID2（链接SurviveTaskDef.csv的ID）,前置任务ID3（链接SurviveTaskDef.csv的ID）,目标奖励类型（0道具，1星星）,目标奖励（奖励为星星则不填或填0）,奖励数量,目标ICON（路径：Assetruntime\Assets\Resources\ui\ObjectiveIcon）,备注（包含任务种类）
ID,Group,UnlockType,DisplayMode,Name,FrontID1,FrontID2,FrontID3,RewardType,RewardID,RewardNum,Icon,
1001,1,0,0,战胜虚空！,,,,0,,,icon_xukong_,主线最终任务
1002,1,0,0,为晨曦而努力,,,,0,,,icon_beginner_tutorial1,新手教程1，收集资源、方块交互、睡觉
1003,1,1,1,新晋探索者,1002014,,,0,,,icon_beginner_tutorial2,新手教程2，吃饭、矿物冶炼
1004,1,0,2,学无止境,1003009,1006006,1004001,0,,,icon_advanced1,进阶教程1，耕地种植、石锅烹饪、据点建设
1005,1,1,1,熟练探索者,1004016,,,0,,,icon_advanced2,进阶教程2，装备制作、工匠台升级、工具维修、矿物材料升级、符文镶嵌
1006,1,0,2,星链工程师,1004016,1006001,,0,,,icon_planet_travel,星站流程，星站修复与升级、空岛探索
1007,1,0,2,雨林迷踪,1006008,1007001,,0,,,icon_yusheshen,羽蛇神流程，雨林探索、羽蛇神战斗、神圣树种植
1008,1,1,1,亘古试炼,1006008,,,0,,,icon_heilong_,黑龙流程，烈焰星探索、黑龙战斗、黑龙多形态战斗
1009,1,1,1,超“石”空救援,1006008,,,0,,,icon_stone_giant,石巨人流程，萌眼星探索、石巨人战斗
2001,2,0,3,工具匠人,,,,0,,,icon_tool_making,工具制作的累计
2002,2,0,3,森林护卫,,,,0,,,icon_tree_planting,树木种植的教学与累计
2003,2,0,3,花语者,,,,0,,,icon_raise_flowers,花的种植累计
2004,2,0,3,农田守望者,,,,0,,,icon_grow_vegetables,作物种植的进阶教学和累计
2005,2,1,1,畜牧物语,1004003,,,0,,,icon_breeding_animals,动物养殖的教学和累计
2006,2,1,1,驯兽大师,1004003,,,0,,,icon_tame_an_animal,生物驯服的累计
2007,2,1,1,厨艺入门,1003001,,,0,,,icon_bonfire,篝火烹饪的累计
2008,0,1,1,高级厨师,1004008,,,0,,,icon_stone_pot,石锅烹饪的累计
2009,0,0,3,特级大厨,,,,0,,,icon_silver_pot,秘银锅烹饪的教学和累计
2010,2,0,3,大艺术家,,,,0,,,icon_literature_and_art,乐器、染色系统的教学和制作累计
2011,2,0,3,垂钓传奇,,,,0,,,icon_angle,钓鱼系统的教学和累计
2012,2,0,3,勘矿专家,,,,0,,,icon_collection_and_smelting,矿物挖掘的累计
3001,3,0,3,武器工匠,,,,0,,,icon_weapon_production,武器制作的累计
3002,3,0,3,防具技师,,,,0,,,icon_armor_production,防具制作的累计
3003,3,0,3,符文之力渴望者,,,,0,,,icon_runestone,符文石镶嵌的累计
3004,3,0,3,狂战无双,,,,0,,,icon_monster_killing,击杀怪物的累计
3005,3,0,3,荒野猎手,,,,0,,,icon_biological_killing,击杀生物的累计
4001,4,0,2,可靠的伙伴,2006001,4001001,1001005,0,,,icon_savage,野人伙伴系统的教学
4002,4,0,3,我所存在的痕迹,,,,0,,,icon_footmark,生存天数累计、激活图腾累计
4003,4,0,3,沙原旅者,,,,0,,,icon_desert_dventure,沙漠生态的支线流程
4004,4,0,3,海底三万里,,,,0,,,icon_haiyangmaoxian,海洋生态的支线流程
4005,4,0,3,极地游志,,,,0,,,icon_iceplain,冰原生态的支线流程
4006,0,1,1,星能电路（预留）,地质学家-星能矿冶炼1,,,0,,,icon_star_energy_circuit,电路教学
4007,0,0,3,机械载具（预留）,,,,0,,,icon_mechanical_vehicle,载具教学
