ID[整型],名称[string],界面大类[整型](      1.AI事件 2.AI装饰器 3.AI组合 4.AI条件 5.AI动作 6.AI取值 7.AI变量),"界面子类[整型]【1通用，2游戏，3玩家，4生物，5方块，6道具，7变量，8控制，9自定义，10数学，11组，12计时器，13界面，14特效，15音频，16图文信息，17开发者，18赋值，19数据存储，21区域，22位置，23数值，24字符串，25布尔值，26生物类型，27排行榜，28表,29世界,30对象,101搜索对象 , 102移动, 103攻击】",形状类型[数值](      1.AI事件 2.AI装饰器 3.AI组合 4.AI条件 5.AI动作 6.AI取值 7.AI变量 8.全局变量  9.AI根节点),简略显示[数值]【在库里是否缩略显示，1=是，0=否】,描述[string],图标[string],使用场景过滤[string],·,左右值标记[整型],返回值[整型],参数1类型[string],参数1默认值[string],参数2类型,参数2默认值,参数3类型,参数3默认值,参数4类型,参数4默认值,参数5类型,参数5默认值,参数6类型,参数6默认值,显示控制（0=默认全部可见 1=仅开发者可见 2=仅999渠道可见 3=4位数迷你号可见  4 = 仅国内可见  5 = 仅海外可见 6 = 仅国内开发者可见 7 = 仅海外开发者可见 8 = 不显示）,积木间距值（间距值默认为60，超过60会开始变高）,说明,"生成规则[ 0 =lua ,1=c++]",,"内部节点[0,外部开放节点 ；  1,内部使用节点]",[]
ID,Name,Type,Sort,BlockType,SimpleDisplay,Desc,Icon,SceneFilter,TranParam,LeftRightSign,ReturnValue,ParamType1,ParamDefault1,ParamType2,ParamDefault2,ParamType3,ParamDefault3,ParamType4,ParamDefault4,ParamType5,ParamDefault5,ParamType6,ParamDefault6,Display,HeightPx,Notes,GenerateType,真排序,,
100001,当 受到攻击,1,2,1,1,"当 受到攻击时,将攻击者存储于%1",20,"1,1,0,1,1,0",,,47,1048|0|0,,,,,,,,,,,,,,9401001,,,,
100002,当 受到道具交互,1,2,1,1,"当 受到其他对象持有的%1交互时,将对象存储在%2内",2,"1,1,0,1,1,0",,,,1028|1|0,2|200,1048|0|0,,,,,,,,,,,,9401002,,,,
100003,当 接收广播,1,2,1,1,当 收到广播%1,5,"1,99,0,1,1,0",,,,1090|1|0,,,,,,,,,,,,,,9401003,1,,,
100004,当 听到周边音频,1,2,1,1,"当 听到以%1为中心周围%2格内%3时,将音频位置存储于%4",17,"1,1,0,1,1,0",,,,1048|1|0,3|600101,1005|1|0,1|10,1046|1|0,,1002|0|0,,,,,,,,9401004,,,,
200001,取反,2,1,2,1,以下节点返回值取反,,"1,1,0,1,1,0",,,,,,,,,,,,,,,,,,9401005,1,,,
200002,仅执行一次,2,1,2,1,以下节点仅执行一次,,"1,1,0,1,1,0",,,,,,,,,,,,,,,,,,9401006,1,,,
200003,循环,2,1,2,1,循环执行%1次,,"1,1,0,1,1,0",,,,1005|1|0,1|2,,,,,,,,,,,,,9401007,1,,,
200004,总是成功,2,1,2,1,返回成功,,"1,1,0,1,1,0",,,,,,,,,,,,,,,,,,9401008,1,,,
200005,总是失败,2,1,2,1,返回失败,,"1,1,0,1,1,0",,,,,,,,,,,,,,,,,,9401009,1,,,
300001,顺序执行,3,1,3,1,顺序执行%1,,"1,1,0,1,1,0",,,,1203|1|0,5|2030001,,,,,,,,,,,,,9401010,1,,,
300002,选择执行,3,1,3,1,选择执行%1,,"1,1,0,1,1,0",,,,1203|1|0,5|2030001,,,,,,,,,,,,,9401011,1,,,
300003,同时执行,3,1,3,1,同时执行%1%2,,"1,1,0,1,1,0",,,,1204|1|0,5|2040002,1205|1|0,5|2050002,,,,,,,,,,,9401012,1,,,
400201,游戏时间,4,2,4,1,%1%2%3,12,"1,1,0,1,1,0",,,,1005|1|0,3|600205,1016|1|2,5|120001,1005|1|0,1|10,,,,,,,,,9401013,,,,
400203,位置处于区域判断,4,2,4,1,%1%2处于%3中,12,"1,1,0,1,1,0",,,,1002|1|0,,1012|1|2,5|90001,1001|1|0,,,,,,,,,,9401014,,,,
400204,位置与位置之间的距离,4,2,4,1,%1%2%3,12,"1,1,0,1,1,0",,,,1005|1|0,3|600104,1016|1|2,5|120001,1005|1|0,1|1,,,,,,,,,9401015,,,,
400205,对象属性判断,0,0,0,1,%1%2%3,12,"1,1,0,1,1,0",,,,1005|1|0,3|600201,1016|1|2,5|120001,1005|1|0,1|10,,,,,,,,,,,,,
400206,对象间队伍关系判断,4,2,4,1,%1与%2的队伍关系为%3,12,"1,1,0,1,1,0",,,,1048|1|0,,1048|1|0,,1206|1|2,5|2060002,,,,,,,,,9401017,,,,
400207,对象是否存在,4,2,4,1,%1存在,12,"1,1,0,1,1,0",,,,1048|1|0,,,,,,,,,,,,,,9401016,,,,
400208,对象类型判断,4,2,4,1,%1的类型%2%3,12,"1,1,0,1,1,0",,,,1048|1|0,3|600101,1016|1|2,5|120001,1106|1|0,,,,,,,,,,9401018,,,,
400209,对象手持道具类型判断,4,6,4,1,%1手持道具类型%2%3,1,"1,1,0,1,1,0",,,,1048|1|0,3|600101,1016|1|2,5|120001,1028|1|0,2|200,,,,,,,,,,,,,
400210,内部-是否为虚空之夜,4,2,4,1,当前是特殊夜晚,12,"1,1,0,1,1,0",,,,,,,,,,,,,,,,2,,,,,,
400211,对象状态效果判断,4,2,4,1,%1%2处于%3中,12,"1,1,0,1,1,0",,,,1048|1|0,3|600101,1012|1|2,5|90001,1037|1|0,2|4001,,,,,,,,,,,,,
400301,玩家属性判断,4,3,4,1,%1%2%3,8,"1,1,0,1,1,0",,,,1005|1|0,3|600301,1016|1|2,5|120001,1005|1|0,1|10,,,,,,,8,,9401019,,,,
400302,周边是否有玩家存在,4,3,4,1,%1存在,8,"1,1,0,1,1,0",,,,1048|1|0,3|610102,,,,,,,,,,,8,,9401020,,,,
400311,玩家属性判断,4,3,4,1,%1%2%3,8,"1,1,0,1,1,0",,,,1005|1|0,3|600311,1016|1|2,5|120001,1005|1|0,1|10,,,,,,,,,9401019,,,,
400312,周边是否有玩家存在,4,3,4,1,%1存在,8,"1,1,0,1,1,0",,,,1018|1|0,3|600312,,,,,,,,,,,,,9401020,,,,
400401,生物属性判断,4,4,4,1,%1%2%3,5,"1,1,0,1,1,0",,,,1005|1|0,3|600401,1016|1|2,5|120001,1005|1|0,1|10,,,,,,,8,,9401021,,,,
400402,周边是否有生物存在,4,4,4,1,%1存在,5,"1,1,0,1,1,0",,,,1048|1|0,3|600405,,,,,,,,,,,8,,9401020,,,,
400411,生物属性判断,4,4,4,1,%1%2%3,5,"1,1,0,1,1,0",,,,1005|1|0,3|600411,1016|1|2,5|120001,1005|1|0,1|10,,,,,,,,,9401021,,,,
400412,周边是否有生物存在,4,4,4,1,%1存在,5,"1,1,0,1,1,0",,,,1031|1|0,3|600415,,,,,,,,,,,,,9401020,,,,
400421,内部-生物是否处于持盾状态,4,4,4,1,%1处于持盾状态,5,"1,1,0,1,1,0",,,,1031|1|0,,,,,,,,,,,,2,,,,,,
400422,生物是否处于抱起状态,4,4,4,1,%1处于抱起状态,5,"1,1,0,1,1,0",,,,1031|1|0,,,,,,,,,,,,,,,,,,
400501,周边是否存在特定方块,4,5,4,1,%1上有方块存在,2,"1,1,0,1,1,0",,,,1002|1|0,,,,,,,,,,,,,,9401022,,,,
400502,位置处的方块类型判断,4,5,4,1,%1的方块类型为%2,2,"1,1,0,1,1,0",,,,1002|1|0,,1025|1|0,2|200,,,,,,,,,,,9401023,,,,
400601,道具属性判断,0,6,0,1,%1%2%3,1,"1,1,0,1,1,0",,,,1005|1|0,3|600601,1016|1|2,5|120001,1005|1|0,,,,,,,,,,9401024,,,,
400602,周边是否存在特定道具,4,6,4,1,%1存在,1,"1,1,0,1,1,0",,,,1048|1|0,3|600605,,,,,,,,,,,,,9401022,,,,
400611,道具属性判断,0,6,0,1,%1%2%3,1,"1,1,0,1,1,0",,,,1005|1|0,3|600611,1016|1|2,5|120001,1005|1|0,,,,,,,,,,9401024,,,,
401001,数值比较,4,10,4,1,%1%2%3,6,"1,1,0,1,1,0",,,,1005|1|0,1|0,1016|1|2,5|120001,1005|1|0,1|10,,,,,,,,,,,,,
401002,布尔值比较,4,10,4,1,%1%2%3,6,"1,1,0,1,1,0",,,,1014|1|0,5|320001,1012|1|2,5|90001,1014|1|0,5|320001,,,,,,,,,,,,,
401003,字符串比较,4,10,4,1,%1%2%3,6,"1,1,0,1,1,0",,,,1010|1|0,1|300198,1012|1|2,5|90001,1010|1|0,1|300198,,,,,,,,,,,,,
401004,位置比较,4,10,4,1,%1%2%3,6,"1,1,0,1,1,0",,,,1002|1|0,,1016|1|2,5|120001,1002|1|0,,,,,,,,,,,,,,
401005,对象比较,4,10,4,1,%1%2%3,6,"1,1,0,1,1,0",,,,1048|1|0,,1012|1|2,5|90001,1048|1|0,,,,,,,,,,,,,,
401201,计时器时间判断,4,12,4,1,%1%2%3,6,"1,1,0,1,1,0",,1,,1005|1|0,3|601201,1016|1|2,5|120001,1005|1|0,,,,,,,,,,,,,,
500101,设置数值,5,1,5,1,设置%1为%2,6,"1,1,0,1,1,0",,,,1005|0|0,,1005|1|0,1|0,,,,,,,,,,,,,,,
500102,设置字符串,5,1,5,1,设置%1为%2,6,"1,1,0,1,1,0",,,,1010|0|0,,1010|1|0,1|300198,,,,,,,,,,,,,,,
500103,设置布尔值,5,1,5,1,设置%1为%2,6,"1,1,0,1,1,0",,,,1014|0|0,,1014|1|0,5|320002,,,,,,,,,,,,,,,
500104,设置对象,5,1,5,1,设置%1为%2,6,"1,1,0,1,1,0",,,,1048|0|0,,1048|1|0,,,,,,,,,,,,,,,,
500105,设置位置,5,1,5,1,设置%1为%2,6,"1,1,0,1,1,0",,,,1002|0|0,,1002|1|0,,,,,,,,,,,,,,,,
500106,设置区域,5,1,5,1,设置%1为%2,6,"1,1,0,1,1,0",,,,1001|0|0,,1001|1|0,,,,,,,,,,,,,,,,
500107,设置玩家,5,1,5,1,设置%1为%2,6,"1,1,0,1,1,0",,,,1018|0|0,,1018|1|0,,,,,,,,,,,,,,,,
500108,设置生物,5,1,5,1,设置%1为%2,6,"1,1,0,1,1,0",,,,1031|0|0,,1031|1|0,,,,,,,,,,,,,,,,
500201,改变对象属性,0,0,0,1,使%1的%2%3%4,8,"1,1,0,1,1,0",,,,1048|1|0,,1020|1|2,5|140001,1120|1|2,5|840001,1005|1|0,1|0,,,,,,,,,,,
500202,等待时间,5,2,5,1,等待%1秒后，执行下一个节点,12,"1,1,0,1,1,0",,,,1005|1|0,1|1,,,,,,,,,,,,,9401027,1,,,
500203,发送广播,5,2,5,1,发送广播%1,12,"1,1,0,1,1,0",,,,1090|1|0,,,,,,,,,,,,,,9401026,,,,
500204,设置对象朝向,5,2,5,1,使%1朝向%2缓动时间%3秒,12,"1,1,0,1,1,0",,,,1048|1|0,3|600101,1002|1|0,,1005|1|0,1|1,,,,,,,,,9401025,,,,
500205,设置对象队伍,5,2,5,1,设置%1的队伍为%2,12,"1,1,0,1,1,0",,,,1048|1|0,,1207|1|0,,,,,,,,,,,,9401028,,,,
500206,改变外观,0,2,0,1,改变%1的外观为%2,12,"1,1,0,1,1,0",,,,1048|1|0,3|600101,1060|1|0,2|163,,,,,,,,,,,9401029,,,,
500207,替换对象,0,2,0,1,"替换%1为%2,%3保留血量百分比",12,"1,1,0,1,1,0",,,,1048|1|0,,1032|1|2,2|3400,1012|1|2,5|90001,,,,,,,,,9401030,,,,
500208,骑乘对象,0,2,0,1,骑乘%1,12,"1,1,0,1,1,0",,,,1048|1|0,,,,,,,,,,,,,,9401031,,,,
500209,内部-播放动画,5,2,5,1,"播放ID为%1的动画,持续%2秒",12,"1,1,0,1,1,0",,,,1005|0|0,,1005|0|0,2|0,,,,,,,,,2,,9401032,,,,
500301,改变玩家属性,0,3,0,1,使玩家%1的%2%3%4,8,"1,1,0,1,1,0",,,,1048|1|0,,1020|1|2,5|140001,1120|1|2,5|840001,1005|1|0,1|1,,,,,,,9401033,,,,
500311,改变玩家属性,5,3,5,1,使%1的%2%3%4,8,"1,1,0,1,1,0",,,,1018|1|0,,1020|1|2,5|140001,1120|1|2,5|840001,1005|1|0,1|1,,,,,,,9401033,,,,
500401,改变生物属性,0,4,0,1,使生物%1的%2%3%4,5,"1,1,0,1,1,0",,,,1048|1|0,,1035|1|2,5|140001,1120|1|2,5|840001,1005|1|0,1|1,,,,,,,9401034,,,,
500411,改变生物属性,5,4,5,1,使%1的%2%3%4,5,"1,1,0,1,1,0",,,,1031|1|0,,1035|1|2,5|140001,1120|1|2,5|840001,1005|1|0,1|1,,,,,,,9401034,,,,
500412,改变外观,5,4,5,1,改变%1的外观为%2,5,"1,1,0,1,1,0",,,,1031|1|0,,1060|1|0,2|163,,,,,,,,,,,9401029,,,,
500413,替换生物,5,4,5,1,"替换%1为%2,%3保留血量百分比",5,"1,1,0,1,1,0",,,,1031|1|0,,1032|1|0,2|3400,1012|1|2,5|90001,,,,,,,,,9401030,,,,
500414,骑乘生物,5,4,5,1,骑乘%1,5,"1,1,0,1,1,0",,,,1031|1|0,,,,,,,,,,,,,,9401031,,,,
500415,创建生物,5,4,5,1,在%1创建%2生物,5,"1,1,0,1,1,0",,,,1002|1|0,,1032|1|0,2|3400,,,,,,,,,,,,,,,
500416,击败生物,5,4,5,1,击败%1,5,"1,1,0,1,1,0",,,,1031|1|0,,,,,,,,,,,,,,9401055,,,,
500417,删除生物,5,4,5,1,删除%1,5,"1,1,0,1,1,0",,,,1031|1|0,,,,,,,,,,,,,,9401056,,,,
500418,抱起生物,5,4,5,1,抱起%1,5,"1,1,0,1,1,0",,,,1031|1|0,,,,,,,,,,,,,,,,,,
500419,放下抱起的生物,5,4,5,1,放下抱起的生物,5,"1,1,0,1,1,0",,,,,,,,,,,,,,,,,,,,,,
500420,设置生物死亡掉落,5,4,5,1,"设置此单位死亡时,%1%的概率,掉落%2个%3",5,"1,1,0,1,1,0",,,,1005|1|0,100,1005|1|0,100,1028|1|0,2|200,,,,,,,,,,,,,
500501,挖方块,5,5,5,1,"靠近%1并挖掘,%2方块掉落",2,"1,1,0,1,1,0",,,,1002|1|0,,1013|1|2,5|100002,,,,,,,,,,,,1,,,
500502,与方块交互,0,5,0,1,与%1的方块进行交互,,"1,1,0,1,1,0",,,,1002|1|0,,,,,,,,,,,,,,,,,,
500503,破坏方块,5,5,5,1,"破坏%1位置的方块,%2方块掉落",2,"1,1,0,1,1,0",,,,1002|1|0,,1013|1|2,5|100002,,,,,,,,,,,9401035,,,,
500504,放置方块,5,5,5,1,在%1放置%2，朝向为%3,2,"1,1,0,1,1,0",,,,1002|1|0,,1025|1|0,2|200,1003|1|2,5|20001,,,,,,,,,9401036,,,,
500505,替换方块,5,5,5,1,替换在%1上的方块为%2，朝向%3,2,"1,1,0,1,1,0",,,,1002|1|0,,1025|1|0,2|200,1003|1|2,5|20001,,,,,,,,,9401037,,,,
500506,破坏区域内的方块,5,5,5,1,"破坏%1内的方块,间隔%2秒,%3方块掉落",2,"1,1,0,1,1,0",,,,1001|1|0,,1005|1|0,1|0,1013|1|2,5|100002,,,,,,,0,,9401037,,,,
500602,存储物品,5,6,5,1,将%1个%2存储到%3,1,"1,1,0,1,1,0",,,,1005|1|0,1|1,1028|1|0,2|200,1002|1|0,,,,,,,,,,9401038,,,,
500603,拿出背包道具并放在手上,5,6,5,1,把背包内%1放在手上,1,"1,1,0,1,1,0",,,,1028|1|0,2|200,,,,,,,,,,,,,9401039,,,,
500604,生成道具并直接放入背包,5,6,5,1,生成%1并直接放入背包,1,"1,1,0,1,1,0",,,,1028|1|0,2|200,,,,,,,,,,,,,9401040,,,,
500605,拾取周边道具并放入背包,5,6,5,1,捡起周边%1格内的%2放入背包,1,"1,1,0,1,1,0",,,,1005|1|0,1|10,1028|1|0,2|200,,,,,,,,,,,9401041,,,,
500606,生成道具并直接放在手上,5,6,5,1,生成%1并直接放在手上,1,"1,1,0,1,1,1",,,,1028|1|0,2|200,,,,,,,,,,,,,,,,,
501201,运行计时器,5,12,5,1,启动%1,12,"1,1,0,1,1,0",,,,1040|1|0,,,,,,,,,,,,,,,,,,
501202,暂停计时器,5,12,5,1,暂停%1,12,"1,1,0,1,1,0",,,,1040|1|0,,,,,,,,,,,,,,,,,,
501203,恢复计时器,5,12,5,1,恢复%1,12,"1,1,0,1,1,0",,,,1040|1|0,,,,,,,,,,,,,,,,,,
501204,重置计时器,5,12,5,1,重置%1,12,"1,1,0,1,1,0",,,,1040|1|0,,,,,,,,,,,,,,,,,,
501401,在指定位置播放特效,5,14,5,1,"在%1播放%2,大小%3",7,"1,1,0,1,1,0",,,,1002|1|0,,1045|1|0,,1005|1|0,1|1,,,,,,,,,,,,,
501402,在对象身上播放特效,5,14,5,1,"在%1身上播放%2,大小%3",7,"1,1,0,1,1,0",,,,1048|1|0,,1045|1|0,,1005|1|0,1|1,,,,,,,,,,,,,
501403,删除指定位置的特效,5,14,5,1,删除%1的%2特效,7,"1,1,0,1,1,0",,,,1002|1|0,,1045|1|0,,,,,,,,,,,,,,,,
501404,删除对象身上的特效,5,14,5,1,删除%1身上的%2特效,7,"1,1,0,1,1,0",,,,1048|1|0,,1045|1|0,,,,,,,,,,,,,,,,
501501,播放音频,5,15,5,1,"在%1播放%2,音量%3,循环%4",11,"1,1,0,1,1,0",,,,1002|1|0,,1046|1|0,,1005|1|0,1|100,1012|1|2,5|90002,,,,,,,,,,,
510201,移动到指定位置,5,102,5,1,"移动到%1,速度%2,%3允许改变朝向",15,"1,1,0,1,1,0",,,,1002|1|0,,1005|1|0,1|1,1012|1|2,5|90001,,,,,,,,,9401042,,,,
510202,随机位置移动,5,102,5,1,"以%1为中心在%2格内随机移动,速度%3,%4允许改变朝向。",15,"1,1,0,1,1,0",,,,1002|1|0,,1005|1|0,1|10,1005|1|0,1|2,1012|1|2,5|90001,,,,,,,9401043,,,,
510203,跟随对象移动,5,102,5,1,"跟随%1移动,并保持%2距离,速度%3,%4允许改变朝向",15,"1,1,0,1,1,0",,,,1048|1|0,,1005|1|0,1|2,1005|1|0,1|2,1012|1|2,5|90001,,,,,,,9401044,,,,
510204,指定路线移动,5,102,5,1,"按照%1移动,速度%2,%3往返",15,"1,1,0,1,1,0",,,,1062|1|0,,1005|1|0,1|2,1012|1|2,5|90001,,,,,,,,,9401045,,,,
510205,远离位置移动,5,102,5,1,"远离%1移动,速度%2,远离时间%3秒",15,"1,1,0,1,1,0",,,,1002|1|0,,1005|1|0,1|2,1005|1|0,1|2,1012|1|2,5|90001,,,,,,,9401046,,,,
