模版ID,组件名字,备注,组件图标,模版分类 111基础 112玩法 113装饰,模版名字,排序ID
ID,Name,Note,Icon,Type,ResourceName,SortId
16000000,立方体,立方体,cube,111,cube,1
16000001,球体,球体,sphere,111,sphere,2
16000002,圆柱,圆柱,cylinder,111,cylinder,3
16000003,圆锥,圆锥,cone,111,cone,4
16000004,楔形,楔形,wedge,111,wedge,5
11000005,碗,空心半球,bowl,113,bowl,10
11000006,星星,星星,star,113,star,20
11000007,半圆柱,半圆柱,halfround,113,halfround,30
11000008,桌子,桌子,desk,113,desk,40
11000009,板凳,板凳,stool,113,stool,50
11000010,木板,木板,plank,113,plank,60
11000011,半球,半球,hemisphere,113,hemisphere,70
11000012,泳圈,泳圈,annular,113,annular,80
11000013,圆饼,圆饼,cake,113,cake,90
11000014,树,树,tree,113,tree,100
11000015,阀门,阀门,valve,113,valve,110
11000016,长凳,长凳,bench,113,bench,120
11000017,方块,方块,block,113,block,130
11000018,花,花,flower,113,flower,140
11000019,面包树,小树,smalltree,113,smalltree,150
11000020,栅栏,栅栏,fence,113,fence,160
11000021,雨伞,雨伞,umbrella,113,umbrella,170
11000022,长棍,长棍,stick,113,stick,180
11000023,锤子,锤子,hammer,113,hammer,190
11000024,旋转的花,旋转的花,flower,112,flower_1,10
11000025,摆动大锤,摆动大锤,hammer,112,hammer_1,20
11000026,反弹面包树,反弹面包树,smalltree,112,smalltree_1,30
11000027,旋转阀门,旋转阀门,valve,112,valve_1,40
11000028,气垫,气垫,block,112,block_1,50
11000029,充气栅栏,充气栅栏,fence,112,fence_2,60
11000030,烟雾1,烟雾1,_effects1001,114,smoke,1
11000031,烟雾8,烟雾8,_effects1194,114,smoke8,2
11000032,烟雾23,烟雾23,_effects1295,114,smoke23,3
11000033,爆炸2,爆炸2,_effects1009,114,explode2,4
11000034,爆炸15,爆炸15,_effects1180,114,explode15,5
11000035,爆炸37,爆炸37,_effects1723,114,explode37,6
11000036,火焰3,火焰3,_effects1003,114,fire3,7
11000037,火焰11,火焰11,_effects1035,114,fire11,8
11000038,火焰31,火焰31,_effects1339,114,fire31,9
11000039,环境2,环境2,_effects1196,114,environment2,10
11000040,环境12,环境12,_effects1414,114,environment12,11
11000041,环境8,环境8,_effects1282,114,environment8,12
11000042,光效52,光效52,_effects1352,114,light52,13
11000043,光效9,光效9,_effects1150,114,light9,14
11000044,光效7,光效7,_effects1032,114,light7,15
11000045,粒子2,粒子2,_effects1015,114,particle2,16
11000046,粒子6,粒子6,_effects1022,114,particle6,17
11000047,粒子24,粒子24,_effects1341,114,particle24,18
11000048,提示1,提示1,_effects1024,114,tips1,19
11000049,提示7,提示7,_effects1181,114,tips7,20
11000050,提示44,提示44,_effects1520,114,tips44,21
11000051,光效35,光效35,_effects1293,114,light35,22
11000052,光效47,光效47,_effects1337,114,light47,23
11000053,光效72,光效72,_effects1627,114,light72,24
11000054,光效77,光效77,_effects1702,114,light77,25
11000055,光效86,光效86,_effects3070,114,light86,26
11000056,烟雾2,烟雾2,_effects1013,114,smoke2,27
11000057,烟雾4,烟雾4,_effects1053,114,smoke4,28
11000058,烟雾5,烟雾5,_effects1057,114,smoke5,29
11000059,烟雾26,烟雾26,_effects1312,114,smoke26,30
11000060,烟雾30,烟雾30,_effects1365,114,smoke30,31
11000061,烟雾32,烟雾32,_effects1412,114,smoke32,32
11000062,烟雾42,烟雾42,_effects3032,114,smoke42,33
11000063,粒子5,粒子5,_effects1020,114,particle5,34
11000064,粒子12,粒子12,_effects1064,114,particle12,35
11000065,粒子21,粒子21,_effects1280,114,particle21,36
11000066,粒子25,粒子25,_effects1342,114,particle25,37
11000067,粒子29,粒子29,_effects1374,114,particle29,38
11000068,粒子31,粒子31,_effects1381,114,particle31,39
11000069,粒子33,粒子33,_effects1424,114,particle33,40
11000070,粒子35,粒子35,_effects1430,114,particle35,41
11000071,粒子40,粒子40,_effects1478,114,particle40,42
11000072,粒子43,粒子43,_effects1558,114,particle43,43
11000073,环境11,环境11,_effects1296,114,environment11,44
11000074,环境16,环境16,_effects3055,114,environment16,45
11000075,火焰4,火焰4,_effects1004,114,fire4,46
11000076,火焰15,火焰15,_effects1042,114,fire15,47
11000077,甜甜圈,甜甜圈,donut,113,donut,200
11000078,威化饼,威化饼,waffle,113,waffle,201
11000079,三叶草,三叶草,clover,113,clover,202
11000080,红水管,红水管,red_water_pipe,113,red_water_pipe,203
11000081,红苹果,红苹果,red_apple,113,red_apple,204
11000082,蓝转盘,蓝转盘,blue_turntable,113,blue_turntable,205
11000083,跨栏,跨栏,hurdle,113,hurdle,206
11000084,叶子,叶子,leaf,113,leaf,207
11000085,黄蘑菇,黄蘑菇,yellow_mushroom,113,yellow_mushroom,208
11000086,彩虹,彩虹,rainbow,113,rainbow,209
11000088,X标志,X标志,x_mark,113,x_mark,211
11000089,粉心,粉心,pink_heart,113,pink_heart,212
11000090,滑梯,滑梯,slide,113,slide_model,213
11000091,货车,货车,truck,113,truck,214
11000092,拖车,拖车,trailer,113,trailer,215
11000093,卡车,卡车,truck1,113,truck1,216
11000094,蓝色轿车,蓝色轿车,blue_car,113,blue_car,217
11000095,面包车,面包车,van,113,van,218
11000096,雨棚,雨棚,awaning,113,awaning,219
11000097,披萨店招牌,披萨店招牌,pizza_sign,113,pizza_sign,220
11000098,扶梯,扶梯,escalator,113,escalator,221
11000099,吊钩,吊钩,hook,113,hook,222
11000100,通风管,通风管,ventilation,113,ventilation,223
11000101,拱门,拱门,arch,113,arch,224
11000102,礼盒,礼盒,gift,113,gift,225
11000103,木马,木马,trojan_horse,113,trojan_horse,226
11000104,热气球,热气球,balloon,113,balloon,227
11000105,电视机,电视机,tv,113,tv,228
11000107,月亮,月亮,moon,113,moon,230
11000108,花洒,花洒,shower,113,shower,231
11000109,勺子,勺子,spoon,113,spoon,232
11000110,书本,书本,book,113,book,233
11000111,小刀,小刀,knife,113,knife,234
11000112,螺丝刀,螺丝刀,screwdriver,113,screwdriver,235
11000113,瓶子,瓶子,bottle,113,bottle,236
11000114,钻石,钻石,diamond,111,diamond,237
11000115,心形,心形,heart,111,heart,238
11000116,齿轮,齿轮,gear,111,gear,239
11000117,弯箭头,弯箭头,curved_arrow,111,curved_arrow,240
11000118,直箭头,直箭头,straight_arrow,111,straight_arrow,241
11000119,圆筒,圆筒,tube,111,tube,242
11000120,圆台,圆台,round_platform,111,round_platform,243
11000121,圆环,圆环,ring,111,ring,244
11000122,圆弧,圆弧,arc,111,arc,245
11000123,拱形,拱形,square_arc,111,square_arc,246
11000124,方环,方环,square_ring,111,square_ring,247
11000125,三棱柱,三棱柱,triangular_prism,111,triangular_prism,248
11000126,六棱柱,六棱柱,hexagonal_prism,111,hexagonal_prism,249
