NpcID（直接用生物id）,名称,类型,区块,坐标X,坐标Z,位置坐标x,位置坐标y,位置坐标z,NPC朝向（0朝南）,移动范围中心点x,移动范围中心点z,范围,是否开启范围内随机寻路（1是开启）,开启对话气泡（填stringid，空为没有对话）,编辑模式交互状态（0不可交互，1可交互）（不包括方块：宠物窝、灶台、工作台）
NpcID,Name,type,ChunkID,Site_X,Site_Z,Location_x,Location_y,Location_z,Rotation,MoveX,MoveZ,Scope,Switch,TalkBubble,InteractiveSwitch
39201,神秘商人1,1,6,-1,-2,4,30,-28,180,-1,-32,16,1,,
39205,神秘商人5,1,6,-1,-2,4,30,-28,180,-1,-32,16,1,,
39206,农场商人,2,6,-1,-3,-16,30,-38,270,,,,,43000,
3879,祈愿树,3,6,1,-2,27,30,-28,0,,,,,,
3880,祈愿树,3,6,1,-2,27,30,-28,0,,,,,,
39209,家园商店,4,6,-1,-2,-6,30,-23,0,,,,,,1
39210,家园果实,5,6,0,-2,2,31,-33,270,,,,,,1
39211,家园果实,5,6,0,-2,2,31,-33,270,,,,,,1
39212,家园果实,5,6,0,-2,2,31,-33,270,,,,,,1
39213,家园果实,5,6,0,-2,2,31,-33,270,,,,,,1
39214,家园果实,5,6,0,-2,2,31,-33,270,,,,,,1
39215,宠物抽奖,6,6,-1,-3,-6,30,-44,180,,,,,,
39216,宠物冒险,7,6,-1,-3,-12,30,-44,180,,,,,,
39217,家园图鉴,8,6,-1,-2,-12,30,-23,0,,,,,,1
39218,牧场商人,9,2,-2,-2,-19,30,-21,270,,,,,43009,
39219,家园工匠,10,6,-1,-2,-5,30,-31,180,,,,,43026,
39220,家园厨师,11,6,-1,-3,-10,30,-36,0,,,,,43018,
