ID,名称,输入【①0=关闭，1=整数，2=字符串，3=角度，4=颜色，5=脚本编辑，6=浮点数；②左值开关，1=开（默认），0=关；③局部逻辑开关，④行为树节点开关，1=开（默认），0=关】,素材库【0=关闭，1=方块类型，2=道具类型，3=投掷物类型，4=生物类型，5=状态，6=动画标签，7=特效类型，8=音效，9=装备类型，10=触发器，11=颜色，12=模型外观，13=界面，14=元件，15=图案模板，16=页面状态，17=音乐，18=开发者商店，19=触发器，20=触发器组，21=选择广播 22= 选择编程对象 23=选择编程答案 24】,代码块【0=关闭（默认），1=开启】,变量【0=关闭（默认），1=开启】,选项【0=关闭（默认），>0为枚举表里的枚举类型】,传参（可能没用了）【0=关闭（默认），>0为枚举表里的枚举类型】,选择对象【0=关闭（默认），1=区域，2=位置，3=生物，4=显示板，5=道具】,值类型【13=布尔值，其它的一一对应】
ID,Name,UseInput,UseLibrary,UseBlock,UseVariable,UseEnum,UseTranParam,UseObject,CheckType
1000,天气,0,0,1|1|1|1,0,1|1|1|1,0,0,1
1001,区域,0,0,1|1|1|1,1|1|1|1,0,23|0|1|1,1|0|1|1,2
1002,位置,0,0,1|1|1|1,1|1|1|1,0,24|0|1|1,2|0|1|1,3
1003,朝向,0,0,0,0,2|1|1|1,0,0,4
1004,视角,0,0,0,0,3|1|1|1,0,0,5
1005,数值,6|0|1|1,0,1|1|1|1,1|1|1|1,0,0,0,6
1006,坐标分量,0,0,0,0,4|1|1|1,0,0,7
1007,角度单位,0,0,0,0,5|1|1|1,0,0,8
1008,固定底对数,0,0,0,0,6|1|1|1,0,0,9
1009,取整方式,0,0,0,0,7|1|1|1,0,0,10
1010,字符串,2|0|1|1,0,1|1|1|1,1|1|1|1,0,55|1|1|1,0,11
1011,伤害类型,0,0,0,0,8|1|1|1,0,0,12
1012,是否,0,0,0,0,9|1|1|1,0,0,13
1013,开关,0,0,0,0,10|1|1|1,0,0,13
1014,布尔值,0,0,1|1|1|1,1|1|1|1,32|0|1|1,0,0,13
1015,最大最小值,0,0,0,0,11|1|1|1,0,0,14
1016,比较计算符,0,0,0,0,12|1|1|1,0,0,15
1017,数学运算符,0,0,0,0,13|1|1|1,0,0,16
1018,玩家,0,0,1|1|1|1,1|1|1|1,0,25|1|1|1,0,17
1019,玩家组,0,0,1|0|1|1,1|1|1|1,0,0,0,18
1020,玩家属性,0,0,0,0,14|1|1|1,0,0,19
1021,运动状态,0,0,0,0,15|1|1|1,0,0,20
1022,玩家设置,0,0,0,0,16|1|1|1,0,0,21
1023,队伍,0,0,1|1|1|1,0,17|1|1|1,0,0,22
1024,队伍属性,0,0,0,0,18|1|1|1,0,0,23
1025,方块类型,0,1|0|1|1,1|1|1|1,1|1|1|1,0,26|1|1|1,0,24
1026,方块设置,0,0,0,0,19|1|1|1,0,0,25
1027,道具,0,0,0,0,0,0,0,26
1028,道具类型,0,2|0|1|1,1|1|1|1,1|1|1|1,0,27|1|1|1,0,27
1029,投掷物类型,0,3|0|1|1,1|1|1|1,0,0,56|1|1|1,0,28
1030,掉落物,0,0,1|1|1|1,0,0,29|1|1|1,5|0|1|1,29
1031,生物,0,0,1|1|1|1,1|1|1|1,0,30|0|1|1,3|0|1|1,30
1032,生物类型,0,4|0|1|1,1|1|1|1,1|1|1|1,0,44|1|1|1,0,31
1033,生物组,0,0,1|0|1|1,1|1|1|1,0,0,0,32
1034,生物行动状态,0,0,0,0,20|1|1,0,0,33
1035,生物属性,0,0,0,0,21|1|1|1,0,0,34
1036,生物设置,0,0,0,0,22|1|1|1,0,0,35
1037,状态,0,5|0|1|1,1|1|1|1,0,0,41|1|1|1,0,36
1038,触发器,0,19|1|1|1,0,0,0,0,0,37
1039,触发器组,0,20|1|1,0,0,0,0,0,38
1040,计时器,0,0,1|1|1|1,1|1|1|1,0,0,0,39
1041,动画表情,1|0|1|1,6|0|1|1,1|1|1|1,0,0,31|1|1|1,0,40
1042,私有变量,0,0,0,2|1|1|1,0,0,0,41
1043,三角函数,0,0,0,0,33|1|1|1,0,0,42
1044,投掷物,0,0,1|1|1|1,0,0,28|1|1|1,0,43
1045,特效类型,0,7|0|1|1,1|1|1|1,1|1|1|1,0,34|1|1|1,0,44
1046,音效,0,8|0|1|1,1|1|1|1,0,0,0,0,45
1047,方向,0,0,1|1|1|1,0,35|1|1|1,0,0,46
1048,对象,0,0,1|1|1|1,1|1|1|1,0,36|1|1|1,0,47
1049,音调,0,0,0,0,37|1|1|1,0,0,48
1050,脚本,5|1|1|1,0,0,0,0,0,0,49
1051,按键,0,0,0,0,38|1|1|1,0,0,50
1052,快捷栏按键,0,0,1|1|1|1,0,39|1|1|1,40|1|1|1,0,51
1053,任意值,0,0,1|1|1|1,0,0,0,0,52
