融合id,名称,融合类别,道具类1,道具id1,道具类2,道具id2,攻击力比例,耐久比例,技能,动作（json文件）,描述,备注,类别
mergeId,name,mergeType,type1,id1,type2,id2,attackDec,durationDec,skillid,action,,,Type
1,双剑,1,1,,1,,0.52,1,Skill_540365_Double_Sword,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,双持后的剑类武器，#c0aba1d蓄力#n后可释放两段斩击，对周围生物造成伤害。,剑，剑,6
2,双剑,1,1,12005,1,,0.52,1,Skill_540365_Double_Sword,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,双持后的剑类武器，#c0aba1d蓄力#n后可向前方瞬间移动一段距离，并对触碰到的敌人造成伤害。,能量剑，剑,6
3,双剑,1,1,12005,1,12005,0.52,1,Skill_540389_Double_PSword,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,双持后的剑类武器，#c0aba1d蓄力#n后可向前方瞬间移动一段距离，并对触碰到的敌人造成伤害。,能量剑，能量剑,6
4,剑盾,2,1,,2,,1.09,1,,Double_Sword_Shield_Natk_01|Double_Sword_Shield_Natk_02,#c0aba1d蓄力#n可以进入防御状态，看准时机使用盾牌可以无伤打怪#r要注意#c0aba1d韧性值#n归零后会非常虚弱，不举盾可以恢复韧性值。,剑，盾,6
5,剑盾,2,1,,2,12310,1.09,1,,Double_Sword_Shield_Natk_01|Double_Sword_Shield_Natk_02,#c0aba1d蓄力#n可以进入防御状态，并且可以让对手进入中毒状态。看准时机使用盾牌可以无伤打怪#r要注意#c0aba1d韧性值#n归零后会非常虚弱，不举盾可以恢复韧性值。,剑，蝎刺盾,6
6,矛剑,3,4,,1,,0.52,1,Skill_540399_Sword_Spear,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,#c0aba1d蓄力#n后可投掷。会在命中的位置生成剑气#r捡回后可重复使用。,矛，剑,6
7,矛剑,3,4,12063,1,,0.52,1,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,#c0aba1d蓄力#n后投掷可穿透多个敌人。会在命中的位置生成剑气#r捡回后可重复使用。,能量矛，剑,6
8,矛剑,3,4,,1,12005,0.52,1,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,#c0aba1d蓄力#n后可投掷。会在命中的位置生成剑气#r捡回后可重复使用。,矛，能量剑,6
9,矛剑,3,4,12063,1,12005,0.52,1,Skill_540432_Double_PSword_PSpear,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,#c0aba1d蓄力#n后投掷可穿透多个敌人。会在命中的位置生成剑气#r捡回后可重复使用。,能量矛，能量剑,6
10,矛盾,4,4,,2,,1.09,1,,Double_Sword_Shield_Natk_01|Double_Sword_Shield_Natk_02,#c0aba1d蓄力#n可以进入防御状态，看准时机使用盾牌可以无伤打怪#r要注意#c0aba1d韧性值#n归零后会非常虚弱，不举盾可以恢复韧性值。,矛，盾,6
11,矛盾,4,4,,2,12310,1.09,1,,Double_Sword_Shield_Natk_01|Double_Sword_Shield_Natk_02,#c0aba1d蓄力#n可以进入防御状态，并且可以让对手进入中毒状态。看准时机使用盾牌可以无伤打怪#r要注意#c0aba1d韧性值#n归零后会非常虚弱，不举盾可以恢复韧性值。,矛，蝎刺盾,6
14,双矛,5,4,,4,,0.7,1,,Double_Spear_Spear_Natk_01|Double_Spear_Spear_Natk_02|Double_Spear_Spear_Natk_03,#c0aba1d蓄力#n后可投掷。#r捡回后可重复使用。,矛，矛,6
15,双矛,5,4,12063,4,,0.7,1,,Double_Spear_Spear_Natk_01|Double_Spear_Spear_Natk_02|Double_Spear_Spear_Natk_03,#c0aba1d蓄力#n后投掷可穿透多个敌人。#r捡回后可重复使用。,能量矛，矛,6
17,剑铲,6,7,,1,,0.52,1,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,#c0aba1d蓄力#n后可释放斩击，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_103#,剑，铲,3
