序号,热键名,热键功能名（程序用来检索）,热键类型（1移动2道具栏3多人游戏4功能）,类型名称,默认code,
ID,Name,FuncName,Type,TypeName,DefaultCode,
1,向前,ForwardKey,1,移动,119,87
2,向左,LeftKey,1,移动,97,65
3,向右,RightKey,1,移动,100,68
4,向后,BackKey,1,移动,115,83
5,跳跃,JumpKey,1,移动,32,32
6,潜行,SneakKey,1,移动,304,16
7,疾跑,SprintKey,1,移动,306,17
8,背包,InventoryKey,2,道具栏,98,66
9,丢弃,DropKey,2,道具栏,103,71
10,快捷栏1,Shortcut1Key,2,道具栏,49,49
11,快捷栏2,Shortcut2Key,2,道具栏,50,50
12,快捷栏3,Shortcut3Key,2,道具栏,51,51
13,快捷栏4,Shortcut4Key,2,道具栏,52,52
14,快捷栏5,Shortcut5Key,2,道具栏,53,53
15,快捷栏6,Shortcut6Key,2,道具栏,54,54
16,快捷栏7,Shortcut7Key,2,道具栏,55,55
17,快捷栏8,Shortcut8Key,2,道具栏,56,56
18,整理,ReorganizeKey,2,道具栏,118,86
19,聊天栏,ChatKey,3,多人游戏,13,13
20,交互界面,FriendsKey,3,多人游戏,102,70
21,比分界面,ScoreKey,3,多人游戏,9,9
22,成就,AchievementKey,4,功能,108,76
23,小地图,MapKey,4,功能,109,77
24,坐骑,MountKey,4,功能,104,72
25,玩法模式设定,RuleSetKey,4,功能,106,74
26,状态,BuffStatusKey,4,功能,99,67
27,仓库,StorehouseKey,4,功能,105,73
28,装扮,StoreSkinKey,4,功能,111,79
29,充值,ChargeKey,4,功能,112,80
30,换弹夹,ChangeMagazineKey,2,道具栏,114,82
31,开关语音,MicroPhoneSwitchKey,3,多人游戏,91,219
32,开关麦克风,VolumeSwitchKey,3,多人游戏,93,221
33,资源库,MapModelLibKey,4,功能,121,89
34,开发者悬浮窗,DevToolKey,4,功能,116,84
35,快捷栏左翻页,ShortcutLeftKey,4,功能,113,113
36,快捷栏右翻页,ShortcutRightKey,4,功能,101,101
37,资源界面,UIViewKey,4,功能,117,117
38,脚本,ScriptKey,4,功能,108,108
39,高级编辑,HighLevelCreatorKey,4,功能,9,9
40,触发器,VisualCodeKey,4,功能,116,116
