id,名称,浅海,草原,沙漠,峭壁,森林,针叶林,沼泽,冰原,红土,丛林,草地沙漠,河流,冻洋,冻河,冰山,红土海岸,沙滩,沙漠山丘,森林山丘,针叶林山丘,峭壁边缘,丛林山丘,烈焰星,空岛,盆地,盆地边缘,竹林盆地,桃花盆地,雨林,星球地表,星球山丘,星球地表-祭坛平原区,星球地表-高山,星球地表-丘陵,星球空岛占位,星球空岛,星球空岛子地形,星球空岛子地形2,星球空岛子地形3,星球空岛子地形4,星球空岛边缘,草原空岛地面,草原空岛天空,火山口,火山主峰,火山平原,火山山脉,火山岩浆网,深海,荒岛海岸,荒岛岛心,红土岛海岸,红土岛心,珊瑚岛海岸,珊瑚岛岛心,覆雪针叶林,雪山主峰,雪山副峰,雪山山脉,雪山中部,副峰雪山中部,雪山底部,冻湖,峡谷,峡谷边缘
ID,Name,OCEAN,PLAINS,DESERT,EXTREMEHILLS,FOREST,TAIGA,SWAMPLAND,ICE_PLAINS,REDSOIL,JUNGLE,GrassDesert,RIVER,FROZEN_OCEAN,FROZEN_RIVER,ICE_MOUNTAINS,REDSOIL_SHORE,BEACH,DESERT_HILLS,FOREST_HILLS,TAIGA_HILLS,EXTREMEHILLS_EDGE,JUNGLE_HILLS,Earthcore,AIR_ISLAND,BASIN,BASIN_EDGE,BASIN_BAMBOO,BASIN_PEACH,RAINFOREST,BIOME_PLANET_SAPCE,BIOME_PLANET_SAPCE_HILLS,BIOME_PLANET_SAPCE_SUB1,BIOME_PLANET_SAPCE_SUB2,BIOME_PLANET_SAPCE_SUB3,BIOME_PLANET_SAPCE_AIRLANDS_BASE,BIOME_PLANET_SAPCE_AIRLANDS,BIOME_PLANET_SAPCE_AIRLANDS_SUB1,BIOME_PLANET_SAPCE_AIRLANDS_SUB2,BIOME_PLANET_SAPCE_AIRLANDS_SUB3,BIOME_PLANET_SAPCE_AIRLANDS_SUB4,BIOME_PLANET_SAPCE_AIRLANDS_SUB5,BIOME_AIR_PLAINS,BIOME_AIR_PLAINS_H,VOLCANO_CORE,VOLCANO,VOLCANO_PLAIN,VOLCANO_MOUNTAIN,VOLCANO_RIVER,DEEPOCEAN,ISLAND_SHORE_DESERT,ISLAND_LAND_DESERT,ISLAND_SHORE_REDSOIL,ISLAND_LAND_REDSOIL,ISLAND_SHORE_REEF,ISLAND_LAND_REEF,ICE_PLAINS_CONIFEROUS_FOREST,ICE_PLAINS_HIGHEST_PEAK,ICE_PLAINS_SECOND_PEAK,ICE_PLAINS_MOUNTAIN,ICE_PLAINS_MOUTAINSIDE,ICE_PLAINS_SECOND_MOUTAINSIDE,ICE_PLAINS_PEAK_PLAIN,ICE_PLAINS_FRIZEB_LAKE,CANYON,CANYON_EAGE
3400,鸡,0,300,0,0,200,100,100,0,200,200,100,0,0,0,0,0,0,0,100,0,0,0,0,200,200,0,200,200,0,,,,,,,,,,,,,100,,,,,,,,,,500,500,,,,,,,,,,,300,300
3401,牛,0,300,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,0,100,0,0,0,0,0,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,300,300
3402,猪,0,100,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,100,0,100,100,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,100,100
3403,羊,0,100,0,100,100,0,100,0,0,0,0,0,0,0,100,0,0,0,100,100,100,100,0,100,100,100,100,100,,,,,,,,,,,,,,30,,,,,,,,,,,,,,100,,,,,,,,100,100
3404,马,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,  ,,,,,,,,,,,,,,,,,,,,0,0
3407,狼,0,0,0,0,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,100,0,100,100,100,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0
3409,企鹅,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,500,0,0
3101,野人战士,300,300,0,300,300,300,300,0,0,300,300,300,300,300,300,0,300,300,300,300,300,300,0,300,300,300,300,300,300,,,,,,,,,,,,,,,,,,,,,300,300,300,300,300,300,,,,,,,,,300,300
3102,野萌宝,100,100,0,100,100,100,100,0,0,100,100,100,100,100,100,0,100,100,100,100,100,100,0,100,100,100,100,100,50,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,,,,,,,,,100,100
3105,野人投矛手,200,200,0,200,200,200,200,0,0,200,200,200,200,200,200,0,200,200,200,200,200,200,0,200,200,200,200,200,,,,,,,,,,,,,,,,,,,,,,200,200,200,200,200,200,,,,,,,,,200,200
3107,蜘蛛,300,300,0,300,500,500,200,0,0,500,200,300,100,100,100,0,100,100,100,100,100,100,0,500,500,300,500,500,100,,,,,,,,,,,,,,,,,,,,,300,300,300,300,300,300,,,,,,,,,,
3106,庆典野人,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,0,500,500,500,500,500,500,0,500,500,500,500,500,500,,,,,,,,,,,,,,,,,,,,,500,500,500,500,500,500,,,,,,,,,,
3108,洞穴蜘蛛,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
3109,爆爆蛋,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,60,,60,,,,,,,,,,,,,,,,,
3103,重力巫师,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
3110,小外星人A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
3111,小外星人B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
3112,小外星人C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
3113,小外星人AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3114,小外星人BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3115,小外星人CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3116,小外星人AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3117,小外星人AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3118,小外星人BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3501,虚空使徒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3502,远古黑龙,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
3130,熔岩巨人,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,,,,,,,,,,,,,,,,,,100,,100,,,,,,,,,,,,,,,,0,0
3131,硫磺弓手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
3411,鸵鸟,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3412,冰熊,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,50,,,,
3413,迅猛龙,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3414,野生团子,,,,50,,,,,50,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50
3416,野生熊猫,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3418,蜜蜂,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3419,萤火虫,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3424,尖叫鸡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
3507,福球,0,300,300,300,200,200,200,200,0,200,200,0,0,0,200,0,200,200,200,200,200,200,200,200,200,300,200,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
