能力ID,能力名称,图标,描述,效果ID,效果值1,效果值2,效果值3,效果值4,效果值5,效果值6,效果值7,特效,备注,
ID,Name,Icon,Desc,EffectID,Effect1,Effect2,Effect3,Effect4,Effect5,Effect6,Effect7,EffectName,,
1,坐骑宝宝,8,拥有这个技能的坐骑，在地图中玩一段时间后，会产出1个坐骑宝宝，可以送给房间中的其他小伙伴。,1,,,,,,,,,,
2,冲刺,7,蓄力期间移动速度增加30%。,2,30,,,,,,,,,
3,踏水,2,可以在水面上快速行走，但不可以在水面上跳跃。,3,,,,,,,,,,
4,超跳,6,拥有超强的跳跃能力。,,,,,,,,,,,
5,滑翔,glide,可以在空中乘风滑翔。,5,,,,,,,,,,
6,炎走,firerun,可以在岩浆表面行走。,,,,,,,,,,,
7,疾冲,jumpsprint,跳跃后在空中按下跳跃键，会往面朝方向疾速冲刺。,,370,,,,,,,,,
9,双骑,9,可以乘载两名乘客，带上你的小伙伴吧~,6,2,,,,,,,,,
10,蹦跃,1,可以不断使用跳跃键向上飞，但下坠得特别快哦。,,14,75,19,15,0.66,0.66,2,,,
11,顽强,10,拥有较高的生命力。,,,,,,,,,,,
12,浮水,12,可以浮在水面。,,,,,,,,,,,
13,潜泳,13,可以潜入水中遨游。,,,-1,30,,,,,,,
14,激流,14,在水中按下跳跃键，会往面朝方向疾速突进。,,9,4,2,,,,,,,
15,汽车人突击,15,向前冲刺撞击。,,3,5,4,0.2,,,,,cd时间，攻击点数，格子数，镜头抖动的时间,
16,霸天虎导弹,16,直线发射导弹。,7,3,0.8,12299,250,85,0.1,,,cd时间，力量(决定发射速度)，物品id（子弹），初始位置往前的偏移，初始位置向上的偏移，镜头抖动的时间,
17,黄蜂突刺,17,向前冲刺一段时间。,8,6,1.5,30,1.5,,,,,cd时间，持续时间，加速速度，镜头抖动时间,
18,飞扑,18,长按跳跃键蓄满力，跳跃落地时对前方生物施加减速buff。,,5,5,,,,,,,格子数，减速时间（秒），,
19,威慑,19,长按跳跃键蓄满力，跳跃落地时可以短距离击退前方生物。,,5,3,,,,,,,格子数，击退距离，,
20,漂浮,20,可以漂浮在空中进行短距离飞行，下落过程不会掉血。,9,16,-24,2,15,9,20,0.1,,,
