id(给翻译用的字段，使用tobiome的gm指令时，id-1000就是地形id了),名字,备注,中文名,最低高度（区间-2到2，2=对比值128）,梯度（0到2）,温度(0-100 影响植物生长和天气变化),湿度[0-100 影响植物生长],填充块,填充深度(从顶层开始算）,顶层块,草颜色,水颜色偏色,水下雾效颜色,水下雾效颜色变化深度（跟左边字段必须数量对应）,天空盒类型:0 默认基础晴天。 1：草原森林类  2：沙漠类  3：冰原类 4： 沼泽湿地类， 5： 火山类,是否可以下雨,是否可以下雪,晴天系数,雨天系数,雷暴系数,树生成次数/每区块,星站建筑,简易罐子,陶土罐子,彩陶罐子,野生玉米,荆棘草,风铃花,若兰,星辰花,龙血花,风信子,龙爪草,龙血树,白椰花,黄钟花,野蔷薇,冬温花,庇佑雪莲,巨布鲁果,巨鳞羽果,枯草,土笋,水草,海带,浮萍,荷叶,红藻,宝石花珊瑚2,宝石花珊瑚3,宝石花珊瑚4,宝石花珊瑚5,宝石花珊瑚6,宝石花珊瑚7,独葵,荧光彩虹草,仙人掌,红色龙舌兰,粉色龙舌兰,橙色龙舌兰,灰色龙舌兰,草(%几率选择1个区块256格*128方块尝试）,炽晶,鸡窝,落花堆,灌木丛,散落的石块,棉花,荧光棒藻,无球锯齿蕨,菠萝,彼岸花,白化角珊瑚,白化气泡珊瑚,白化圆盘珊瑚,白化树珊瑚,随机白化珊瑚,角珊瑚,气泡珊瑚,圆盘珊瑚,树珊瑚,随机活珊瑚,巨型扇贝,枯灌木丛,世界ID,环境温度（白天（8~20点）/黑夜的温度）,气候组（枚举在biomegroupdef）
id,TypeName,,Name,MinHeight,MaxHeight,Heat,Humid,FillBlock,FillDepth,TopBlock,GrassColor,WaterColor,WaterFogColor,WaterFogDepth,skyboxType,EnableRain,EnableSnow,ClearModulus,RainModulus,ThunderModulus,ChunkTrees,ChunkStarStation,ChunkJar737,ChunkJar738,ChunkJar739,ChunkGrass243,ChunkGrass238,ChunkFlowers300,ChunkFlowers301,ChunkFlowers302,ChunkFlowers303,ChunkFlowers304,ChunkFlowers305,ChunkFlowers306,ChunkFlowers311,ChunkFlowers312,ChunkFlowers313,ChunkFlowers761,ChunkFlowers764,ChunkPumpkin,ChunkWatermelon,ChunkDeadBush,ChunkMushroom,ChunkSeaPlants245,ChunkSeaPlants246,ChunkDuckweed,ChunkWaterlily,ChunkCorals314,ChunkCorals315,ChunkCorals316,ChunkCorals317,ChunkCorals318,ChunkCorals319,ChunkCorals320,ChunkReeds,ChunkRainbowGrass,ChunkCactus,ChunkFlowers307,ChunkFlowers310,ChunkFlowers308,ChunkFlowers309,ChunkGrass224,ChunkCrystal,ChunkNest,ChunkPile,ChunkBush,ChunkGrass110,ChunkCotton,ChunkSeaPlants495,ChunkJaggedFern287,ChunkPineapple1187,ChunkShoreflower1186,ChunkNewCorals487,ChunkNewCorals489,ChunkNewCorals491,ChunkNewCorals493,ChunkRandomDeadCorals,ChunkNewCorals486,ChunkNewCorals488,ChunkNewCorals490,ChunkNewCorals492,ChunkRandomCorals,ChunkGiantScallops346,ChunkDeadThicket763,MapId,Temperature,BiomeGroupID
-1,Times,,尝试生成次数,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,1,6,5,8,4,2,6,5,5,5,5,5,5,6,5,6,6,6,8,6,1,3,4,7,1,1,5,0,0,0,0,0,0,8,0,3,5,5,5,5,100,2,4,0,,30,5,10,5,3,3,3,3,3,3,1,5,5,5,5,5,2,4,,,
1000,OCEAN,迷拉星-海洋,浅海,-1,0.6,50,87,29,3,29,527b1b,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,0,1,0,1.5,0.5,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25600,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,60,200,100,100,150,100,80,,,2|2,2
1001,PLAINS,迷拉星-草原,草原,0.1,0.3,65,40,101,3,100,55b929,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,1,1,0,2,0.5,0.3,1,4,100,0,0,200,50,300,0,0,0,0,0,0,0,300,0,0,0,0,0,0,2000,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,10,0,,50,40,0,0,0,,0,0,0,0,,0,0,0,0,,,,,2|0,1
1002,DESERT,迷拉星-沙漠,沙漠,0.18,0.2,95,12,29,3,29,DAA520,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,2,0,0,2,0.3,0,1,4,100,0,0,-1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,-1,0,0,0,,20,-1,0,0,0,,0,0,0,0,,0,0,0,0,,,,,4|-4,3
1004,EXTREMEHILLS,迷拉星-峭壁,峭壁,0.5,1.9,35,40,101,3,100,d8f5b6,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,1,0,1,2,0.5,0.3,50,4,100,0,0,50,100,0,0,150,0,0,300,0,0,0,0,0,0,150,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,30,0,0,0,,30,15,0,0,0,,0,0,0,0,,0,0,0,0,,,,,0|-2,1
1003,FOREST,迷拉星-森林,森林,0.1,0.3,62,62,101,3,100,4B821C,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,1,1,0,1.5,0.6,0.35,600,4,100,0,0,50,5,0,300,0,0,0,0,0,0,150,0,0,0,0,0,0,2000,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,15,0,,50,20,0,0,0,,0,0,0,0,,0,0,0,0,,,,,2|0,1
1006,TAIGA,迷拉星-针叶林,针叶林,0.3,0.8,37,50,101,3,100,548E9E,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,1,0,1,2,0.6,0.35,950,4,100,0,0,50,100,0,400,0,0,0,0,0,400,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,10,0,,50,15,0,0,0,,0,0,0,0,,0,0,0,0,,,,,0|-2,4
1005,SWAMPLAND,迷拉星-沼泽,沼泽,-0.2,0.1,62,87,101,3,100,527b1b,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,4,1,0,1.5,0.6,0.35,300,4,100,0,0,50,100,0,0,0,0,0,0,300,0,100,300,0,0,0,0,0,2000,20000,0,50000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,10,0,,50,15,0,0,0,,0,0,0,0,,0,0,0,0,,,,,2|0,7
1008,ICE_PLAINS,迷拉星-冰原,冰原,0.3,0.13,10,50,123,3,120,9DC2AB,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,3,0,1,2,0.5,0.3,-1,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,,100,-1,0,0,0,,0,0,0,0,,0,0,0,0,,,50,,-5|-6,4
1011,REDSOIL,迷拉星-红土,红土,0.2,1,70,70,101,3,233,527b1b,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,,1,0,2,0.3,0,-100,4,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,-100,0,10,0,,15,20,0,0,0,,0,0,0,0,,0,0,0,0,,,,,2|2,1
1007,JUNGLE,迷拉星-丛林,丛林,0.2,0.4,75,60,101,3,100,ff8e38,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,,1,0,2,0.6,0.35,1000,4,100,0,0,200,500,0,0,0,0,0,0,0,0,0,300,0,0,0,150,0,2000,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,10,0,,30,40,0,0,0,,0,0,0,0,,0,0,0,0,,,,,2|0,1
1018,RIVER,迷拉星-河流,河流,-0.5,0,50,70,29,3,29,527b1b,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,,1,0,2,0.6,0.35,-100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,50,-1,0,0,0,,0,0,0,0,,0,0,0,0,,,,,0|0,1
1009,FROZEN_OCEAN,迷拉星-冻洋,冻洋,-1,0.5,30,50,29,3,29,9DC2AB,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,3,0,1,2,0.6,0.35,-100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,5,-1,0,0,0,,0,0,0,0,,0,0,0,0,,,,,-5|-6,4
1056,ICE_PLAINS_CONIFEROUS_FOREST,迷拉星-冰原-覆雪针叶林,覆雪针叶林,0.3,0.8,10,50,120,3,120,9DC2AB,FFFFFF,3EA0EF|2163B5|0E2449,62|40|16,3,0,1,2,0.6,0.35,950,4,100,0,0,50,0,0,400,0,0,0,0,0,400,0,0,100,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,10,0,,50,15,0,0,0,,0,0,0,0,,0,0,0,0,,,10,,-5|-6,4
