位置ID,x坐标,y坐标,z坐标
ID,x,y,z
1,-3,69,6
2,-55,63,-59
3,-59,64,-53
4,-54,64,-51
5,-54,64,-44
6,-56,65,-40
7,-58,66,-37
8,-61,67,-33
9,-59,69,-24
10,-59,69,-18
11,-55,68,-29
12,-49,63,-59
13,-46,63,-55
14,-47,63,-50
15,-43,63,-59
16,-37,63,-59
17,-32,63,-59
18,-26,63,-59
19,-19,63,-60
20,-13,63,-60
21,-5,64,-60
22,3,64,-59
23,9,63,-58
24,14,63,-58
25,19,63,-58
26,25,63,-59
27,25,63,-53
28,19,63,-51
29,14,63,-51
30,9,63,-50
31,5,63,-50
32,1,64,-50
33,-6,65,-50
34,25,63,-47
35,20,63,-47
36,23,63,-40
37,19,64,-43
38,15,63,-44
39,8,64,-44
40,1,64,-44
41,-4,64,-44
42,-13,64,-45
43,-13,64,-51
44,-20,64,-46
45,-20,64,-51
46,-22,64,-56
47,-25,64,-51
48,-25,64,-45
49,-30,64,-44
50,-30,64,-50
51,-34,64,-54
52,-37,64,-50
53,-41,64,-50
54,-37,64,-44
55,-42,64,-44
56,-47,64,-44
57,-50,65,-36
58,-46,64,-39
59,-42,64,-38
60,-38,64,-38
61,-31,63,-38
62,-25,63,-38
63,-20,63,-38
64,-16,63,-35
65,9,63,-26
66,4,63,-23
67,4,63,-28
68,-1,64,-32
69,-1,63,-28
70,-1,63,-21
71,-7,63,-24
72,-7,63,-30
73,-13,63,-30
74,-20,63,-31
75,-24,63,-30
76,-31,64,-31
77,-37,67,-30
78,-42,68,-30
79,-48,68,-29
80,-55,69,-24
81,-54,69,-18
82,-37,68,-25
83,-41,68,-25
84,-47,69,-25
85,-37,68,-20
86,-42,69,-20
87,-47,69,-18
88,-59,69,-13
89,-54,69,-13
90,-47,69,-13
91,-41,69,-14
92,-37,69,-11
93,-18,66,-12
94,-22,68,-9
95,-25,68,-12
96,-28,69,-7
97,-32,69,-10
98,-32,69,-16
99,-41,69,-9
100,-46,69,-9
101,-54,69,-7
102,-59,69,-7
103,-59,70,0
104,-54,70,2
105,-49,70,4
106,-52,69,9
107,-57,69,7
108,-61,68,11
109,-57,68,13
110,-58,68,17
111,-43,70,21
112,-44,70,25
113,-49,71,28
114,-50,71,32
115,-55,71,37
116,-48,72,37
117,-43,73,42
118,-51,72,43
119,-58,72,44
120,-58,73,51
121,-51,73,49
122,-42,74,46
123,-47,74,52
124,-48,73,61
125,-40,77,57
126,-40,75,51
127,-35,71,35
128,-29,71,35
129,-32,71,30
130,-26,71,30
131,-27,70,23
132,-22,70,27
133,-22,70,20
134,-26,70,17
135,-21,70,15
136,-18,70,11
137,-19,68,5
138,-32,65,43
139,-27,66,41
140,-29,69,52
141,-27,68,59
142,-23,68,61
143,-23,68,53
144,-18,67,58
145,-18,67,52
146,-21,65,40
147,5,67,-7
148,3,68,-2
149,-1,69,1
150,-3,69,12
151,-8,69,13
152,-4,67,15
153,-6,64,18
154,-4,64,21
155,-9,64,24
156,-8,64,29
157,-11,64,33
158,-15,64,43
159,-13,64,38
160,-8,64,37
161,-13,66,48
162,-11,67,61
163,-11,66,55
164,-5,67,57
165,-6,68,50
166,-7,67,43
167,-1,67,53
168,-2,68,48
169,-2,66,42
170,-3,65,38
171,3,64,33
172,4,64,37
173,3,66,50
174,4,64,56
175,4,63,62
176,9,63,62
177,9,63,57
178,8,64,52
179,15,63,62
180,15,63,57
181,20,63,57
182,15,63,50
183,20,63,50
184,10,64,46
185,7,64,42
186,14,64,42
187,19,64,42
188,9,64,37
189,9,64,32
190,14,64,37
191,19,64,37
192,24,64,37
193,26,64,33
194,17,64,32
195,7,62,26
196,13,65,28
197,18,64,25
198,22,64,28
199,25,64,24
200,28,64,27
201,33,64,29
202,38,64,31
203,49,67,57
204,46,69,63
205,39,64,59
206,36,63,46
207,35,63,53
208,29,71,62
209,47,72,11
210,47,72,16
211,46,74,23
212,41,72,23
213,35,68,16
214,34,67,12
215,22,64,19
216,17,64,19
217,13,64,18
218,17,64,13
219,22,64,13
220,22,64,7
221,17,64,7
222,23,64,2
223,18,64,1
224,20,64,-6
225,23,64,-4
226,23,66,-11
227,28,64,-4
228,30,63,-13
229,33,63,-8
230,38,64,-9
231,34,64,-17
232,39,64,-14
233,34,64,-23
234,39,64,-23
235,40,64,-33
236,39,63,-59
237,45,63,-59
238,51,63,-60
239,58,63,-58
240,62,63,-55
241,59,63,-52
242,51,63,-54
243,45,63,-52
244,61,64,-47
245,51,64,-48
246,46,64,-44
247,51,64,-44
248,59,66,-41
249,48,64,-39
250,61,68,-34
251,58,67,-36
252,53,65,-33
253,49,64,-34
254,45,65,-34
255,62,68,-29
256,58,67,-28
257,61,68,-22
258,53,66,-24
259,50,65,-23
260,45,66,-25
261,47,66,-16
262,50,66,-17
263,61,69,-16
264,46,67,-11
265,45,67,-6
266,50,70,-8
267,53,68,-12
268,61,71,-9
269,60,74,-3
270,62,75,1
271,61,73,11
272,62,74,21
273,62,66,31
274,62,79,42
275,62,77,52
276,62,70,63
