区域ID,区域名称,区域作用,坐标X,坐标Z
ChunkID,ChunkName,ChunkFunction,Site_X,Site_Z
1,自建区域,3,-2,-1
1,自建区域,1,-1,-1
1,自建区域,1,0,-1
1,自建区域,1,1,-1
1,自建区域,3,2,-1
1,自建区域,3,-2,0
1,自建区域,1,-1,0
1,自建区域,1,0,0
1,自建区域,1,1,0
1,自建区域,3,2,0
1,自建区域,3,-2,1
1,自建区域,2,-1,1
1,自建区域,2,0,1
1,自建区域,2,1,1
1,自建区域,3,2,1
1,自建区域,4,-2,2
1,自建区域,4,-1,2
1,自建区域,4,0,2
1,自建区域,4,1,2
1,自建区域,4,2,2
1,自建区域,4,-2,3
1,自建区域,4,-1,3
1,自建区域,4,0,3
1,自建区域,4,1,3
1,自建区域,4,2,3
2,玩法区域-牧场,,-2,-2
3,玩法区域-农场,,-2,-3
4,活动区域,,2,-2
4,活动区域,,2,-3
5,风格区域,,-4,-3
5,风格区域,,-3,-3
5,风格区域,,3,-1
5,风格区域,,3,-3
5,风格区域,,4,-3
5,风格区域,,-4,-2
5,风格区域,,-3,-2
5,风格区域,,-3,0
5,风格区域,,3,0
5,风格区域,,3,-2
5,风格区域,,4,-2
5,风格区域,,-4,-1
5,风格区域,,4,-1
5,风格区域,,-4,0
5,风格区域,,4,0
5,风格区域,,-4,1
5,风格区域,,3,1
5,风格区域,,4,1
5,风格区域,,-4,2
5,风格区域,,-3,2
5,风格区域,,3,2
5,风格区域,,4,2
5,风格区域,,-4,3
5,风格区域,,-3,3
5,风格区域,,3,3
5,风格区域,,4,3
5,风格区域,,-4,4
5,风格区域,,-3,4
5,风格区域,,-2,4
5,风格区域,,-1,4
5,风格区域,,0,4
5,风格区域,,1,4
5,风格区域,,2,4
5,风格区域,,3,4
5,风格区域,,4,4
5,风格区域,,-4,5
5,风格区域,,-3,5
5,风格区域,,-2,5
5,风格区域,,-1,5
5,风格区域,,0,5
5,风格区域,,1,5
5,风格区域,,2,5
5,风格区域,,3,5
5,风格区域,,4,5
5,风格区域,,-3,-1
5,风格区域,,-3,1
6,家园场景区域,,-1,-2
6,家园场景区域,,0,-2
6,家园场景区域,,1,-2
6,家园场景区域,,-1,-3
6,家园场景区域,,1,-3
7,出生点区域,,0,-3
8,进入本社区区域,,-4,-4
8,进入本社区区域,,4,-4
9,进入其他区域,,0,-5
10,街道预留区域,,-4,-5
10,街道预留区域,,-3,-5
10,街道预留区域,,-2,-5
10,街道预留区域,,-1,-5
10,街道预留区域,,1,-5
10,街道预留区域,,2,-5
10,街道预留区域,,3,-5
10,街道预留区域,,4,-5
10,街道预留区域,,-3,-4
10,街道预留区域,,-2,-4
10,街道预留区域,,-1,-4
10,街道预留区域,,0,-4
10,街道预留区域,,1,-4
10,街道预留区域,,2,-4
10,街道预留区域,,3,-4
