"角色ID	",角色名称,出生工具1ID,出生工具1数量,出生工具2ID,出生工具2数量,出生工具3ID,出生工具3数量,出生工具4ID,出生工具4数量,出生工具5ID,出生工具5数量,出生工具6ID,出生工具6数量,出生工具7ID,出生工具7数量,出生工具8ID,出生工具8数量,出生工具9ID,出生工具9数量,出生工具10ID,出生工具10数量,出生工具11ID,出生工具11数量,出生工具12ID,出生工具12数量,出生工具13ID,出生工具13数量,,受击高度,受击宽度,受击厚度,背部装饰,背部装饰相对位移,,背部装饰相对旋转,,,背部装饰缩放
ID,Name,ItemID1,ItemNum1,ItemID2,ItemNum2,ItemID3,ItemNum3,ItemID4,ItemNum4,ItemID5,ItemNum5,ItemID6,ItemNum6,ItemID7,ItemNum7,ItemID8,ItemNum8,ItemID9,ItemNum9,ItemID10,ItemNum10,ItemID11,ItemNum11,ItemID12,ItemNum12,ItemID13,ItemNum13,,HitHeight,HitWidth,HitThickness,BackOffsetX,BackOffsetY,BackOffsetZ,BackRotX,BackRotY,BackRotZ,BackScale
1,酋长,11002,1,298,5,12594,3,12517,3,12201,1,12202,1,12203,1,12204,1,,,,,,,,,,,,220,120,120,0,-250,-150,0,90,0,1
2,卡卡,11002,1,298,5,12594,3,12519,3,12201,1,12202,1,12203,1,12204,1,,,,,,,,,,,,220,120,120,,,,,,,
3,史提芬教授,11002,1,298,5,12594,3,12512,3,12201,1,12202,1,12203,1,12204,1,,,,,,,,,,,,,,,,,,,,,
4,队长汤姆,11002,1,298,5,12594,3,12523,3,12201,1,12202,1,12203,1,12204,1,,,,,,,,,,,,,,,,,,,,,
5,助教彼得,11002,1,298,5,12594,3,12502,5,12201,1,12202,1,12203,1,12204,1,,,,,,,,,,,,,,,,,,,,,
6,熊孩子,11002,1,298,5,12594,3,12510,3,12201,1,12202,1,12203,1,12204,1,,,,,,,,,,,,,,,,,,,,,
7,酋长夫人,11002,1,298,5,12594,3,12517,3,12201,1,12202,1,12203,1,12204,1,,,,,,,,,,,,,,,,,,,,,
8,妮妮,11002,1,298,5,12594,3,12502,5,12201,1,12202,1,12203,1,12204,1,,,,,,,,,,,,,,,,,,,,,
9,特工罗拉,11002,1,298,5,12594,3,12523,3,12201,1,12202,1,12203,1,12204,1,,,,,,,,,,,,,,,,,,,,,
10,小淘气辛迪,11002,1,298,5,12594,3,12519,3,12201,1,12202,1,12203,1,12204,1,,,,,,,,,,,,,,,,,,,,,
