id,枚举名称,枚举类型,枚举类型名,属性类型（在本表中每新增一个新条目顺序向下加一，枚举名称相同归为一类）,备注
ID,EnumName,Type,,AttType,
100101,基础速度,1,速度类型,1001,
100102,奔跑速度,1,速度类型,1002,
100103,游泳速度,1,速度类型,1003,
100104,潜行速度,1,速度类型,1004,
100201,生命值,2,属性类型,1006,
100202,饥饿度,2,属性类型,1007,
100301,近战伤害,3,伤害类型,1008,
100302,远程伤害,3,伤害类型,1009,
100303,爆炸伤害,3,伤害类型,1010,
100304,燃烧伤害,3,伤害类型,1011,
100305,毒素伤害,3,伤害类型,1012,
100306,混乱伤害,3,伤害类型,1013,
100307,对精英的伤害,3,伤害类型,1014,
100308,对野兽的伤害,3,伤害类型,1015,
100309,对玩家的伤害,3,伤害类型,1016,
100310,对野人的伤害,3,伤害类型,1017,
100311,所有伤害,3,伤害类型,1018,
100401,近战伤害,4,受伤类型,1019,
100402,远程伤害,4,受伤类型,1020,
100403,爆炸伤害,4,受伤类型,1021,
100404,燃烧伤害,4,受伤类型,1022,
100405,毒素伤害,4,受伤类型,1023,
100406,混乱伤害,4,受伤类型,1024,
100407,来自精英的伤害,4,受伤类型,1025,
100408,来自野兽的伤害,4,受伤类型,1026,
100409,来自玩家的伤害,4,受伤类型,1027,
100410,来自野人的伤害,4,受伤类型,1028,
100411,跌落伤害,4,受伤类型,1029,
100412,所有伤害,4,受伤类型,1030,
100501,近战防御,5,防御力类型,1031,
100502,远程防御,5,防御力类型,1032,
100503,爆炸防御,5,防御力类型,1033,
100504,燃烧抗性,5,防御力类型,1034,
100505,毒素抗性,5,防御力类型,1035,
100506,混乱抗性,5,防御力类型,1036,
100507,所有防御力,5,防御力类型,1037,
100601,挖掘,6,幸运类型,1038,
100602,狩猎,6,幸运类型,1039,
100701,全身,7,身体部位,1040,
100702,头部,7,身体部位,1041,
100801,水下,8,环境,1042,
100802,太空,8,环境,1043,
100901,近战攻击,9,攻击力类型,1044,
100902,远程攻击,9,攻击力类型,1045,
100903,爆炸攻击,9,攻击力类型,1046,
100904,燃烧攻击,9,攻击力类型,1047,
100905,毒素攻击,9,攻击力类型,1048,
100906,混乱攻击,9,攻击力类型,1049,
100907,所有攻击力,9,攻击力类型,1050,
101001,近战伤害,10,属性伤害,1019,
101002,远程伤害,10,属性伤害,1020,
101003,爆炸伤害,10,属性伤害,1021,
101004,燃烧伤害,10,属性伤害,1022,
101005,毒素伤害,10,属性伤害,1023,
101006,混乱伤害,10,属性伤害,1024,
101007,真实伤害,10,属性伤害,1051,
101101,体力值,11,体力类型,1052,
101102,拓展体力值,11,体力类型,1053,
101201,所有体力消耗行为,12,玩家体力消耗行为类型,1054,
101202,奔跑,12,玩家体力消耗行为类型,1055,
101203,游泳,12,玩家体力消耗行为类型,1056,
101204,奔跑跳跃,12,玩家体力消耗行为类型,1057,
101205,挖掘方块,12,玩家体力消耗行为类型,1058,
101206,使用工具蓄力,12,玩家体力消耗行为类型,1059,
101301,所有体力恢复状态,13,玩家体力恢复行为类型,1060,
101302,静止,13,玩家体力恢复行为类型,1061,
101303,行走,13,玩家体力恢复行为类型,1062,
101304,潜行,13,玩家体力恢复行为类型,1063,
101401,剧烈运动,14,玩家剧烈运动行为类型,1065,
101402,奔跑跳跃,14,玩家剧烈运动行为类型,1066,
101403,挖掘方块,14,玩家剧烈运动行为类型,1067,
101404,使用工具蓄力,14,玩家剧烈运动行为类型,1068,
101405,二段跳,14,玩家剧烈运动行为类型,1069,
101406,攻击,14,玩家剧烈运动行为类型,1070,
100203,温度,2,属性类型,1073,
101501,低温,15,温度类型,1074,
101502,高温,15,温度类型,1075,
100313,冰冻伤害,3,伤害类型,1076,
100413,冰冻伤害,4,受伤类型,1077,
100508,冰冻抗性,5,防御力类型,1078,
100908,冰冻攻击力,9,攻击力类型,1079,
101008,冰冻伤害,10,属性伤害,1077,
101601,全部,16,液体方块类型,1081,
101602,水方块,16,液体方块类型,1082,
101603,流沙方块,16,液体方块类型,1083,
101604,蜂蜜方块,16,液体方块类型,1084,
101605,岩浆方块,16,液体方块类型,1085,
101701,所有,17,食物类型,1086,
101702,生的,17,食物类型,1087,
101703,烤的,17,食物类型,1088,
101704,煮的,17,食物类型,1089,
101705,药品,17,食物类型,1090,
101801,所有,18,恢复属性类型,1091,
101802,生命值,18,恢复属性类型,1092,
101803,体力值,18,恢复属性类型,1093,
101804,护盾,18,恢复属性类型,1094,
101805,毅力,18,恢复属性类型,1095,
101806,氧气,18,恢复属性类型,1096,
