方块ID,方块名称,英文名称,插件用名称[必填/不能有空格],繁体名称,海外开放（0和空为在国内海外都开放，1为只在国内开放，2为只在海外开放）,类别,插件编辑[大于0开放插件编辑，1=综合，2=彩色，3=建筑],触发器开放[1=植物方块 2=液体方块 3=自然方块 4=装饰方块 5=功能方块],地形编辑器开放[1=植物方块 2=液体方块 3=自然方块 4=装饰方块 5=功能方块],成长后替换的模型ID,插件编辑模板[0=不是模板，1=作为模板],渲染贴图组,鼠标点击碰撞,移动碰撞[0=空气， 1=固体， 2= 液体， 3=不阻挡投射物，4=空气挡子弹，5=不阻挡物理],阻挡水流（0=不阻挡，1=阻挡，2=被流沙同化，3=覆盖阻挡）,"推动标识-0:普通推动后续方块, 1:推动碾碎, 2:不能推动",重力影响方式0:不影响， 1: 沙子会下坠， 2: 流体会往低处流， 3：花草会破坏,PlaceDir(0：没有方向，1：和放置的面相关，类似火把，  2：和自己视线的方向相关，类似楼梯),放置可直接替换,植物标识（填了1就视为是植物方块）,生长时间（生长阶段数|阶段生成时间）,覆雪标识[默认0=不覆雪 1=覆雪],爆炸抗性,硬度,地滑程度,燃烧速度,点燃概率,毒液侵蚀速度,充能状态,掉落物1,掉落概率1,掉落物2,掉落概率2,空手掉落物,空手掉落概率,采集掉落经验,掉落经验概率,"遮挡旁边块0: 不遮挡， 1: 遮挡， 2： 根据厚度来定,  3: 遮挡相同材质",光衰减,光源强度,使用旁边方块的光照,高度（block),贴图1,贴图2/模型类这里填模型名称,走在上面声音,挖的声音,放置的声音,精准掉落物品,采集工具/1=斧头，2=镐，3=铲子，5=剪刀,工具等级（1=石质，2=黄铜，3=秘银，4=钛金，5=钨金）,随机颜色,小地图颜色,分数,特殊数据1,可被投掷物击碎,特效名字,蓝图方块分类[多类相加，1=不能复制 2=不消耗 4=有方向的方块 8=随机数 16=多方向 32=不能替换],所需材料替换方块[蓝图],物理碰撞（0-无碰撞，1-满1格碰撞，2-不满一格的碰撞，3-门那种， 6-会根据方块data改变形状）,微缩透明度(0全透 15不透明),微缩发光度(0最亮 15不发光),温度源强度（用于计算温度源的热传导）,温度衰减（用于计算温度源的传热衰减）,植物生长温度区间（1=冻结，2=极寒，3=寒冷，4=适宜，5=炎热，6=极热，7=自燃；不在适宜温度区间则会降低生长速度，仅对cropper，flowergrow，melonstem，shrub这几个type生效；0或不填则不开启）,"多格方块类型(0非多格,1多格例如床钢琴箱子等)",韧度值,LOD等级(默认为0，0=强制显示),是否产生阴影(默认为1)
ID,Name,ENName,Key,TWName,RegionType,Type,EditType,TriggerType,TerrainEditor,ModelIndex,IsTemplate,TextureGroup,ClickCollide,MoveCollide,BlockFlow,PushFlag,GravityEffect,PlaceDir,Replaceable,CropsSign,GrowthTime,EnablePlaceSnow,AntiExplode,Hardness,Slipperiness,BurnSpeed,CatchFire,CorrodeSpeed,PowerState,ToolMineDrop1,ToolMineProb1,ToolMineDrop2,ToolMineProb2,HandMineDrop,HandMineProb,MineExp,MineExpOdds,CoverNeighbor,LightAtten,LightSrc,UseNeighborLight,Height,Texture1,Texture2,WalkSound,DigSound,PlaceSound,PreciseDrop,MineTool,ToolLevel,RandomColors,MiniColor,Score,UserData1,Breakable,EffectName,BluePrintFlag,ConvertID,PhyCollide,CustommodelAlpha,CustommodelLight,TempSrc,TempAtten,GrowthTempRange,MultiGridsBlockType,Tenacity,LOD,SupportCastShadow
0,空气,Air,Air,,,air,,3,,,,,0,0,0,1,0,0,1,,,,0,-1,1,0,,0,,0,0,0,0,0,0,,,0,0,0,,1,,,,,,0,0,,,,,,,,1,,0,15,15,,1,,,,,
1,地心基石,UltraStone,UltraStone,,,basic,,3,3,,,1,1,1,1,2,0,0,,,,1,-1,-1,1,0,,0,,1,10000,0,0,0,0,,,1,15,0,,1,ultrastone,,blocks.stone,blockd.stone,,0,0,,,3d3c59,,,,,33,,1,15,15,,6,,,,,
2,功能方块,FunctionBlock,FunctionBlock,,,basic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
3,静态水,StaticWater,StaticWater,,,stillfluidwater,,2,2,,,,0,2,0,1,2,0,1,,,,10,-1,1,0,,0,,0,0,0,0,0,0,,,0,1,0,,1,water_still,,,,env.splash,0,0,,,0e7bc0,,,,,2,,0,8,15,,1,,,,,
4,动态水,Water,Water,,,flowfluidwater,,2,2,,,,0,2,0,1,2,0,1,,,,10,-1,1,0,,0,,0,0,0,0,0,0,,,0,1,0,,1,water_flow,,,,env.splash,0,0,,,,,,,,2,,0,15,15,,1,,,,,
5,静态岩浆,StaticLava,StaticLava,,,stillfluidlava,,2,2,,,,0,2,0,1,2,0,1,,,,50,-1,1,0,,0,,0,0,0,0,0,0,,,4,0,15,,1,lava_still,,,,,0,0,,,b84b22,,,,,2,,0,15,15,13,1,,,,,
6,动态岩浆,Lava,Lava,,,flowfluidlava,,2,2,,,,0,2,0,1,2,0,1,,,,50,-1,1,0,,0,,0,0,0,0,0,0,,,4,0,15,,1,lava_flow,,,,,0,0,,,b84b22,,,,,2,,0,8,0,13,1,,,,,
7,传送光效,TeleportEffect,TeleportEffect,,,basic,,,,,,,0,0,0,2,3,1,1,,,,0,0,1,0,,0,,0,0,0,0,0,0,,,0,0,11,,1,,,,,,0,0,,,,,,,,,,0,8,0,,1,,,,,
8,雕纹砖块,EngravingBlock,EngravingBlock,,,basic,,4,4,,,,1,1,1,2,0,0,,,,1,-1,200,1,0,,0,,8,10000,0,0,0,0,,,2,15,0,,1,engraving_block,,blocks.stone,blockd.stone,,8,2,5,,844e3a,,,,,,,1,15,15,,6,,,10,,
9,加速移动方块,SpeedUpBlock,SpeedUpBlock,,,portal,,4,4,,,,1,0,1,2,3,1,,,,,50,5,1,0,,0,,9,10000,0,0,9,10000,,,0,0,15,,1,speedup_block,,blocks.stone,blockd.stone,,9,2,5,,ff7717,,,,,,,0,8,0,,1,,,5,,
10,星能块,StarenergyBlock,StarenergyBlock,,,powerbasic,,,,,,,1,1,1,0,0,0,,,,1,10,1,1,0,,0,,10,10000,0,0,10,10000,,,1,15,0,,1,starenergy_block,,blocks.stone,blockd.stone,,10,0,1,,81c9fb,,,,,,,1,15,15,,6,,,1,,
11,静态蜂蜜,StaticHoney,StaticHoney,,,stillfluidhoney,,2,2,,,,0,2,0,1,2,0,1,,,,10,-1,1,0,,0,,0,0,0,0,0,0,,,0,1,0,,1,honey_still,,,,env.splash,0,0,,,d38400,,,,,2,,0,8,0,,1,,,,,
12,动态蜂蜜,Honey,Honey,,,flowfluidhoney,,2,2,,,,0,2,0,1,2,0,1,,,,10,-1,1,0,,0,,0,0,0,0,0,0,,,0,1,0,,1,honey_flow,,,,env.splash,0,0,,,d38400,,,,,2,,0,8,0,,1,,,,,
13,静态流沙,StaticQuicksand,StaticQuicksand,,,staticsandflow,,2,2,,,,0,2,2,1,2,0,1,,,,10,-1,1,0,,0,,0,0,0,0,0,0,,,0,1,0,,1,sand_still,,,,env.splash,0,0,,,efd974,,,,,2,,0,8,15,,1,,,,,
14,动态流沙,Quicksand,Quicksand,,,sandflow,,2,2,,,,0,2,2,1,2,0,1,,,,10,-1,1,0,,0,,0,0,0,0,0,0,,,0,1,0,,1,sand_flow,,,,env.splash,0,0,,,efd974,,,,,2,,0,15,15,,1,,,,,
15,咒岩,CurseStone,CurseStone,,,cursestone,1,3,3,,,,1,1,1,0,0,0,,,,1,500,500,1,0,,0,,15,10000,0,0,15,10000,,,1,15,0,,1,cursestone,,blocks.stone,blockd.stone,,15,2,2,,3d2168,,,,cursestone.ent,,,1,15,15,,6,,,999,,
16,咒岩-激活,CurseStoneActivated,CurseStoneActivated,,,cursestoneactivated,,,,,,,0,0,1,2,0,0,,,,1,500,200,1,0,,0,,0,0,0,0,0,0,,,0,0,1,,1,cursestone_activated,,,,,15,2,2,,3d2168,,,,,,,0,0,15,,6,,,999,,
17,静态剧毒,StaticHighlyVenom,StaticHighlyVenom,,,stillvenom,,2,2,,,,0,2,0,1,2,0,1,,,,10,-1,1,0,,0,,0,0,0,0,0,0,,,0,1,0,,1,highlyvenom_still,,,,env.splash,0,0,,,128c34,,,,,,,0,15,15,,1,,,,,
18,动态剧毒,HighlyVenom,HighlyVenom,,,flowvenom,,2,2,,,,0,2,0,1,2,0,1,,,,10,-1,1,0,,0,,0,0,0,0,0,0,,,0,1,0,,1,highlyvenom_flow,,,,env.splash,0,0,,,128c34,,,,,,,0,8,0,,1,,,,,
19,风蚀岩,WindErosionStone,WindErosionStone,,,log,1,3,3,,,,1,1,1,0,0,0,,,,1,20,4,1,0,,0,,19,10000,0,0,0,0,,,1,15,0,,1,winderosion_stone,,blocks.stone,blockd.stone,,19,2,1,,c79d59,,,,,,,1,15,15,,6,,,4,,
20,外星空气,,,,,alienair,,,,,,,0,0,0,1,0,0,1,,,,0,-1,1,0,,0,,0,0,0,0,0,0,,,0,0,0,,1,water_still,,,,,0,0,,,,,,,,1,,0,15,15,,1,,,,,
21,信号发生器,,,,,radioproducer,,,,,,,1,1,1,2,0,0,,,,,,,1,0,,0,,,,,,,,,,,,,,1,alientotem1,alientotem1,,,,,,,,,,,,,,,1,15,15,,6,,,,,
22,信号接收器,,,,,radioreceiver,,,,,,,1,1,1,2,0,0,,,,,,,1,0,,0,,,,,,,,,,,,,,1,alientotem2,alientotem2,,,,,,,,,,,,,,,1,15,15,,6,,,,,
23,深积岩,SedimentaryRock,SedimentaryRock,,,plutonicrock,1,3,3,,,,1,1,1,0,0,0,,,,1,12,12,1,0,,0,,23,10000,0,0,23,10000,,,1,15,0,,1,sedimentaryrock,,blocks.stone,blockd.stone,,23,2,2,,191970,,,,,,,1,15,15,,6,,,5,,
24,锰结核矿,ManganeseOre,ManganeseOre,,,minestone,1,3,3,,,,1,1,1,0,0,0,,,,1,50,40,1,0,,0,,12614,20000,12614,7500,12614,10000,,,1,15,0,1,1,meng,meng1,blocks.stone,blockd.stone,,24,2,3,,9932CC,,,,,,,1,15,15,,6,,,30,3,
25,礁石,Reef,Reef,,,reef,1,3,3,,,,1,1,1,0,0,0,,,,1,10,10.5,1,0,,0,,25,10000,0,0,25,10000,,,1,15,0,,1,reef,,blocks.stone,blockd.stone,,25,2,1,,2F4F4F,,,,,,,1,15,15,,6,,,10,,
26,漂流瓶,,,,,driftBottle,,4,,3887,,,1,1,1,0,0,0,,,,,3,0,1,0,,0,,26,10000,0,0,26,10000,,,2,1,0,,1,drift_bottle,drift_bottle,blocks.stone,blockd.glass,blockd.stone,748,2,1,,ffffff,1,,1,item_749.ent,,,0,8,0,,1,,,1,3,
27,远方的漂流瓶,,,,,driftBottle,,4,,3887,,,1,1,1,0,0,0,,,,,3,0,1,0,,0,,27,10000,0,0,27,10000,,,2,1,0,,1,far_drift_bottle,far_drift_bottle,blocks.stone,blockd.glass,blockd.stone,748,2,1,,ffffff,1,,1,item_749.ent,,,0,8,0,,1,,,1,3,
28,小玻璃瓶（方块）,,,,,placeBottle,,4,,3888,,,1,1,1,0,0,0,,,,,3,0,1,0,,0,,11320,10000,0,0,11320,10000,,,2,1,0,,1,glass_bottle,glass_bottle,blocks.stone,blockd.glass,blockd.stone,748,2,1,,ffffff,1,,1,item_749.ent,,,0,8,0,,6,,,1,3,
29,黄沙,Sand,Sand,,,solidsand,1,3,3,,1,1,1,1,2,0,1,0,,,,1,7,3,1,0,,0,,29,10000,0,0,29,10000,,,1,15,0,,1,new_sand,,blocks.sand,blockd.sand,,29,3,1,,efd974,,,,,,,1,15,15,,6,,,2,,
30,游戏版本过低,,,,,basic,,,,,,,1,1,1,2,0,0,,,,,,,1,0,,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,15,15,,1,,,,,
31,坚固冰棱,HardIcicle,HardIcicle,,,hardicicle,1,3,3,,,,1,1,1,1,3,0,,,,,12,5,1,0,,0,,31,10000,0,0,31,10000,,,0,1,0,,1,icicle1,icicle,blocks.stone,blocks.stone,,31,2,1,,6e8f41,5,,,,8,,0,15,15,,1,,,2,,
32,脆冰棱,WeakIcicle,WeakIcicle,,,icicle,1,3,3,,,,1,1,1,1,3,0,,,,,12,5,1,0,,0,,32,10000,0,0,32,10000,,,0,1,0,,1,icicle,icicle,blocks.stone,blocks.stone,,32,2,1,,6e8f41,5,,,,8,,0,15,15,,1,,,2,,
33,平凡晶核矿,OrdinaryCrystalCoreOre,OrdinaryCrystalCoreOre,,,minestone,1,3,3,,,,1,1,1,0,0,0,,,,1,50,20,1,0,,0,,11570,10000,0,0,11570,10000,5,10000,1,15,0,1,1,pingfan,pingfan1,blocks.stone,blockd.stone,,33,2,3,,6c4729,,,,,,,1,15,15,,6,,,5,3,
