枚举ID,枚举名称,枚举类型,枚举类型名,触发器显示（0=默认全部可见 1=仅开发者可见 2=仅999渠道可见）,,
ID,EnumName,Type,,Display,,
10001,晴雨交错,1,天气,0,,
10002,晴天,1,天气,0,,
10003,雨天,1,天气,0,,
10004,雷暴,1,天气,0,,
10005,恶劣天气,1,天气,0,,
10006,下雪,1,天气,0,,
10007,沙尘暴,1,天气,0,,
10008,暴风雨,1,天气,0,,
10009,暴风雪,1,天气,0,,
20001,东,2,朝向,0,,
20002,南,2,朝向,0,,
20003,西,2,朝向,0,,
20004,北,2,朝向,0,,
20005,上,2,朝向,0,,
20006,下,2,朝向,0,,
30001,主视角,3,视角,0,,
30002,背视角,3,视角,0,,
30003,正视角,3,视角,0,,
30004,俯视角,3,视角,0,,
30005,自定义视角,3,视角,0,,
30006,背视角2,3,视角,0,,
40001,X,4,坐标分量,0,,
40002,Y,4,坐标分量,0,,
40003,Z,4,坐标分量,0,,
50001,角度制,5,角度单位,0,,
50002,弧度制,5,角度单位,0,,
60001,Log,6,固定底对数,0,,
60002,Ln,6,固定底对数,0,,
70001,向下,7,取整方式,0,,
70002,四舍五入,7,取整方式,0,,
70003,向上,7,取整方式,0,,
80001,近战伤害,8,伤害类型,0,,
80002,远程伤害,8,伤害类型,0,,
80003,爆炸伤害,8,伤害类型,0,,
80004,燃烧伤害,8,伤害类型,0,,
80005,毒伤害,8,伤害类型,0,,
80006,混乱伤害,8,伤害类型,0,,
80007,掉落伤害,8,伤害类型,0,,
80008,窒息伤害,8,伤害类型,0,,
80009,冰冻伤害,8,伤害类型,0,,
90001,是,9,是否,0,,
90002,否,9,是否,0,,
100001,开,10,开关,0,,
100002,关,10,开关,0,,
110001,最大值,11,最大最小值,0,,
110002,最小值,11,最大最小值,0,,
120001,等于,12,比较计算符,0,,
120002,不等于,12,比较计算符,0,,
120003,大于,12,比较计算符,0,,
120004,小于,12,比较计算符,0,,
120005,大于等于,12,比较计算符,0,,
120006,小于等于,12,比较计算符,0,,
130001,加,13,数学运算符,0,,
130002,减,13,数学运算符,0,,
130003,乘,13,数学运算符,0,,
130004,除,13,数学运算符,0,,
140001,最大生命值,14,玩家属性,0,,
140002,当前生命值,14,玩家属性,0,,
140003,生命恢复,14,玩家属性,0,,
140006,当前饥饿度,14,玩家属性,0,,
140008,当前氧气值,14,玩家属性,0,,
140010,移动速度,14,玩家属性,0,,
140011,奔跑速度,14,玩家属性,0,,
140012,潜行速度,14,玩家属性,0,,
140013,游泳速度,14,玩家属性,0,,
140014,跳跃,14,玩家属性,0,,
140015,闪避率,14,玩家属性,0,,
140016,近战攻击,14,玩家属性,0,,
140017,远程攻击,14,玩家属性,0,,
140018,近战防御,14,玩家属性,0,,
140019,远程防御,14,玩家属性,0,,
140020,模型大小,14,玩家属性,0,,
140022,星星数,14,玩家属性,0,,
140023,当前经验值,14,玩家属性,0,,
140024,当前等级,14,玩家属性,0,,
140025,最大体力值,14,玩家属性,0,,
140026,当前体力值,14,玩家属性,0,,
140027,体力值恢复速度倍率,14,玩家属性,0,,
150001,静止,15,运动状态,0,,
150002,移动,15,运动状态,0,,
150004,奔跑,15,运动状态,0,,
150005,跳跃,15,运动状态,0,,
150006,二段跳,15,运动状态,0,,
150007,潜行,15,运动状态,0,,
150011,落地,15,运动状态,0,,
160001,可移动,16,玩家设置,0,,
160002,可摆放方块,16,玩家设置,0,,
160003,可与方块交互,16,玩家设置,0,,
160004,可破坏方块,16,玩家设置,0,,
160005,可使用道具,16,玩家设置,0,,
160006,可攻击,16,玩家设置,0,,
160007,可受到伤害,16,玩家设置,0,,
160008,可被杀死,16,玩家设置,0,,
160009,可拾取道具,16,玩家设置,0,,
160010,可死亡掉落,16,玩家设置,0,,
160011,可丢弃道具,16,玩家设置,0,,
170001,队伍1红,17,队伍,0,,
170002,队伍2蓝,17,队伍,0,,
170003,队伍3绿,17,队伍,0,,
170004,队伍4黄,17,队伍,0,,
170005,队伍5橙,17,队伍,0,,
170006,队伍6紫,17,队伍,0,,
170007,无队伍,17,队伍,0,,
180001,玩家数量,18,队伍属性,0,,
180002,得分,18,队伍属性,0,,
190001,可被破坏,19,方块设置,0,,
190002,可被交互,19,方块设置,0,,
190003,可被推动,19,方块设置,0,,
190004,可掉落道具,19,方块设置,0,,
200001,空,20,生物行动状态,0,,
200002,待机,20,生物行动状态,0,,
200003,闲逛,20,生物行动状态,0,,
200004,近战攻击,20,生物行动状态,0,,
200005,远程攻击,20,生物行动状态,0,,
200006,跟随,20,生物行动状态,0,,
