iD,名字,效果类型,附魔等级,效果数值1,效果数值2,"攻击类型: -1不限, 0:近程,1:远程,2:爆炸, 3:火,4:毒,5:暗","目标类型:-1不限,0玩家npc,1动物,2野人，3魔物，4远古",冲突类型（默认0，不冲突）,属性描述,附魔类型权重,工具类型1,工具类型2,工具类型3,工具类型4,工具类型5,工具类型6,工具类型7,工具类型8,工具类型9,工具类型10,工具类型11,工具类型12,图标特效颜色,备注, 基础特效, 基础特效2,图标（脚本ID库使用，引用IconBank表图标id）
ID,Name,EnchantType,EnchantLevel,EnchantValue1,EnchantValue2,AttackType,TargetType,ConflictID,AttrDesc,Weight,ToolType1,ToolType2,ToolType3,ToolType4,ToolType5,ToolType6,ToolType7,ToolType8,ToolType9,ToolType10,ToolType11,ToolType12,Color,,effect,effect2,Icon
5,击飞,KNOCKUP,1,1,,0,-1,,近战攻击会将目标击飞到4格的空中。,5,6,17,,,,,,,,,,,ff8033CD,攻击带有击飞效果，数值1是击飞的格子高度,magic_impact,,DAMAGED_FALLING_ADD
5,击飞,KNOCKUP,2,2,,0,-1,,近战攻击会将目标击飞到6格的空中。,5,6,17,,,,,,,,,,,ff8033CD,,magic_impact,,DAMAGED_FALLING_ADD
5,击飞,KNOCKUP,3,3,,0,-1,,近战攻击会将目标击飞到8格的空中。,5,6,17,,,,,,,,,,,ff8033CD,,magic_impact,,DAMAGED_FALLING_ADD
5,击飞,KNOCKUP,4,4,,0,-1,,近战攻击会将目标击飞到10格的空中。,5,6,17,,,,,,,,,,,ff8033CD,,magic_impact,,DAMAGED_FALLING_ADD
5,击飞,KNOCKUP,5,5,,0,-1,,近战攻击会将目标击飞到12格的空中。,5,6,17,,,,,,,,,,,ff8033CD,,magic_impact,,DAMAGED_FALLING_ADD
6,锐利,SHARP,1,5,,0,-1,,近战攻击伤害+5,10,1,6,17,,,,,,,,,,ff8033CD,攻击增加伤害，数值1是伤害的点数，还可以配置攻击和目标的类型,magic_sharp,,attack_punch_add
6,锐利,SHARP,2,10,,0,-1,,近战攻击伤害+10,10,1,6,17,,,,,,,,,,ff8033CD,,magic_sharp,,attack_punch_add
6,锐利,SHARP,3,16,,0,-1,,近战攻击伤害+16,10,1,6,17,,,,,,,,,,ff8033CD,,magic_sharp,,attack_punch_add
6,锐利,SHARP,4,24,,0,-1,,近战攻击伤害+24,10,1,6,17,,,,,,,,,,ff8033CD,,magic_sharp,,attack_punch_add
6,锐利,SHARP,5,35,,0,-1,,近战攻击伤害+35,10,1,6,17,,,,,,,,,,ff8033CD,,magic_sharp,,attack_punch_add
7,人类猎手,SHARP,1,8,,0,0,,对人类的近战攻击伤害+8,10,1,6,17,,,,,,,,,,ff8033CD,,magic_hunter,,attack_player_add
7,人类猎手,SHARP,2,16,,0,0,,对人类的近战攻击伤害+16,10,1,6,17,,,,,,,,,,ff8033CD,,magic_hunter,,attack_player_add
7,人类猎手,SHARP,3,25,,0,0,,对人类的近战攻击伤害+25,10,1,6,17,,,,,,,,,,ff8033CD,,magic_hunter,,attack_player_add
7,人类猎手,SHARP,4,40,,0,0,,对人类的近战攻击伤害+40,10,1,6,17,,,,,,,,,,ff8033CD,,magic_hunter,,attack_player_add
7,人类猎手,SHARP,5,60,,0,0,,对人类的近战攻击伤害+60,10,1,6,17,,,,,,,,,,ff8033CD,,magic_hunter,,attack_player_add
8,动物猎手,SHARP,1,8,,0,1,,对动物的近战攻击伤害+8,10,1,6,17,,,,,,,,,,ff8033CD,,magic_hunter,,attack_animal_add
8,动物猎手,SHARP,2,16,,0,1,,对动物的近战攻击伤害+16,10,1,6,17,,,,,,,,,,ff8033CD,,magic_hunter,,attack_animal_add
8,动物猎手,SHARP,3,25,,0,1,,对动物的近战攻击伤害+25,10,1,6,17,,,,,,,,,,ff8033CD,,magic_hunter,,attack_animal_add
8,动物猎手,SHARP,4,40,,0,1,,对动物的近战攻击伤害+40,10,1,6,17,,,,,,,,,,ff8033CD,,magic_hunter,,attack_animal_add
8,动物猎手,SHARP,5,60,,0,1,,对动物的近战攻击伤害+60,10,1,6,17,,,,,,,,,,ff8033CD,,magic_hunter,,attack_animal_add
9,魔物猎手,SHARP,1,8,,0,3,,对地心硫磺弓手和熔岩巨人的近战攻击伤害+8,10,1,6,17,23,,,,,,,,,ff8033CD,,magic_hunter,,attack_undead_add
9,魔物猎手,SHARP,2,16,,0,3,,对地心硫磺弓手和熔岩巨人的近战攻击伤害+16,10,1,6,17,23,,,,,,,,,ff8033CD,,magic_hunter,,attack_undead_add
9,魔物猎手,SHARP,3,25,,0,3,,对地心硫磺弓手和熔岩巨人的近战攻击伤害+25,10,1,6,17,23,,,,,,,,,ff8033CD,,magic_hunter,,attack_undead_add
9,魔物猎手,SHARP,4,40,,0,3,,对地心硫磺弓手和熔岩巨人的近战攻击伤害+40,10,1,6,17,23,,,,,,,,,ff8033CD,,magic_hunter,,attack_undead_add
9,魔物猎手,SHARP,5,60,,0,3,,对地心硫磺弓手和熔岩巨人的近战攻击伤害+60,10,1,6,17,23,,,,,,,,,ff8033CD,,magic_hunter,,attack_undead_add
29,野人猎手,SHARP,1,8,,0,2,,对所有野人的近战攻击伤害+8,10,1,6,17,,,,,,,,,,ff8033CD,,magic_hunter,,attack_wither_reduce
29,野人猎手,SHARP,2,16,,0,2,,对所有野人的近战攻击伤害+16,10,1,6,17,,,,,,,,,,ff8033CD,,magic_hunter,,attack_wither_reduce
29,野人猎手,SHARP,3,25,,0,2,,对所有野人的近战攻击伤害+25,10,1,6,17,,,,,,,,,,ff8033CD,,magic_hunter,,attack_wither_reduce
29,野人猎手,SHARP,4,40,,0,2,,对所有野人的近战攻击伤害+40,10,1,6,17,,,,,,,,,,ff8033CD,,magic_hunter,,attack_wither_reduce
29,野人猎手,SHARP,5,60,,0,2,,对所有野人的近战攻击伤害+60,10,1,6,17,,,,,,,,,,ff8033CD,,magic_hunter,,attack_wither_reduce
10,点燃,TARGET_FIRE,1,33,1,-1,-1,,攻击会点燃目标3秒，每秒造成5点伤害。,10,6,7,17,,,,,,,,,,ff8033CD,攻击附带点燃，数值1是BUFFID，数值2是等级。,magic_ignite,magic_fireball,damagebuff_fire
10,点燃,TARGET_FIRE,2,33,2,-1,-1,,攻击会点燃目标3秒，每秒造成10点伤害。,10,6,7,17,,,,,,,,,,ff8033CD,,magic_ignite,magic_fireball,damagebuff_fire
10,点燃,TARGET_FIRE,3,33,3,-1,-1,,攻击会点燃目标3秒，每秒造成15点伤害。,10,6,7,17,,,,,,,,,,ff8033CD,,magic_ignite,magic_fireball,damagebuff_fire
10,点燃,TARGET_FIRE,4,33,4,-1,-1,,攻击会点燃目标3秒，每秒造成20点伤害。,10,6,7,17,,,,,,,,,,ff8033CD,,magic_ignite,magic_fireball,damagebuff_fire
10,点燃,TARGET_FIRE,5,33,5,-1,-1,,攻击会点燃目标3秒，每秒造成25点伤害。,10,6,7,17,,,,,,,,,,ff8033CD,,magic_ignite,magic_fireball,damagebuff_fire
11,击退,KNOCK,1,2,,-1,-1,,攻击会将目标额外击退2格。,10,6,7,17,,,,,,,,,,ff8033CD,数值1是增加的击退距离,magic_impact,magic_silverring,knock
11,击退,KNOCK,2,4,,-1,-1,,攻击会将目标额外击退4格。,10,6,7,17,,,,,,,,,,ff8033CD,,magic_impact,magic_silverring,knock
11,击退,KNOCK,3,6,,-1,-1,,攻击会将目标额外击退6格。,10,6,7,17,,,,,,,,,,ff8033CD,,magic_impact,magic_silverring,knock
11,击退,KNOCK,4,8,,-1,-1,,攻击会将目标额外击退8格。,10,6,7,17,,,,,,,,,,ff8033CD,,magic_impact,magic_silverring,knock
11,击退,KNOCK,5,10,,-1,-1,,攻击会将目标额外击退10格。,10,6,7,17,,,,,,,,,,ff8033CD,,magic_impact,magic_silverring,knock
12,狩猎幸运,ROB,1,1,,-1,-1,,击败生物时有20%几率获得两倍掉落。,3,6,7,17,,,,,,,,,,ff8033CD,数值1是增加的掉落几率,magic_lucky,magic_goldring,luck_killmob
12,狩猎幸运,ROB,2,2,,-1,-1,,击败生物时有20/15%几率获得二/三倍掉落。,3,6,7,17,,,,,,,,,,ff8033CD,,magic_lucky,magic_goldring,luck_killmob
12,狩猎幸运,ROB,3,3,,-1,-1,,击败生物时有20/15/15%几率获得二/三/四倍掉落。,3,6,7,17,,,,,,,,,,ff8033CD,,magic_lucky,magic_goldring,luck_killmob
13,强力射击,BOW_ATTACK,1,0.25,,1,-1,,弓箭射击的伤害增加25%。,10,7,17,,,,,,,,,,,ff8033CD,数值1是增加的弓伤害比例，攻击类型和目标无效,,magic_strong,attack_range_add
13,强力射击,BOW_ATTACK,2,0.5,,1,-1,,弓箭射击的伤害增加50%。,10,7,17,,,,,,,,,,,ff8033CD,,,magic_strong,attack_range_add
13,强力射击,BOW_ATTACK,3,0.75,,1,-1,,弓箭射击的伤害增加75%。,10,7,17,,,,,,,,,,,ff8033CD,,,magic_strong,attack_range_add
