部件ID（跟方块ID相同）,名称,机械核心（0=不是核心，1=是核心）,生命值,部件类型（0=框架，1=移动装置[1=车轮]，2=动力装置[1=引擎]，3=座位，4=武器，5=辅助装置，6=关节部件）,子类型（根据部件类型不同有不同含义，0=全部）,作为护甲（0=否，1=作为护甲给核心加生命值）,增加电力上限,占用电力,是否耗能,消耗速度（每消耗间隔消耗的燃料值）,消耗间隔（单位0.1秒）,方块数,使用类型（0=主动，1=被动）,直连端口触发类型[0=改状态的，1=使用的，2=载具控制的],是否屏蔽界面交互触发(1=屏蔽，不填=不屏蔽),功能效果（Key1填键位（填0会自动分配按键），KeyIcon1填图标（不填则使用道具图标），KeyType填按键类型（0=按住类，1=开关类）
PartsID,Name,IsCore,Life,PartsType,SubType,IsCoreArmor,AddPower,UsePower,IsEnergy,CostValue,CostInterval,BlockNum,UseType,PortTriggerType,CanTrigger,Functions
1082,车身方块,0,90,0,0,1,0,0,0,0,0,1,0,0,,
1083,转向车轮,0,180,1,1,0,0,0,0,0,0,1,0,2,,"[{""FunctionID"":1,""DriveSwitch"":1,""DriveDirection"":0,""SteeringSwitch"":1,""SteeringDirection"":0,""SteeringRange"":40,""SteeringRate"":40,""RecoverMode"":1,""LeftKey"":1,""RightKey"":2,""BrakeTorque"":100000,""Icon"":100,""MOI"":0.25,""DampingRate"":250000,""MaxCompression"":250,""MaxDroop"":250,""SpringStrength"":0.01,""SpringDamperRate"":0.01,""Key1"":97,""KeyIcon1"":""icon_turnleft"",""KeyType1"":0,""Key2"":100,""KeyIcon2"":""icon_turnright"",""KeyType2"":0}]"
1084,驾驶座,1,180,3,1,0,10,0,0,0,0,1,1,2,,"[{""FunctionID"":3,""SeatType"":0,""IsControl"":1,""LeaveKey"":40,""Icon"":100,""Key1"":16,""KeyIcon1"":""icon_getout"",""KeyType1"":1,""Key2"":114,""KeyIcon2"":""icon_turnover"",""KeyType2"":1},{""FunctionID"":4,""ResetKey"":1,""Icon"":100}]"
1085,机械车间,0,90,0,0,1,0,0,0,0,0,1,0,0,,
1086,转盘（测试的）,0,90,0,0,1,0,0,0,0,0,1,0,0,,
1087,动力车轮,0,180,1,1,0,0,0,0,0,0,1,0,2,,"[{""FunctionID"":1,""DriveSwitch"":1,""DriveDirection"":0,""SteeringSwitch"":0,""SteeringDirection"":0,""SteeringRange"":40,""SteeringRate"":40,""RecoverMode"":1,""LeftKey"":1,""RightKey"":2,""BrakeTorque"":100000,""Icon"":100,""MOI"":0.25,""DampingRate"":250000,""MaxCompression"":250,""MaxDroop"":250,""SpringStrength"":0.01,""SpringDamperRate"":0.01,""Key1"":97,""KeyIcon1"":""icon_turnleft"",""KeyType1"":0,""Key2"":100,""KeyIcon2"":""icon_turnright"",""KeyType2"":0}]"
1088,引擎（测试）,0,180,2,1,0,0,0,1,0,0,1,1,2,,"[{""FunctionID"":2,""ForwardKey"":1,""BackwardKey"":1,""Icon"":100,""MaxTorque"":600000,""MaxSpeed"":7500,""MaxOmega"":600000,""StartupSound"":""phy.engineignition"",""WorkSound"":""phy.enginework""},{""FunctionID"":10,""PortType"":2,""ControlPortType"":2,""WorkPortType1"":0,""WorkPortType2"":-1,""WorkPortType3"":-1,""MaxOutNum"":10,""MaxInNum"":10,""Key1"":119,""KeyIcon1"":""icon_speedup"",""KeyType1"":1,""Key2"":115,""KeyIcon2"":""icon_speeddown"",""KeyType2"":1}]"
1089,有限引擎,0,180,2,1,0,0,0,1,2,1,1,1,2,,"[{""FunctionID"":2,""MaxTorque"":600000,""MaxSpeed"":7500,""MaxOmega"":600000,""ForwardKey"":1,""BackwardKey"":1,""Icon"":100,""Key1"":119,""KeyIcon1"":""icon_speedup"",""KeyType1"":0,""Key2"":115,""KeyIcon2"":""icon_speeddown"",""KeyType2"":0},{""FunctionID"":5,""CostType"":1,""CostVal"":1,""CostInterval"":1,""MaxCost"":8400,""UIDisplay"":1,""ButtonDisplay"":0,""ModelDisplay"":0,""SupplyWay"":0,""SupplyItem"":11099,""SupplyVal"":1680}]"
1090,无限引擎,0,180,2,1,0,0,0,1,0,0,1,0,2,,"[{""FunctionID"":2,""MaxTorque"":600000,""MaxSpeed"":7500,""MaxOmega"":600000,""ForwardKey"":1,""BackwardKey"":1,""Icon"":100,""Key1"":119,""KeyIcon1"":""icon_speedup"",""KeyType1"":0,""Key2"":115,""KeyIcon2"":""icon_speeddown"",""KeyType2"":0}]"
