序号,乐器名称,Icon名称
id,Name,Icon
0,大钢琴,
1,亮音大钢琴,
2,电钢琴,
3,酒吧钢琴,
4,练习音钢琴,
5,合唱加钢琴,
6,拨弦古钢琴,
7,击弦古钢琴,
8,钢片琴,
9,钟琴,
10,八音盒,
11,马电颤琴,
12,马林巴,
13,木琴,
14,管钟,
15,扬琴,
16,击杆风琴,
17,打击型风琴,
18,摇滚风琴,
19,管风琴,
20,簧风琴,
21,手风琴,
22,口琴,
23,探戈手风琴,
24,尼龙弦吉他,
25,钢弦吉他,
26,爵士乐电吉他,
27,清音电吉他,
28,弱音电吉他,
29,驱动音效吉他,
30,失真音效吉他,
31,吉他泛音,
32,原声贝司,
33,指拨电贝司,
34,拨片拨电贝司,
35,无品贝司,
36,击弦贝司1,
37,击弦贝司2,
38,合成贝司1,
39,合成贝司2,
40,小提琴,
41,中提琴,
42,大提琴,
43,低音提琴,
44,弦乐震音,
45,弦乐拨奏,
46,竖琴,
47,定音鼓,
48,弦乐合奏1,
49,弦乐合奏2,
50,合成弦乐1,
51,合成弦乐2,
52,合唱“啊”音,
53,人声“哦”音,
54,合成人声,
55,乐队打击乐,
56,小号,
57,长号,
58,大号,
59,弱音小号,
60,圆号,
61,铜管组,
62,合成铜管1,
63,合成铜管2,
64,高音萨克斯,
65,中音萨克斯,
66,次中音萨克斯,
67,上低音萨克斯,
68,双簧管,
69,英国管,
70,大管,
71,单簧管,
72,短笛,
73,长笛,
74,竖笛,
75,排笛,
76,吹瓶口,
77,尺八,
78,哨,
79,洋埙,
80,合成主音1（方波）,
81,合成主音2（锯齿波）,
82,合成主音3（汽笛风琴）,
83,合成主音4（吹管）,
84,合成主音5（吉他）,
85,合成主音6（人声）,
86,合成主音7（五度）,
87,合成主音8（低音加主音）,
88,合成柔音1（新时代）,
89,合成柔音2（暖音）,
90,合成柔音3（复合成）,
91,合成柔音4（合唱）,
92,合成柔音5（弓弦）,
93,合成柔音6（金属）,
94,合成柔音7（光环）,
95,合成柔音8（扫弦）,
96,合成特效1（雨）,
97,合成特效2（音轨）,
98,合成特效3（水晶）,
99,合成特效4（大气）,
100,合成特效5（亮音）,
101,合成特效6（小妖）,
102,合成特效7（回声）,
103,合成特效8（科幻）,
104,锡塔尔,
105,班卓,
106,三味线,
107,筝,
108,卡林巴,
109,风笛,
110,古提琴,
111,唢呐,icon_ins_suona
112,铃铛,
113,拉丁打铃,
114,钢鼓,
115,木块,
116,鼓,icon_ins_drum
117,嗵鼓,
118,合成鼓,
119,镲波形反转,
120,磨弦声,
121,呼吸声,
122,海浪声,
123,鸟鸣声,
124,笛子,icon_ins_flute
125,二胡,icon_ins_erhu
126,古筝,icon_ins_guzheng
127,琵琶,icon_ins_pipa
