材质ID,材质名字,备注,材质图标,主贴图路径,matcap贴图路径,材质类型[1.地形 2.自然 3.建材 4.装饰],是否自动平铺,平铺值,偏移值,颜色,自发光,金属度,粗糙度,透明度
ID,Name,Note,Icon,MainMapPath,MatcapMapPath,MaterialType,AutoTile,Tiling,Offset,Color,Emission,Metallic,Roughness,Transparency
79000000,黑凝浆块,note,blocks/all_condensation,blocks/all_condensation,,1,1,"1,1","0,0",,,,,
79000001,黑凝浆块,note,blocks/all_condensation_1,blocks/all_condensation_1,,1,1,"1,1","0,0",,,,,
79000002,黑凝浆块,note,blocks/all_condensation_1_emi,blocks/all_condensation_1_emi,,1,1,"1,1","0,0",,,,,
79000003,黑凝浆块,note,blocks/all_condensation_2,blocks/all_condensation_2,,1,1,"1,1","0,0",,,,,
79000004,黑凝浆块,note,blocks/all_condensation_2_emi,blocks/all_condensation_2_emi,,1,1,"1,1","0,0",,,,,
79000005,黑凝浆块,note,blocks/all_condensation_3,blocks/all_condensation_3,,1,1,"1,1","0,0",,,,,
79000006,黑凝浆块,note,blocks/all_condensation_3_emi,blocks/all_condensation_3_emi,,1,1,"1,1","0,0",,,,,
79000007,耕地,note,blocks/arableland_dry,blocks/arableland_dry,,1,1,"1,1","0,0",,,,,
79000008,耕地,note,blocks/arableland_wet,blocks/arableland_wet,,1,1,"1,1","0,0",,,,,
79000009,污染方块,note,blocks/battlegroundblock,blocks/battlegroundblock,,1,1,"1,1","0,0",,,,,
79000010,黑晶石,note,blocks/blackcrystal,blocks/blackcrystal,,1,1,"1,1","0,0",,,,,
79000011,蓝莓草块,note,blocks/blueberrygrass_bottom,blocks/blueberrygrass_bottom,,1,1,"1,1","0,0",,,,,
79000012,蓝莓土块,note,blocks/blueberrygrass_top,blocks/blueberrygrass_top,,1,1,"1,1","0,0",,,,,
79000013,凝浆块,note,blocks/condensation,blocks/condensation,,1,1,"1,1","0,0",,,,,
79000014,萌眼星草块,note,blocks/cosmicgrass_top,blocks/cosmicgrass_top,,1,1,"1,1","0,0",,,,,
79000015,硫黄晶砂,note,blocks/hotcrystal,blocks/hotcrystal,,1,1,"1,1","0,0",,,,,
79000016,铁矿,note,blocks/iron_ore,blocks/iron_ore,,1,1,"1,1","0,0",,,,,
79000017,魔古岩,note,blocks/mogu_stone,blocks/mogu_stone,,1,1,"1,1","0,0",,,,,
79000018,青石,note,blocks/moss_rock,blocks/moss_rock,,1,1,"1,1","0,0",,,,,
79000019,草木灰方块,note,blocks/plantash,blocks/plantash,,1,1,"1,1","0,0",,,,,
79000020,红土耕地,note,blocks/redarableland_dry,blocks/redarableland_dry,,1,1,"1,1","0,0",,,,,
79000021,红土耕地,note,blocks/redarableland_side_dry,blocks/redarableland_side_dry,,1,1,"1,1","0,0",,,,,
79000022,红土,note,blocks/redsoil_top,blocks/redsoil_top,,1,1,"1,1","0,0",,,,,
79000023,红沙,note,blocks/red_sand,blocks/red_sand,,1,1,"1,1","0,0",,,,,
79000024,深积岩,note,blocks/sedimentaryrock_side,blocks/sedimentaryrock_side,,1,1,"1,1","0,0",,,,,
79000025,深积岩,note,blocks/sedimentaryrock_top,blocks/sedimentaryrock_top,,1,1,"1,1","0,0",,,,,
79000026,风蚀岩,note,blocks/winderosion_stone_side,blocks/winderosion_stone_side,,1,1,"1,1","0,0",,,,,
79000027,风蚀岩,note,blocks/winderosion_stone_top,blocks/winderosion_stone_top,,1,1,"1,1","0,0",,,,,
79000028,咒岩,note,blocks/cursestone,blocks/cursestone,,2,1,"1,1","0,0",,,,,
79000029,土块,note,blocks/dirt,blocks/dirt,,2,1,"1,1","0,0",,,,,
79000030,旱土,note,blocks/drysoil,blocks/drysoil,,2,1,"1,1","0,0",,,,,
79000031,坚固的冰,note,blocks/eternal_ice,blocks/eternal_ice,,2,1,"1,1","0,0",,,,,
79000032,灼沙,note,blocks/flame_sand,blocks/flame_sand,,2,1,"1,1","0,0",,,,,
79000033,灼沙,note,blocks/flame_sand_emi,blocks/flame_sand_emi,,2,1,"1,1","0,0",,,,,
79000034,冻土,note,blocks/freezesoil,blocks/freezesoil,,2,1,"1,1","0,0",,,,,
79000035,凝能块,note,blocks/gashydrate_block,blocks/gashydrate_block,,2,1,"1,1","0,0",,,,,
79000036,巨布鲁果,note,blocks/giantbluefruit_side,blocks/giantbluefruit_side,,2,1,"1,1","0,0",,,,,
79000037,巨鳞羽果,note,blocks/giantscalyfruit_side,blocks/giantscalyfruit_side,,2,1,"1,1","0,0",,,,,
79000038,长草的土块,note,blocks/grass_top,blocks/grass_top,,2,1,"1,1","0,0",,,,,
79000039,碎石堆,note,blocks/gravel,blocks/gravel,,2,1,"1,1","0,0",,,,,
79000040,脆冰,note,blocks/ice,blocks/ice,,2,1,"1,1","0,0",,,,,
79000041,脆冰,note,blocks/ice_snow_top,blocks/ice_snow_top,,2,1,"1,1","0,0",,,,,
79000042,脆冰棱,note,blocks/icicle,blocks/icicle,,2,1,"1,1","0,0",,,,,
79000043,坚固冰棱,note,blocks/icicle1,blocks/icicle1,,2,1,"1,1","0,0",,,,,
79000044,无叶珍木,note,blocks/leafless_planet_trees,blocks/leafless_planet_trees,,2,1,"1,1","0,0",,,,,
79000045,珍木,note,blocks/leafy_planet_trees,blocks/leafy_planet_trees,,2,1,"1,1","0,0",,,,,
79000046,竹叶,note,blocks/leaves_bamboo,blocks/leaves_bamboo,,2,1,"1,1","0,0",,,,,
79000047,白杨树叶,note,blocks/leaves_birch,blocks/leaves_birch,,2,1,"1,1","0,0",,,,,
79000048,樱桃木树叶,note,blocks/leaves_fruittree,blocks/leaves_fruittree,,2,1,"1,1","0,0",,,,,
79000049,桃花树叶,note,blocks/leaves_peachblossom,blocks/leaves_peachblossom,,2,1,"1,1","0,0",,,,,
79000050,桃花桃子树叶,note,blocks/leaves_peachharvest,blocks/leaves_peachharvest,,2,1,"1,1","0,0",,,,,
79000051,楠木树叶,note,blocks/leaves_phoebe,blocks/leaves_phoebe,,2,1,"1,1","0,0",,,,,
79000052,胡杨叶,note,blocks/leaves_populus,blocks/leaves_populus,,2,1,"1,1","0,0",,,,,
