iD,繁体名字,繁体属性描述
ID,Name,AttrDesc
5,擊飛,近戰攻擊會將目標擊飛到4格的空中。
5,擊飛,近戰攻擊會將目標擊飛到6格的空中。
5,擊飛,近戰攻擊會將目標擊飛到8格的空中。
5,擊飛,近戰攻擊會將目標擊飛到10格的空中。
5,擊飛,近戰攻擊會將目標擊飛到12格的空中。
6,銳利,近戰攻擊傷害+5
6,銳利,近戰攻擊傷害+10
6,銳利,近戰攻擊傷害+16
6,銳利,近戰攻擊傷害+24
6,銳利,近戰攻擊傷害+35
7,人類獵手,對人類的近戰攻擊傷害+8
7,人類獵手,對人類的近戰攻擊傷害+16
7,人類獵手,對人類的近戰攻擊傷害+25
7,人類獵手,對人類的近戰攻擊傷害+40
7,人類獵手,對人類的近戰攻擊傷害+60
8,動物獵手,對動物的近戰攻擊傷害+8
8,動物獵手,對動物的近戰攻擊傷害+16
8,動物獵手,對動物的近戰攻擊傷害+25
8,動物獵手,對動物的近戰攻擊傷害+40
8,動物獵手,對動物的近戰攻擊傷害+60
9,魔物獵手,對地心硫磺弓手和熔岩巨人的近戰攻擊傷害+8
9,魔物獵手,對地心硫磺弓手和熔岩巨人的近戰攻擊傷害+16
9,魔物獵手,對地心硫磺弓手和熔岩巨人的近戰攻擊傷害+25
9,魔物獵手,對地心硫磺弓手和熔岩巨人的近戰攻擊傷害+40
9,魔物獵手,對地心硫磺弓手和熔岩巨人的近戰攻擊傷害+60
29,野人獵手,對所有野人的近戰攻擊傷害+8
29,野人獵手,對所有野人的近戰攻擊傷害+16
29,野人獵手,對所有野人的近戰攻擊傷害+25
29,野人獵手,對所有野人的近戰攻擊傷害+40
29,野人獵手,對所有野人的近戰攻擊傷害+60
10,點燃,攻擊會點燃目標3秒，每秒造成5點傷害。
10,點燃,攻擊會點燃目標3秒，每秒造成10點傷害。
10,點燃,攻擊會點燃目標3秒，每秒造成15點傷害。
10,點燃,攻擊會點燃目標3秒，每秒造成20點傷害。
10,點燃,攻擊會點燃目標3秒，每秒造成25點傷害。
11,擊退,攻擊會將目標額外擊退2格。
11,擊退,攻擊會將目標額外擊退4格。
11,擊退,攻擊會將目標額外擊退6格。
11,擊退,攻擊會將目標額外擊退8格。
11,擊退,攻擊會將目標額外擊退10格。
12,狩獵幸運,擊敗生物時有20%幾率獲得兩倍掉落。
12,狩獵幸運,擊敗生物時有20/15%幾率獲得二/三倍掉落。
12,狩獵幸運,擊敗生物時有20/15/15%幾率獲得二/三/四倍掉落。
13,強力射擊,弓箭射擊的傷害增加25%。
13,強力射擊,弓箭射擊的傷害增加50%。
13,強力射擊,弓箭射擊的傷害增加75%。
13,強力射擊,弓箭射擊的傷害增加100%。
13,強力射擊,弓箭射擊的傷害增加125%。
14,無限射擊,弓箭射擊不再消耗箭，轉為額外消耗5點耐久度。
14,無限射擊,弓箭射擊不再消耗箭，轉為額外消耗4點耐久度。
14,無限射擊,弓箭射擊不再消耗箭，轉為額外消耗3點耐久度。
14,無限射擊,弓箭射擊不再消耗箭，轉為額外消耗2點耐久度。
14,無限射擊,弓箭射擊不再消耗箭，轉為額外消耗1點耐久度。
15,耐久,增加物品耐久度40%。
15,耐久,增加物品耐久度80%。
15,耐久,增加物品耐久度160%。
15,耐久,增加物品耐久度240%。
15,耐久,增加物品耐久度320%。
16,近戰抗性,新增1點近戰抗性點數。
16,近戰抗性,新增3點近戰抗性點數。
16,近戰抗性,新增5點近戰抗性點數。
16,近戰抗性,新增9點近戰抗性點數。
16,近戰抗性,新增15點近戰抗性點數。
17,遠程抗性,新增1點遠程抗性點數。
17,遠程抗性,新增3點遠程抗性點數。
17,遠程抗性,新增5點遠程抗性點數。
17,遠程抗性,新增9點遠程抗性點數。
17,遠程抗性,新增15點遠程抗性點數。
18,爆炸抗性,新增1點爆炸抗性點數。
18,爆炸抗性,新增3點爆炸抗性點數。
18,爆炸抗性,新增5點爆炸抗性點數。
18,爆炸抗性,新增9點爆炸抗性點數。
18,爆炸抗性,新增15點爆炸抗性點數。
19,燃燒抗性,新增1點火焰抗性點數。
19,燃燒抗性,新增3點火焰抗性點數。
19,燃燒抗性,新增5點火焰抗性點數。
19,燃燒抗性,新增9點火焰抗性點數。
19,燃燒抗性,新增15點火焰抗性點數。
20,毒素抗性,新增1點毒素抗性點數。
20,毒素抗性,新增3點毒素抗性點數。
20,毒素抗性,新增5點毒素抗性點數。
20,毒素抗性,新增9點毒素抗性點數。
20,毒素抗性,新增15點毒素抗性點數。
21,混亂抗性,新增1點混亂抗性點數。
21,混亂抗性,新增3點混亂抗性點數。
21,混亂抗性,新增5點混亂抗性點數。
21,混亂抗性,新增9點混亂抗性點數。
21,混亂抗性,新增15點混亂抗性點數。
22,反擊,被近戰攻擊的時候有50%幾率對攻擊者造成5點傷害。
22,反擊,被近戰攻擊的時候有50%幾率對攻擊者造成10點傷害。
22,反擊,被近戰攻擊的時候有50%幾率對攻擊者造成15點傷害。
22,反擊,被近戰攻擊的時候有50%幾率對攻擊者造成20點傷害。
22,反擊,被近戰攻擊的時候有50%幾率對攻擊者造成25點傷害。
23,擊退抗性,被攻擊的時候減少被擊退1格。
23,擊退抗性,被攻擊的時候減少被擊退2格。
23,擊退抗性,被攻擊的時候減少被擊退3格。
23,擊退抗性,被攻擊的時候減少被擊退4格。
23,擊退抗性,被攻擊的時候減少被擊退5格。
24,精准採集,採集方塊的時候，會掉落方塊本身。
25,速度,增加採集速度30%。
25,速度,增加採集速度70%。
25,速度,增加採集速度120%。
25,速度,增加採集速度180%。
25,速度,增加採集速度250%。
26,挖掘幸運,"鎬：採集礦物的時候，有16%幾率獲得兩倍掉落。
"
26,挖掘幸運,"鎬：採集礦物的時候，有16/8%幾率獲得二/三倍掉落。
"
26,挖掘幸運,"鎬：採集礦物的時候，有20/10/4%幾率獲得二/三/四倍掉落。
"
27,爆炸射擊,弓箭射中目標後會產生爆炸。。
28,龍之緩落,摔落傷害-150，並降低下落速度。
32,速度,增加採集速度30%。
30,速降,下落時按住Shift+20%下落速度並-3摔落傷害。
30,速降,下落時按住Shift+30%下落速度並-6摔落傷害。
30,速降,下落時按住Shift+40%下落速度並-9摔落傷害。
30,速降,下落時按住Shift+50%下落速度並-15摔落傷害。
30,速降,下落時按住Shift+60%下落速度並-25摔落傷害。
31,爬牆,在任意側面都可以像爬梯那樣移動，-40%移動速度，每2秒消耗3耐久度。
31,爬牆,在任意側面都可以像爬梯那樣移動，-30%移動速度，每2秒消耗3耐久度。
31,爬牆,在任意側面都可以像爬梯那樣移動，-25%移動速度，每2秒消耗2耐久度。
31,爬牆,在任意側面都可以像爬梯那樣移動，-10%移動速度，每秒消耗2耐久度。
31,爬牆,在任意側面都可以像爬梯那樣移動，每2秒消耗1耐久度。
