ID,名称,描述
ID,Name,Desc
100001,當 受到攻擊,"當 受到攻擊時,將攻擊者存儲於%1"
100002,當 受到道具交互,"當 受到其他對象持有的%1交互時,將對象存儲在%2內"
100003,當 接收廣播,當 收到廣播%1
100004,當 聽到周邊音頻,"當 聽到以%1為中心周圍%2格內%3時,將音頻位置存儲於%4"
200001,取反,以下節點返回值取反
200002,僅執行一次,以下節點僅執行一次
200003,循環,循環執行%1次
200004,總是成功,返回成功
200005,總是失敗,返回失敗
300001,順序執行,順序執行%1
300002,選擇執行,選擇執行%1
300003,同時執行,同時執行%1%2
400201,遊戲時間,%1%2%3
400203,位置處於區域判斷,%1%2處於%3中
400204,位置與位置之間的距離,%1%2%3
400205,對象屬性判斷,%1%2%3
400206,對象間隊伍關係判斷,%1與%2的隊伍關係為%3
400207,對象是否存在,%1存在
400208,對象類型判斷,%1的類型%2%3
400209,對象手持道具類型判斷,%1手持道具類型%2%3
400210,內部-是否為虛空之夜,當前是特殊夜晚
400211,對象狀態效果判斷,%1%2處於%3中
400301,玩家屬性判斷,%1%2%3
400302,周邊是否有玩家存在,%1存在
400311,玩家屬性判斷,%1%2%3
400312,周邊是否有玩家存在,%1存在
400401,生物屬性判斷,%1%2%3
400402,周邊是否有生物存在,%1存在
400411,生物屬性判斷,%1%2%3
400412,周邊是否有生物存在,%1存在
400421,內部-生物是否處於持盾狀態,%1處於持盾狀態
400422,生物是否處於抱起狀態,%1處於抱起狀態
400501,周邊是否存在特定方塊,%1上有方塊存在
400502,位置處的方塊類型判斷,%1的方塊類型為%2
400601,道具屬性判斷,%1%2%3
400602,周邊是否存在特定道具,%1存在
400611,道具屬性判斷,%1%2%3
401001,數值比較,%1%2%3
401002,布爾值比較,%1%2%3
401003,字符串比較,%1%2%3
401004,位置比較,%1%2%3
401005,對象比較,%1%2%3
401201,計時器時間判斷,%1%2%3
500101,設置數值,設置%1為%2
500102,設置字符串,設置%1為%2
500103,設置布爾值,設置%1為%2
500104,設置對象,設置%1為%2
500105,設置位置,設置%1為%2
500106,設置區域,設置%1為%2
500107,設置玩家,設置%1為%2
500108,設置生物,設置%1為%2
500201,改變對象屬性,使%1的%2%3%4
500202,等待時間,等待%1秒後，執行下一個節點
500203,發送廣播,發送廣播%1
500204,設置對象朝向,使%1朝向%2緩動時間%3秒
500205,設置對象隊伍,設置%1的隊伍為%2
500206,改變外觀,改變%1的外觀為%2
500207,替換對象,"替換%1為%2,%3保留血量百分比"
500208,騎乘對象,騎乘%1
500209,內部-播放動畫,"播放ID為%1的動畫,持續%2秒"
500301,改變玩家屬性,使玩家%1的%2%3%4
500311,改變玩家屬性,使%1的%2%3%4
500401,改變生物屬性,使生物%1的%2%3%4
500411,改變生物屬性,使%1的%2%3%4
500412,改變外觀,改變%1的外觀為%2
500413,替換生物,"替換%1為%2,%3保留血量百分比"
500414,騎乘生物,騎乘%1
500415,創建生物,在%1創建%2生物
500416,擊敗生物,擊敗%1
500417,刪除生物,刪除%1
500418,抱起生物,抱起%1
500419,放下抱起的生物,放下抱起的生物
500420,設置生物死亡掉落,"設置此單位死亡時,%1%的概率,掉落%2個%3"
500501,挖方塊,"靠近%1並挖掘,%2方塊掉落"
500502,與方塊交互,與%1的方塊進行交互
500503,破壞方塊,"破壞%1位置的方塊,%2方塊掉落"
500504,放置方塊,在%1放置%2，朝向為%3
500505,替換方塊,替換在%1上的方塊為%2，朝向%3
500506,破壞區域內的方塊,"破壞%1內的方塊,間隔%2秒,%3方塊掉落"
500602,存儲物品,將%1個%2存儲到%3
500603,拿出背包道具並放在手上,把背包內%1放在手上
500604,生成道具並直接放入背包,生成%1並直接放入背包
500605,拾取周邊道具並放入背包,撿起周邊%1格內的%2放入背包
500606,生成道具並直接放在手上,生成%1並直接放在手上
501201,運行計時器,啓動%1
501202,暫停計時器,暫停%1
501203,恢復計時器,恢復%1
501204,重置計時器,重置%1
501401,在指定位置播放特效,"在%1播放%2,大小%3"
501402,在對象身上播放特效,"在%1身上播放%2,大小%3"
501403,刪除指定位置的特效,刪除%1的%2特效
501404,刪除對象身上的特效,刪除%1身上的%2特效
501501,播放音頻,"在%1播放%2,音量%3,循環%4"
510201,移動到指定位置,"移動到%1,速度%2,%3允許改變朝向"
510202,隨機位置移動,"以%1為中心在%2格內隨機移動,速度%3,%4允許改變朝向。"
510203,跟隨對象移動,"跟隨%1移動,並保持%2距離,速度%3,%4允許改變朝向"
510204,指定路線移動,"按照%1移動,速度%2,%3往返"
510205,遠離位置移動,"遠離%1移動,速度%2,遠離時間%3秒"
510206,在區域中隨機移動,"在%1內隨機移動,速度%2,%3允許改變朝向"
510207,設置對象移動方式,設置%1的移動方式為%2
510301,近戰攻擊,"近戰攻擊%1,攻擊間隔%2秒,攻擊距離%3格"
510302,使用投擲物攻擊,"遠程攻擊%1,攻擊間隔%2秒,攻擊距離%3格，投擲%4"
510303,使用武器發射投擲物,"使用%1裝填%2攻擊%3,攻擊間隔%4秒,攻擊距離%5格"
510304,使用武器進行蓄力攻擊,"使用%1裝填%2蓄力攻擊%3,蓄力時間%4秒,攻擊間隔%5秒,攻擊距離%6格"
510305,內部-使用武器進行N次連續攻擊,"使用%1進行%2段攻擊,攻擊%3,攻擊距離%4格"
510306,內部-使用武器進行第N段攻擊,"使用%1進行第%2段攻擊,攻擊%3,攻擊距離%4格,結束時%5重置動畫"
510307,內部 - 瞄准目標使用爆炸技能,瞄准%1使用爆炸技能
510308,內部-舉起盾牌,舉起%1
510309,內部-放下盾牌,放下盾牌
510310,給予對象狀態效果,"給予%1%2效果,永久持續%3,持續%4秒"
510311,移除對象狀態效果,移除%1的%2效果
510312,替換對象狀態效果,"將%1身上的%2替換為%3,永久持續%4,持續%5秒"
510320,擊敗對象,擊敗%1
510321,刪除對象,刪除%1
510330,抱起對象,抱起%1
510331,放下抱起的對象,放下抱起的對象
600101,執行行為的對象,執行行為的對象
600102,隊伍關係,%1關係
600103,實際隊伍,%1隊伍
600104,位置與位置的距離,%1與%2的距離
600105,指定坐標位置,坐標值 X%1Y%2Z%3的位置
600106,位置的坐標值,%1的%2坐標值
600107,內部-月亮坐標,月亮坐標
600108,位置偏移（不改變原位置）,%1沿坐標軸偏移（%2，%3，%4）
600109,出生點,%1的生成位置
600110,獲取對象位置,獲取%1位置
600111,獲取區域內空閒位置,獲取%1內空閒位置
600130,位置轉化為區域,以%1為中心點，尺寸為（%2，%3，%4）的區域
600201,對象屬性,%1的%2
600202,對象的隊伍,%1的隊伍
600205,當前遊戲時間,當前遊戲時間
600206,獲取當前武器攻擊連段攻擊次數,獲取%1武器的連段攻擊次數
600207,對象身上的光照強度,%1身上的光照強度
600300,玩家對象,%1對象
600301,玩家屬性,玩家:%1的%2
600302,尋找最近玩家,以%1為參照物，尋找%2%3格內%4最近的%5
600311,玩家屬性,%1的%2
600312,尋找最近玩家,以%1為參照物，尋找%2%3格內%4最近的玩家
600313,尋找周邊所有玩家,以%1為參照物，尋找%2%3格內%4玩家
600314,獲取周邊玩家數量,以%1為參照物，尋找%2%3格內%4玩家數量
600315,尋找區域內所有玩家,以%1為參照物，尋找%2內%3的所有玩家
600400,執行行為的生物,執行行為的生物
600401,生物屬性,生物:%1的%2
600402,特定生物類型,%1類型生物
600403,獲取對象生物類型,%1的生物類型
