ID,名字,描述,获得方式
ID,Name,Desc,GetWay
0,空氣,你看不見我,
1,地心基石,位於最深的地心，超級堅硬，無法撼動,
2,功能方塊,神奇方塊，威力不明,
3,靜態水,靜止的水方塊,
4,動態水,可流動的水,
5,靜態岩漿,靜止的岩漿方塊，小心這很燙！,
6,動態岩漿,可流動的岩漿方塊，小心這很燙，會受傷！,
7,傳送光效,似乎是個魔法方塊,
8,雕紋磚塊,佈滿浮雕的建築方塊，質地堅硬,
9,加速移動方塊,穿過此方塊的人會受到一股莫名的推力,
10,星能塊,放置後可以持續輸出#c0aba1d星能信號#n,
11,靜態蜂蜜,靜止的蜂蜜,
12,動態蜂蜜,可流動的蜂蜜,
13,靜態流沙,細沙構成的“河流”，危險！,
14,動態流沙,細沙構成的“河流”，危險！,
15,咒岩,散髮著詭異氣息的岩石，觸碰#c0aba1d流沙#n後會怎樣？挖掘時會獲得流血詛咒！,沙漠綠洲地下遺跡的外牆
16,咒岩-激活,散髮著詭異氣息的岩石，觸碰#c0aba1d流沙#n後會怎樣？挖掘時會獲得流血詛咒！,沙漠綠洲地下遺跡的外牆
17,靜態劇毒,散發著危險氣息的液體，盡量遠離,
18,動態劇毒,散發著危險氣息的液體，盡量遠離,
19,風蝕岩,強風侵蝕後的沙漠岩石，有些脆弱,
20,外星空氣,快去下載最新的遊戲版本吧！,
21,遊戲版本過低,快去下載最新的遊戲版本吧！,
22,遊戲版本過低,快去下載最新的遊戲版本吧！,
23,深積岩,在深海中被擠壓了數万年而形成的層疊結構，蘊含了深海藻類所需的各類營養，非常適合種植熒光棒藻和紅藻,破壞深積岩獲得
24,錳結核礦,用於#c0aba1d強化潛水裝備、製作@item_1206##n抵御深海的高壓,錳金屬不斷地在@item_23#中凝聚所產生的礦物，因此只在深海稍有產出，破壞後掉落@item_12614#
25,礁石,非常適合珊瑚生長，珊瑚成熟後，礁石的顏色也會隨之變化,
26,漂流瓶,在海洋與河流生態#c0aba1d蓄力#n丟出，水流會帶著你的心願到遠方，也許有一天會被人在遠方發現,將@item_11806#放入放置在@item_28#中獲得
27,遠方的漂流瓶,密封在漂流瓶中的紙條往往包含著重要的信息或者衷心的祝福，當然也有可能是某人某時的所思所想，看它的樣子像是跨越了山海，穿越了時間…把瓶子放在地上取出紙條看看吧…,釣魚和探索海洋有機率獲得
28,小玻璃瓶（方塊）,將它擺出來，把寫了字的皮革捲軸裝進去,
29,黃沙,#c0aba1d鏟類工具#n可快速開採，是加工@item_11305#的原材料，@item_11305#常用於燒制@item_632#,常見於#c0aba1d水邊#n和#c0aba1d沙漠地區#n
