ID,名字,类别名,描述
ID,Name,TypeName,Desc
10001,位置轉化為區域,通用,以|@1|為中心點，尺寸為（|@2|，|@3|，|@4|）的區域
10002,區域偏移,通用,@1|沿坐標軸偏移（|@2|，|@3|，|@4|）
10003,擴大區域,通用,將|@1|三軸大小分別擴大X|@2|，Y|@3|，Z|@4|格
10005,指定坐標位置,通用,坐標值 X|@1|Y|@2|Z|@3|的位置
10006,位置偏移（改變原位置）,通用,@1|沿坐標軸偏移（|@2|，|@3|，|@4|）
10007,區域的中央位置,通用,@1|的中央位置
10008,區域中的隨機位置,通用,@1|的隨機位置
10009,計時器時間,通用,@1|的時間
10010,指定方向射線的長度,通用,以|@1|起，向|@2|投射|@3|格的射線，返回阻擋方塊到起始位置之間的射線長度
10011,字符串拼接,通用,@1|和|@2
10012,數值轉化為字符串,通用,@1|轉化為字符串
10013,布爾值比較,通用,@1||@2||@3
10014,數值比較,通用,@1||@2||@3
10015,射線打到的方塊類型,通用,從|@1|，向|@2|發射|@3|格，阻擋射線的方塊類型
10016,相對三軸坐標系方向,通用,@1|面向的X|@2|，Y|@3|，Z|@4|的方向
10017,相對球坐標系方向,通用,@1|面向的方位角|@2|，仰角|@3|的方向
10018,選擇玩家對象,通用,選擇|@1|對象
10019,選擇生物對象,通用,選擇|@1|對象
10020,選擇投擲物對象,通用,選擇|@1|對象
10021,選擇掉落物對象,通用,選擇|@1|對象
10022,音調轉化為數值,通用,@1|轉化為數值
10023,字符串比較,通用,@1||@2||@3
10024,位置偏移（不改變原位置）,通用,@1|沿坐標軸偏移（|@2|，|@3|，|@4|）
10025,布爾值,通用,|@1
10026,數值,通用,|@1
10027,字符串,通用,|@1
10028,外觀類型,通用,|@1
10029,布爾值組,通用,|@1
10030,數值組,通用,|@1
10031,字符串組,通用,|@1
10032,獲取任意組中值的數量,通用,獲取|@1|中值的數量
10033,獲取任意組中任意值的數量,通用,獲取|@1|中|@2|的數量
10034,獲取任意組中任意值的編號,通用,獲取|@1|中|@2|的編號
10035,任意組中存在任意值判斷,通用,@1|中存在|@2
10036,任意組指定編號存在值判斷,通用,@1|中編號為|@2|的位置存在值
10037,截取字符串,通用,截取|@1|的|@2|- |@3|位文本
10038,字符串轉化為數值,通用,@1|轉化為數值
10039,獲取主機設備時間,通用,獲取設備的|@1|時間
10040,獲取完整主機設備時間,通用,獲取完整主機設備時間
10041,隨機方塊類型,通用,隨機方塊類型
10042,分割字符串,通用,分割|@1|，分割符爲|@2|，截取分割後的第|@3|段
10043,獲取指定標記的字符串,通用,獲取|@1|，鍵名爲|@2|的內容
10044,獲取遊戲服務器時間,通用,獲取遊戲服務器時間的|@1|時間
10045,轉換時間戳爲時間單位,通用,將時間戳|@1|轉換爲|@2
10046,獲取完整服務器時間,通用,獲取完整服務器時間
10047,轉換時間戳爲完整時間,通用,將時間戳|@1|轉換爲完整時間
20001,數值運算,數學,@1||@2||@3
20002,取餘,數學,@1|Mod|@2
20003,隨機數,數學,生成|@1|與|@2|之間的隨機數
20004,最大值,數學,@1|與|@2|的|@3
20005,整除,數學,@1|整除|@2
20006,位置的坐標值,數學,@1|的|@2|坐標值
20007,位置間的水平角度,數學,@1|與|@2|間的水平角度
20008,位置間的垂直角度,數學,@1|與|@2|間的垂直角度
20009,冪運算,數學,@1|的|@2|次冪
20010,開方,數學,@1|開|@2|次方
20011,絕對值,數學,@1|的絕對值
20012,三角函數,數學,@1||@2||@3
20013,固定底對數函數,數學,@1||@2
20014,任意底對數函數,數學,Log|@1||@2
20015,取整,數學,對|@1|進行取整，方式為|@2
20016,角度與弧度轉換,數學,將|@1|轉換為|@2
20017,邏輯與,數學,@1|與|@2
20018,邏輯或,數學,@1|或|@2
20019,邏輯異或,數學,@1|異或|@2
20020,邏輯非,數學,非|@1
20021,任意值比較,數學,@1||@2||@3
30001,當前遊戲時刻,遊戲,當前遊戲時刻
30002,指定排名的隊伍,遊戲,排名為|@1|的隊伍
30003,當前遊戲重力倍數,遊戲,當前遊戲重力倍數
40001,隊伍的屬性,隊伍,@1|的|@2
40002,隊伍比較,隊伍,@1||@2||@3
50001,玩家的位置,玩家,@1|的位置
50002,獲取玩家準星位置,玩家,@1|的準星位置
50003,玩家的屬性,玩家,@1|的|@2
50004,擁有道具數量,玩家,@1|擁有的|@2|的數量
50006,玩家面向的角度,玩家,@1|面向的角度
50007,玩家的名字,玩家,@1|的名字
50008,個體判斷,玩家,@1||@2||@3
50009,處於玩家組判斷,玩家,@1||@2|處於|@3|中
50010,處於區域判斷,玩家,@1||@2|處於|@3|中
50011,狀態判斷,玩家,@1||@2|擁有|@3|的狀態
50012,房主,玩家,房主
50018,玩家的隊伍,玩家,@1|的隊伍
