ID,大类名称
ID,TypeName
1,傢俱
2,傢俱
3,傢俱
4,傢俱
5,傢俱
6,傢俱
7,傢俱
8,傢俱
9,傢俱
10,傢俱
11,傢俱
12,傢俱
13,傢俱
14,傢俱
15,傢俱
16,傢俱
17,傢俱
18,傢俱
19,傢俱
20,傢俱
21,傢俱
22,傢俱
23,傢俱
24,傢俱
25,傢俱
26,傢俱
27,傢俱
28,傢俱
29,傢俱
30,傢俱
31,傢俱
32,傢俱
33,傢俱
34,傢俱
35,傢俱
36,傢俱
37,傢俱
38,傢俱
39,傢俱
40,傢俱
41,傢俱
42,傢俱
43,建築
44,建築
45,建築
46,建築
47,建築
48,傢俱
49,傢俱
50,傢俱
51,裝備
52,裝備
53,裝備
54,裝備
55,裝備
56,裝備
57,裝備
58,裝備
59,傢俱
60,傢俱
61,傢俱
62,傢俱
63,傢俱
64,傢俱
65,傢俱
66,傢俱
67,傢俱
68,傢俱
69,傢俱
70,傢俱
71,傢俱
72,傢俱
73,傢俱
74,傢俱
75,傢俱
76,傢俱
77,節日
78,節日
79,節日
80,節日
81,節日
82,節日
83,節日
84,節日
85,節日
86,節日
87,節日
88,節日
89,節日
90,建築
91,建築
92,建築
93,建築
94,建築
95,建築
96,建築
97,建築
98,建築
99,建築
100,建築
101,生物
102,生物
103,生物
104,建築
105,建築
106,建築
107,建築
108,建築
109,建築
110,建築
111,建築
112,建築
113,建築
114,建築
115,建築
116,建築
117,建築
118,建築
119,建築
120,建築
121,建築
122,建築
123,建築
124,裝備
125,裝備
126,裝備
127,裝備
128,裝備
129,裝備
130,裝備
131,裝備
132,節日
133,節日
134,節日
135,建築
136,建築
137,建築
138,建築
139,建築
140,建築
149,傢具
150,傢具
151,傢具
152,傢具
153,傢具
