id,地形名称
id,Name
-1,嘗試生成次數
1000,淺海
1001,草原
1002,沙漠
1003,森林
1004,峭壁
1005,沼澤
1006,針葉林
1007,叢林
1008,冰原
1009,凍洋
1010,凍河
1011,紅土
1012,紅土海岸
1013,沙漠山丘
1014,森林山丘
1015,針葉林山丘
1016,冰山
1017,叢林山丘
1018,河流
1019,沙灘
1020,峭壁邊緣
1021,熔岩之地
1022,空島
1023,盆地
1024,盆地邊緣
1025,竹林盆地
1026,桃樹盆地
1027,平原
1028,山丘
1029,祭壇平原
1030,高山
1031,丘陵
1032,星球空島
1033,星球空島
1034,星球空島
1035,星球空島
1036,星球空島
1037,星球空島
1038,空島邊緣
1039,雨林
1040,空島平原
1041,草原空島
1042,火山主峰
1043,火山平原
1044,火山山脈
1045,火山岩漿河
1046,火山口
1047,沙漠綠洲
1048,沙漠湖泊
1049,深海
1050,荒島海岸
1051,荒島島心
1052,紅土島海岸
1053,紅土島心
1054,珊瑚島海岸
1055,珊瑚島島心
1056,覆雪針葉林
1057,雪山主峰
1058,雪山副峰
1059,雪山山脈
1060,雪山中部
1061,雪山底部
1062,副峰雪山中部
1063,凍湖
1064,峽谷
1065,峽谷邊緣
