角色ID,繁体角色名称,繁体角色描述,繁体天赋名称,繁体天赋描述,繁体解锁提示
ID,Name,Desc,GeniusName,GeniusDesc,BuyTips
1,酋長,原始人部落的首領，喜歡到處冒險，開闢部落領地。,強壯,增加基礎傷害（未啟動）,@Null@
2,酋長,原始人部落的首領，喜歡到處冒險，開闢部落領地。,強壯1,基礎傷害增加5點,@Null@
3,酋長,原始人部落的首領，喜歡到處冒險，開闢部落領地。,強壯2,基礎傷害增加10點,@Null@
4,酋長夫人,彪悍的原始人母親，是部落裡面狩獵的一把好手。,狩獵能手,增加狩獵收穫（未啟動）,@Null@
5,酋長夫人,彪悍的原始人母親，是部落裡面狩獵的一把好手。,狩獵能手1,打怪有25%幾率獲得2倍掉落,@Null@
6,酋長夫人,彪悍的原始人母親，是部落裡面狩獵的一把好手。,狩獵能手2,打怪有25/15%幾率獲得2/3倍掉落,@Null@
7,卡卡,從小生活在原始部落裡，擁有一身野外生存的本領。,倔強,降低受到的遠程傷害（未激活）,@Null@
8,卡卡,從小生活在原始部落裡，擁有一身野外生存的本領。,倔強1,受到的遠程傷害降低20%,@Null@
9,卡卡,從小生活在原始部落裡，擁有一身野外生存的本領。,倔強2,受到的遠程傷害降低40%,@Null@
10,妮妮,勤勞的原始人妹妹，幹活特別積極。,勤勞,提高採集速度（未啟動）,@Null@
11,妮妮,勤勞的原始人妹妹，幹活特別積極。,勤勞1,採集速度提高50%,@Null@
12,妮妮,勤勞的原始人妹妹，幹活特別積極。,勤勞2,採集速度提高100%,@Null@
13,熊孩子,每家都有一隻熊孩子，等等，他手上拿著的是什麼？,炸彈鬼才,降低受到的爆炸傷害（未啟動）,@Null@
14,熊孩子,每家都有一隻熊孩子，等等，他手上拿著的是什麼？,炸彈鬼才1,受到的爆炸傷害降低20%,@Null@
15,熊孩子,每家都有一隻熊孩子，等等，他手上拿著的是什麼？,炸彈鬼才2,受到的爆炸傷害降低40%,@Null@
16,隊長湯姆,前世界維和部隊特種兵，野外生存和槍法一樣犀利。,野外求生,增強食物效果和水下呼吸（未啟動）,解鎖道具可在家園果實中獲得。
17,隊長湯姆,前世界維和部隊特種兵，野外生存和槍法一樣犀利。,野外求生1,食物回復的饑餓度/生命值、水下呼吸時間各增加15%,解鎖道具可在家園果實中獲得。
18,隊長湯姆,前世界維和部隊特種兵，野外生存和槍法一樣犀利。,野外求生2,食物回復的饑餓度/生命值、水下呼吸時間各增加30%,解鎖道具可在家園果實中獲得。
19,特工羅拉,保安公司的大眾女神，熱愛刺激的冒險。,預感,免疫一次致命傷害（未啟動）,解鎖道具可在家園果實中獲得。
20,特工羅拉,保安公司的大眾女神，熱愛刺激的冒險。,預感1,受到的傷害大於45點並導致死亡時，以25%的生命值立刻重生，觸發間隔5分鐘,解鎖道具可在家園果實中獲得。
21,特工羅拉,保安公司的大眾女神，熱愛刺激的冒險。,預感2,受到的傷害大於25點並導致死亡時，以50%的生命值立刻重生，觸發間隔3分鐘,解鎖道具可在家園果實中獲得。
22,小淘氣辛蒂,原始考古隊的飛行駕駛員，機警敏銳。,超級跳躍,增強跳躍能力，2級時可以二段跳（未啟動）,解鎖道具可在家園果實中獲得。
23,小淘氣辛蒂,原始考古隊的飛行駕駛員，機警敏銳。,超級跳躍1,跳躍高度+50%，摔落傷害-10,解鎖道具可在家園果實中獲得。
24,小淘氣辛蒂,原始考古隊的飛行駕駛員，機警敏銳。,超級跳躍2,跳躍高度+50%，摔落傷害-20，可以二段跳,解鎖道具可在家園果實中獲得。
25,助教彼得,為了交出一份完美的畢業作業，學長加入了考古隊。,意外發現,擊碎罐子有幾率發現各種東西（未啟動）,解鎖道具可在家園果實中獲得。
26,助教彼得,為了交出一份完美的畢業作業，學長加入了考古隊。,意外發現1,擊碎罐子有18%幾率發現稀有材料,解鎖道具可在家園果實中獲得。
27,助教彼得,為了交出一份完美的畢業作業，學長加入了考古隊。,意外發現2,擊碎罐子有27%幾率發現更多稀有材料和特殊方塊,解鎖道具可在家園果實中獲得。
28,史提芬教授,國家科學院的老教授為什麼會出現在這片蠻荒的地方呢？,博學,挖掘石頭的時候有幾率發現各種東西（未啟動）,解鎖道具可在家園果實中獲得。
29,史提芬教授,國家科學院的老教授為什麼會出現在這片蠻荒的地方呢？,博學1,挖掘石頭有4%幾率發現稀有礦石和材料,解鎖道具可在家園果實中獲得。
30,史提芬教授,國家科學院的老教授為什麼會出現在這片蠻荒的地方呢？,博學2,挖掘石頭有6%幾率發現更多稀有礦石、材料和特殊方塊,解鎖道具可在家園果實中獲得。
