签到类型/1七天 2每周 3国庆活动,天数/周几,繁体奖励名称,繁体奖励存放提示
SignInType,WhatDay,RewardName,RewardTips
1,1,晴雨煙花,已存入倉庫
1,2,保險箱,已存入倉庫
1,3,星星禮盒,已存入倉庫
1,4,小星星煙花,已存入倉庫
1,5,晴雨煙花,已存入倉庫
1,6,星星禮盒,已存入倉庫
1,7,迷你大禮包,已存入倉庫
2,1,蛋蛋福袋,已存入倉庫
2,2,裝扮禮封,已存入倉庫
2,3,星星禮盒,已存入倉庫
2,4,裝扮禮封,已存入倉庫
2,5,星星禮盒,已存入倉庫
2,6,迷你豆,已添加到帳戶
2,7,迷你豆,已添加到帳戶
3,1,星星禮盒,已存入倉庫
3,2,一袋迷你豆,已存入倉庫
3,3,傳送卷軸,已存入倉庫
3,4,一袋迷你豆,已存入倉庫
3,5,星星煙花,已存入倉庫
3,6,一袋迷你豆,已存入倉庫
3,7,迷你披風,已存入倉庫
3,8,一袋迷你豆,已存入倉庫
3,9,一袋迷你豆,已存入倉庫
3,10,一袋迷你豆,已存入倉庫
3,11,一袋迷你豆,已存入倉庫
3,12,裝扮卡片,已存入倉庫
3,13,一袋迷你豆,已存入倉庫
3,14,一袋迷你豆,已存入倉庫
3,15,一袋迷你豆,已存入倉庫
3,16,一袋迷你豆,已存入倉庫
3,17,一袋迷你豆,已存入倉庫
3,18,一袋迷你豆,已存入倉庫
3,19,一袋迷你豆,已存入倉庫
3,20,貝雷帽,已存入倉庫
