ID,购买提示
ID,BuyTips
1,Dapat diunlock dari buah di Kebun
2,Dapat diunlock dari buah di Kebun
3,Dapat diunlock dari event
4,Dapat diunlock dari event
5,Dapat diunlock dari buah di Kebun
6,Dapat diunlock dari buah di Kebun
7,Dapat diunlock saat Kebun mencapai level 10
8,Dapat diunlock dari buah di Kebun
9,Dapat diunlock dari buah di Kebun
10,Dapat diunlock dari event
11,Dapat diunlock dari event
12,@Null@
13,@Null@
14,@Null@
15,Dapat diunlock dari buah yang terbatas di Kebun. (Bukan dari buah emas atau buah biasa)
16,Dapat diunlock dari buah yang terbatas di Kebun. (Bukan dari buah emas atau buah biasa)
17,Dapat diunlock dari buah yang terbatas di Kebun. (Bukan dari buah emas atau buah biasa)
18,Dapat diunlock dari buah yang terbatas di Kebun. (Bukan dari buah emas atau buah biasa)
19,Dapat diunlock dari buah yang terbatas di Kebun. (Bukan dari buah emas atau buah biasa)
20,Dapat diunlock dari buah yang terbatas di Kebun. (Bukan dari buah emas atau buah biasa)
21,@Null@
22,@Null@
23,@Null@
24,Dapat diunlock dari buah yang terbatas di Kebun. (Bukan dari buah emas atau buah biasa)
25,Dapat diunlock dari buah yang terbatas di Kebun. (Bukan dari buah emas atau buah biasa)
26,@Null@
27,@Null@
28,@Null@
29,Dapat diunlock dari buah yang terbatas di Kebun. (Bukan dari buah emas atau buah biasa)
30,Dapat diunlock dari buah yang terbatas di Kebun. (Bukan dari buah emas atau buah biasa)
31,@Null@
32,Dapat diunlock dari buah yang terbatas di Kebun. (Bukan dari buah emas atau buah biasa)
33,Dapat diunlock dari buah yang terbatas di Kebun. (Bukan dari buah emas atau buah biasa)
34,Dapat ditukarkan di Mini Point
35,Dapat diunlock dari buah yang terbatas di Kebun. (Bukan dari buah emas atau buah biasa)
36,Dapat diunlock dari buah yang terbatas di Kebun. (Bukan dari buah emas atau buah biasa)
37,Dapat diunlock dari buah yang terbatas di Kebun. (Bukan dari buah emas atau buah biasa)
38,Dapat diunlock dari buah yang terbatas di Kebun. (Bukan dari buah emas atau buah biasa)
39,Dapat diunlock dari buah yang terbatas di Kebun. (Bukan dari buah emas atau buah biasa)
40,Dapat diunlock dari buah yang terbatas di Kebun. (Bukan dari buah emas atau buah biasa)
45,Dapat diunlock dari buah yang terbatas di Kebun. (Bukan dari buah emas atau buah biasa)
46,Dapat diunlock dari buah yang terbatas di Kebun. (Bukan dari buah emas atau buah biasa)
47,Dapat diunlock dari buah yang terbatas di Kebun. (Bukan dari buah emas atau buah biasa)
48,Beli untuk membuka kunci
49,Dapat diunlock dari event
50,Dapat diunlock dari event
51,Dapat diunlock dari event
52,Dapat diunlock dari event
53,Buah terbatas dapat membantu kamu membuka item yang terkunci. Tidak keluar dari buah emas dan biasa.
