ID,名字,描述,,
ID,Name,Desc,Order,Ishide
1,50 Mini Coin,@Null@,,
2,250 Mini Coin,@Null@,,
3,500 Mini Coin,Bonus 25 Mini Coin,,
4,1000 Mini Coin,Bonus 100 Mini Coin,,
5,2500 Mini Coin,Bonus 500 Mini Coin,,
6,5000 Mini Coin,Bonus 1500 Mini Coin,,
7,100 Mini Coin,Bonus 100 Mini Coin (Limit: 1 kali),,
8,300 Mini Coin,Bonus 300 Mini Coin (Limit: 1 kali),,
11,13 Mini Coin,,,
12,14 Mini Coin,,3,0
13,27 Mini Coin,,,
14,41 Mini Coin,,,
17,20 Mini Coin,,,
20,25 Mini Coin,,,
21,14400 Mini Coin,Bonus Tambahan 4600 Mini Coin,,
22,33 Mini Coin,Bonus tambahan 33 Mini Coin (Terbatas 1 kali),,
23,150 Mini Coin,Bonus tambahan 150 Mini Coin (Terbatas 1 kali),,
