购买ID,道具ID,印尼语
ProductID,ID,Desc
1,24601,Dapat menggunakan sebagian besar skin custom selama 30 hari
4,12856,Ganti nama 1 kali
8,12965,Termasuk 3 gulungan yg bisa mengantarmu pulang
13,10025,"Berisi 3 tiket yang dapat digunakan untuk langsung berteleportasi kembali ke lokasi Home di planet ini, sangat memudahkan sekali"
10,1055,Code case kecil. Tamu harus memasukan password utk masuk.
11,1056,Code case kecil. Tamu harus memasukan password utk masuk.
5,845,Khusus tuan rumah. Dapat melindungi dari monster.
6,846,Khusus tuan rumah. Dapat melindungi dari monster.
2,12751,"Setelah digunakan, tembakkan kembang api dengan pola Gashapon ke langit (beli dan dapatkan #c0AAA1A Tiket Gashapon*1#n)"
3,12752,"Setelah digunakan, nyalakan kembang api dengan pola Buah ke langit (beli dan dapatkan #c0AAA1A Tiket Event*1#n)"
7,12831,Tembakkan kembang api ke langit utk dapat EXP drops!
9,12750,Tembakan kembang api motif senyum ke langit! (Gratis #nx300#c5aea0a mini beans)
12,10023,"Setelah digunakan, kamu bisa mendapatkan poin Season Pass"
