ID,任务名,任务描述,任务追踪
ID,Name,Desc,TrackDesc
1001001,Tempatkan Buah Suci,"Tempatkan @item_587# di atas Altar Batu Hidup.@1#r(""Buah Suci"" mewakili teknologi rekayasa genetik yang paling canggih dari ""orang kuno"".)",Tempatkan @item_587# di atas Altar Batu Hidup.
1001002,Tempatkan Pedang Api Patah,"Tempatkan @item_588# di atas Altar Batu Keberanian. @1#r(""Pedang Api Patah"" adalah simbol kerjasama antara orang kuno Planet Miras dan naga hitam bertahun-tahun.)",Tempatkan @item_588# di atas Altar Batu Keberanian
1001003,Tempatkan Mata Orang Batu,"Tempatkan @item_589# di atas Altar Batu Kebijaksanaan @1 #r (""Mata Orang Batu"" mewakili kecerdasan yang pernah dibanggakan oleh ""Orang kuno"".)",Tempatkan @item_589# di atas Altar Batu Kebijaksanaan
1001004,Pertempuran dengan Void Phantom!,"Kalahkan Void Phantom! #r(Tidak takut si jahat, demi Mini Semesta!)",Kalahkan Void Phantom!
1001005,Temukan Void,@item_11333# didapatkan.#r(Ini……awal baru？……),@item_11333# didapatkan.
1002001,Kembali ke Miras,"Akhirnya sampai juga di planet Miras. #rTapi seluruh tim dipisahkan saat menerobos rantai bintang, tidak tahu apakah teman lain tiba di planet Miras?",Tiba di planet Miras
1002002,Aku Butuh Beberapa Batu,"Kumpulkan @item_110# untuk dapatkan @item_11627#@1#r (tekan lama pada blok batu untuk kumpulkanya, atau buka ransel lalu mensintesis @item_104#.)",Kumpulkan @item_110# untuk dapatkan @item_11627#@1
1002003,Lebih Banyak Materi,Menebang cabang untuk dapatkan @item_11006#@1#r（tekan lama pada cabang untuk kumpulkannya）,Kumpulkan @item_11006#@1 dari pohon
1002004,Kehidupan Bahagia Dimulai,Menggunakan @item_11627# dan @item_11006# untuk buat @item_11002#@1#r (Alat yang enak dapat kumpulkan sumber daya lebih cepat),Buka ransel dan buat @item_11002#@1
1002005,Penebang,Gunakan @item_11002# dan hancurkan pohon! Kumpulkan @item_11323#@1#r (@item_11323# sangat penting dalam perjalanan masa depan.),Menebang pohon untuk dapatkan @item_11323#@1
1002006,Pakar Bangunan,"Menggunakan @item_11323# untuk buat @item_206#@1. #r(Kecuali @item_206#, kebanyakan material kayu diperlukan@item_11323#. Disarankan kumpulkan lebih banyak.)",Buat @item_206#@1
1002007,Tempat Tinggal,"Letakkan @item_206#@1#r(Sepertinya ada rumah rusak di dekat stasiun bintang, mungkin bisa diperbaiki dengan @item_206#, jadi tidak perlu khawatir tentang tempat tinggal.)",Letakkan @item_206#@1
1002008,Arm Yourself,"Use @item_11323# and @item_11627# to craft @item_12012#@1#r (Surviving in the wilderness can be dangerous, so having a handy weapon is essential!)",Craft @item_12012#@1
1002009,Menyerang!,Kalahkan makhluk apapun @1#r(Pertahanan yang terbaik adalah serangan? Cobalah senjata yang baru dibuat. ),Kalahkan makhluk apapun@1
1002010,Terang dalam gelap!,"Gunakan @item_11006# dan @item_11226# untuk memproses @item_298#@1#r(Ingat! Waktu pembakaran obor kecil terbatas, dan perlu dinyalakan kembali jika padam.)",Memproses @item_298#@1
1002011,Pesta Api Unggun,"Gunakan @item_298# untuk nyalakan @item_1200#@1#r (mungkin ada @item_1200# disembunyikan di rumah rusak di dekat stasiun bintang, atau Anda bisa buatnya sendiri.)",Nyalakan @item_1200#@1
1002012,Tukang,"Gunakan item_11323# dan @item_11627# untuk memproses @item_800#@1#r(Meja tukang, keharusan bagi para petualang! Dapat proses lebih banyak barang ya)",Memproses @item_800#@1
1002013,Keharusan Hidup,"Gunakan @item_12600# dan @item_11226# untuk memproses @item_828#@1#r #r (@item_800# harus diperlukan untuk proses. Setelah diproses, ingatlah letakkan @item_828# di tempat yang aman. Anda tidak bisa tidur kalau ada bahaya di sekitarnya!)",Memproses @item_828#@1
1002014,Istirahat Baik,"Gunakan @item_828# untuk tidur #r (klik @item_828# untuk berbaring di atasnya, tetapi Anda tidak bisa tidur pada siang hari, harus saat malam. Malam di Mira mulai dari pukul 20: 00, hatikan waktunya)",Gunakan @item_828# untuk tidur
1003001,"Daging Bakar, Harum!",Letakkan @item_12513# di atas api unggun dan dapatkan @item_12514#@1#r (Daging kebanyakan hewan bisa dipanggang. Sangat berbahaya makan daging mentah langsung di alam liar! Hati-hati diare!）,Letakkan @item_12513# di atas api unggun dan dapatkan @item_12514#@1
1003002,Makan Daging Enak,Makan @item_12514# untuk memulihkan HP@1#r(Merasa energi kembali!),Makan @item_12514#@1
1003003,Alat Penggalian,"Gunakan @item_11627# dan @item_11006# untuk memproses @item_11012#@1#r(Pakai @item_11012#lebih cepat menggali batu, susahlah menggali batu dengan tangan kosong)",Memproses @item_11012#@1
1003004,Sumber Baru?,"Gunakan @item_11012# untuk gali @item_402 dan dapatkan @item_11201#@1#r( @item_11201# adalah bahan bakar peleburan paling umum di Planet Miras, umum ditemukan di atas maupun di bawah tanah, ingat perhatikan.)",Gali @item_402#@1
1003005,Mineral baru!,Gunakan @item_11012# untuk menggali @item_451#@1#r(@item_451# biasa ditemukan di bawah permukaan tanah planet Miras),Menggali @item_451#@1
1003006,Tukang Tungku,"Gunakan @item_11226# dan @item_101# untuk buat @item_802#@1#r(Dengan @item_802# Anda dapat melebur logam, supaya meningkatkan alat mu!)",Buat @item_802#@1
1003007,Metal smelting: Brass,Use fuel to smelt @item_451# in @item_802# to refine @item_11329#@1#r (@item_11329# is a very basic metal with a wide range of uses. It can be used to upgrade tools to improve efficiency),Smelt to get @item_11329#@1
1003008,Alat yang lebih berguna,"Gunakan @item_11329# dan @item_11006#untuk buat @item_11011#@1#r(@item_800#diperlukan saat prosesnya. Dengan @item_11011#, kecepatan galian meningkat pesat! )",Buat @item_11011#@1
1003009,Pelajaran Pertama di alam liar,"Selesaikan semua tugas dalam tujuan ""Penjelajah Baru."" #r (telah belajar cara paling dasar untuk bertahan hidup di alam liar, namun Trik si Void Phantom belum dihancurkan, jadi tetap bekerja lebih keras!)","Selesaikan semua tugas ""Penjelajah Baru."""
1004001,Awal Pertanian,"Gunakan @item_11627# dan @item_11006# untuk buat @item_11032#@1#r (dengan itulah, Anda dapat mengolah lahan pertanian)",Buat @item_11032#@1.
1004002,Pengolahan lahan pertanian,"Gunakan @item_11032# pada @item_100# atau @item_101#, bisa buatnya menjadi lahan pertanian @1#r(klik-kanan dan tekan lama dengan mouse kepada blok, saat di PC. tekan lama kepada blok, saat di ponsel)",Gunakan @item_11032# untuk mengolah lahan pertanian@1
1004003,Raja Makanan,Menanam @item_11400# di @item_102#@1 #r (Ambil @item_11400# dan klik pada @item_102#@1),Menanam @item_11400#@1
1004004,Pemupukan,"memberikan @item_11311# untuk tanaman@1 #r(@item_11311# mempercepat pertumbuhan sebagian besar tanaman, tetapi tidak setiap pemupukan berhasil.……)",Berikan @item_11311# untuk tanaman@1
1004005,Panen Raya!,Panen @item_229# yang matang @1#r (panen pertama selalu berkesan),Panen @item_229# yang matang @1
1004006,The first step to be a chef,"Use @item_104# to craft @item_200108#@1#r (@item_800# will be needed when crafting. You can also ignite the bonfire with @item_298#, remember? Place @item_200108# on the @item_1200# you ignited to make more delicious food)",Craft @item_200108#@1
1004007,Persiapan bahan,Gunakan @item_229# untuk proses @item_344#@1#r (membutuhkan @item_800# untuk diproses. @item_344# adalah bahan baku untuk kebanyakan kuliner),Buat @item_344#@1
1004008,Delicious Dish,Cook @item_12502#@1#r (Use @item_344# in @item_200108# and wait for the delicious dish to be prepared),Cook @item_12502#@1 in @item_200108#
1004009,Ayo cicipi!,"Makan @item_12502#@1#r (Hanya saat kenyang, energi dalam tubuh dipulihkan)",Makan @item_12502#@1
1004010,Hemat ruang dalam ransel,Gunakan @item_11323# dan @item_11006# untuk buat @item_1180#@1#r(Barang-barang bisa disimpan dalam Kotak Simpanan kalau ransel telah penuh),Memproses @item_1180#@1
1004011,Menangkis serangan musuh,"Gunakan @item_11323# dan @item_11006# untuk buat @item_812#, dan letakkannya.@1#r(Setelah memasang pintu rumah, dapat mencegah monster memasuki rumah. Tapi hati-hati, @item_812# bisa dihancurkan oleh Boarman! )",Buat dan letakkan @item_812#@1
1004012,Proyek Benteng,Gunakan @item_11323# untuk buat @item_821# dan letakkannya. @1#r(Ambil @item_821# dan klik @item_821# yang telah diletakkan untuk memasangnya.),Buat dan letakkan @item_821#@1
1004013,Pintu Keluar Benteng,"Gunakan @item_11323#, @item_11006# dan @item_11227# untuk buat @item_535#, dan letakkannya. @1#r(@item_535# bisa dihubungkan dengan tiang kayu kecil sehingga monster tidak bisa masuki rumahmu.)",Buat dan letakkan @item_535#@1
1004014,Patung misterius,"Gunakan @item_104# untuk buat @item_596# dan letakkannya @1#r(Patung batu aneh itu memiliki perasaan aneh kelihatannya, dan sesuatu mungkin terjadi saat Anda menyentuhnya)",Buat dan letakkan @item_596# @1
