ID,名字,描述,购买提示,特别效果1描述,特别效果2描述,特别效果3描述,特别效果4描述,特别效果5描述,特别效果6描述
ID,Name,Desc,BuyTips,EffectDesc1,EffectDesc2,EffectDesc3,EffectDesc4,EffectDesc5,EffectDesc6
1,Panda,Panda lucu dan manja yang suka makan bambu,Dapatkan kartu dress-up di Kebun,Jejak Kaki: Meninggalkan jejak kaki panda,Avatar: Unlock foto profil Panda,@Null@,,,
2,Little Monkey King,Little Monkey King ini akan menemaimu selama hari raya Imlek,Dapatkan kartu dress-up di Kebun,Jejak Kaki: Meninggalkan jejak kaki berbentuk awan,Avatar: Unlock foto profil Little Monkey King,@Null@,,,
3,Beauty Bunny,Kelinci imut yang akan meninggalkan jejak wortel setiap berjalan,Dapatkan kartu dress-up di Kebun,Jejak Kaki: Meninggalkan jejak kaki berbentuk lobak,Avatar: Unlock foto profil Beauty Bunny,@Null@,,,
4,Misra,Dinosaurus mini. Hati-hati dengan Misra di Prehistory World,Dapatkan kartu dress-up di Kebun,Jejak Kaki: Meninggalkan jejak kaki dinosaurus,Avatar: Unlock foto profil Misra,@Null@,,,
5,Sweety Waitress,Miaw Miaw Miaw! Selamat datang di Miaw Cafe! Ada yang bisa saya bantu?,Dapatkan prop untuk unlock di Kebun,Jejak Kaki: Meninggalkan jejak kaki kucing,Avatar: Unlock foto profil Sweety Waitress,@Null@,,,
6,George,Anak muda yang suka musik dan olahraga,Dapatkan prop untuk unlock di Kebun,Jejak Kaki: Meninggalkan jejak kaki berbentuk hati berwarna biru,Avatar: Unlock foto profil George,@Null@,,,
7,Anny,Perempuan yang energetik yang suka menari dan makan dessert,Dapatkan prop untuk unlock di Kebun,Jejak Kaki: Meninggalkan jejak kaki berbentuk hati berwarna merah,Avatar: Unlock foto profil Anny,@Null@,,,
8,Mohist Xiaofei,Anggota dari klub Mohist. Dia sangat pintar membuat alat-alat.,@Null@,Jejak Kaki: Meninggalkan jejak kaki berbentuk sayap angin,Avatar: Unlock foto profil Mohist Xiaofei,Aksi Spesial: Terbang (Hanya di mode kreasi),Efek Spesial: Terbang (Hanya di mode kreasi),,
9,Dracula VI,"Gigitan pertama membuatku awet muda, lebih elegan dan mempesona",Dapatkan prop untuk unlock di Kebun,Efek Spesial: Kabut gelap dan kelelawar hitam,Avatar: Unlock foto profil Dracula VI,@Null@,,,
10,Jingle Deer,Rusa kecil yang sangat suka bermain di Christmas Valley,@Null@,Efek Spesial: Nuansa Natal,Avatar: Unlock foto profil Jingle Deer,Jejak Kaki: Meninggalkan jejak kaki rusa,,,
11,Pendekar Salju,Pendekar salju dari Waste Land. Elang adalah teman baik dia.,@Null@,Efek Spesial: Kepingan salju,Avatar: Unlock foto profil Pendekar Salju,Jejak Kaki: Meninggalkan jejak kaki berbentuk bola salju,,,
12,Yuji,Bidadari cantik yang jatuh dari langit dan bertemu Murong,@Null@,Efek Spesial: Kelopak bunga,Avatar: Unlock foto profil Yuji,@Null@,,,
13,Murong,Pendekar yang selalu berlatih di gunung dan bertemu Delilah,@Null@,Efek Spesial: Nafas yang kuat,Avatar: Unlock foto profil Murong,Jejak Kaki: Meninggalkan jejak kaki,,,
14,Joey,Sorry. Mungkin peluruku tidak akan menarik perhatianmu.,@Null@,Efek Spesial: Asap dan debu,Avatar: Unlock foto profil Joey,Jejak Kaki: Meninggalkan jejak kaki berbentung bintang,,,
15,Lucas,Pemain basket dengan IQ tinggi. Pemenang Slam Dunk. Seorang MVP di setiap game.,@Null@,@Null@,Avatar: Unlock foto profil Lucas,Jejak Kaki: Meninggalkan jejak kaki berbentung bola basket,,,
16,Clair,"Seperti Lucas, Clair juga sangat glamor.  Banyak mata yang tertuju padanya.",@Null@,@Null@,Avatar: Unlock foto profil Clair,Jejak Kaki: Meninggalkan jejak kaki berbentung pita,,,
17,Rose,Apakah ada yang mau menemani aku?,@Null@,Efek Spesial: Hati berwarna merah,Avatar: Unlock foto profil Rose,@Null@,,,
18,Kapten Teach,Aku ingin menjadi kapten bajak laut terhebat. Tak pernah takut dengan angin dan badai di lautan,@Null@,@Null@,Avatar: Unlock foto profil Kapten Teach,Jejak Kaki: Meninggalkan jejak kaki,,,
19,Mary,Aku mau jadi asisten kapten bajak laut yang terkenal,@Null@,Efek Spesial: Aroma laut berwarna pink,Avatar: Unlock foto profil Mary,@Null@,,,
20,Jinyi,Aku tidak takut atau malu dengan pedang.,@Null@,Jejak Kaki: Meninggalkan jejak kaki berbentuk angin plantar,Avatar: Unlock foto profil Jinyi,@Null@,,,
21,Xiaolou,Baik hati dan sangat lemah lembut. Jangan sakiti dia!,@Null@,Efek Spesial: Bunga persik,Avatar: Unlock foto profil Xiaolou,@Null@,,,
22,Lilith,Trick or treat,@Null@,Efek Spesial: Aura penyihir,Avatar: Unlock foto profil Lilith,@Null@,,,
23,Wushuang,Jangan salah mengira kebaikanku sebagai kelemahan,@Null@,Efek Spesial: Bunga biru,Avatar: Unlock foto profil Wushuang,@Null@,,,
24,Dragonet,Duniamu adalah untuk aku lindungi!,@Null@,Jejak Kaki: Meninggalkan jejak kaki berbentuk asap hitam,Avatar: Unlock foto profil Dragonet,@Null@,,,
25,Erlang,Aku akan menjauhkan kamu dari roh jahat. Kamu akan aman.,@Null@,Efek Spesial: Vibe positif,Avatar: Unlock foto profil Erlang,@Null@,,,
26,Mermale,"Mama selalu bilang, kejarlah mimpi setinggi langit. Semangat!",@Null@,Efek Spesial: Berkat Dream,Avatar: Unlock foto profil Mermale,@Null@,,,
27,Misoso,"Kepala pembangun World Protector Plan, berjuang untuk membuat dunia lebih baik.",Dapatkan shard di event Protector of the World Plan,Efek Spesial: Berkat Nature,Avatar: Unlock foto profil Misoso,@Null@,,,
28,Mini-X,Penjaga waktu yang suka jalan-jalan dan mendengarkan musik.,@Null@,Efek Spesial: Cahaya listrik,Avatar: Unlock foto profil Mini-X,@Null@,,,
29,Mini-T,Jiwa membara yang selalu siap untuk infinite galaxy,@Null@,Efek Spesial: Cahaya listrik,Avatar: Unlock foto profil Mini-T,@Null@,,,
30,Peri Bulan,Dia selalu menari di bawah indahnya cahaya bulan.,@Null@,Efek Spesial: Bulan sabit,Avatar: Unlock foto profil Peri Bulan,@Null@,,,
31,Pumpkie,Penyihir misterius yang mempunyai kekuatan super. Penuh dengan ribuan jenis mantra ampuh untuk mengalahkan musuhnya.,@Null@,Efek Spesial: Aura sihir,Avatar: Unlock foto profil Pumpkie,@Null@,,,
32,Shelley,Putri duyung dari kerajaan laut yang tersesat di Mini World. Siapa yang membuat dia senang dapat mendengarkan nyanyian indahnya.,@Null@,Efek Spesial: Tetesan air,Avatar: Unlock foto profil Shelly,Jejak Kaki: Meninggalkan jejak kaki berbentung kerang,,,
33,Christopher,Keajaiban di musim dingin adalah setiap butiran salju hidup dan akan saling melindungi.,@Null@,Efek Spesial: Kepingan salju,Avatar: Unlock foto profil Christopher,@Null@,,,
34,Popo,Dodo dan Bobo berteman baik dengan Misra. Mereka sangat rendah hati. Mereka memulai perjalanan untuk menemukan planet tempat mereka bisa mendapatkan Sihir Warna dengan harapan menjadi lebih kuat.,@Null@,Efek Spesial: Dapat berubah warna sesuai dengan lingkungan sekitar,Avatar: Unlock foto profil Dodo dan Bobo,@Null@,,,
35,Dodo,Dodo dan Bobo berteman baik dengan Misra. Mereka sangat rendah hati. Mereka memulai perjalanan untuk menemukan planet tempat mereka bisa mendapatkan Sihir Warna dengan harapan menjadi lebih kuat.,@Null@,Avatar: Unlock foto profil Dodo,@Null@,@Null@,,,
36,Bobo,Dodo dan Bobo berteman baik dengan Misra. Mereka sangat rendah hati. Mereka memulai perjalanan untuk menemukan planet tempat mereka bisa mendapatkan Sihir Warna dengan harapan menjadi lebih kuat.,@Null@,Avatar: Unlock foto profil Bobo,@Null@,@Null@,,,
37,Sakura,Gadis kecil yang meninggalkan mimpinya untuk pertualang dan hidup dengan cara yang dia inginkan.,@Null@,Avatar: Unlock foto profil Sakura,Jejak Kaki: Meninggalkan jejak kaki berbentuk kelopak bunga,@Null@,,,
38,Pendekar Zhanlang,Pendekar dengan penuh pengalaman. Dia adalah seorang komando.,@Null@,Efek Spesial: Spindrift,Avatar: Unlock foto profil Pendekar Zhanlang,Jejak Kaki: Meninggalkan jejak kaki air,,,
39,Eva,Bidadari baik yang selalu menyebarkan kebaikan di setiap sudut Mini World. Eva selalu menjaga para petualang. (Hanya didapatkan melalului event),Unlock dari event,Efek Spesial: Bulu berterbangan,Avatar: Unlock foto profil Eva,@Null@,,,
40,Mini Beat,DJ yang sangat menyukai musik rock. Dia adalah bintang terbaik.,@Null@,Efek Spesial: Ekor petir,Avatar: Unlock foto profil Mini-Beat,Jejak Kaki: Meninggalkan jejak kaki berbentung catatan,,,
41,Lancelot,"Di mana pedangku akan ditunjukan, di situ ada keadilan!",@Null@,Efek Spesial: Dikelilingi oleh cahaya bintang,Avatar: Unlock foto profil Lancelot,@Null@,,,
42,Mecha Meow,"Ting Tong! Aku Mecha Meow, robot kucing masa kini. Bisakah kalian menebak dari planet manakah aku?",@Null@,@Null@,Avatar: Unlock foto profil Mecha Meow,Jejak Kaki: Meninggalkan jejak kaki berbentung partikel elektrik,,,
43,Samurai Senbei,"Master samurai, ada yang berani melawannya?",@Null@,@Null@,Avatar: Unlock foto profil Samurai Senbei,Jejak Kaki: Meninggalkan jejak kaki berdebu,,,
44,Meow Racer,"Meow Racer! Pembalap wanita yang super imut! Baginya, kemenangan dan kesuksesan adalah segalanya. Kamu yakin bisa ngalahin dia?",@Null@,@Null@,Avatar: Unlock foto profil Meow Racer,Jejak Kaki: Meninggalkan jejak kaki berbentung hati,,,
45,Pendekar Li,Pendekar yang sangat energetik. Selalu ceria dan setia kawan.,@Null@,@Null@,Avatar: Unlock foto profil Pendekar Li,Jejak Kaki: Meninggalkan jejak kaki berbentung bola,,,
46,Pendekar An,Pendekar yang cool dan tidak banyak bicara. Hanya cerewet karena rekan kerjanya tidak begitu peduli sesama,@Null@,@Null@,Avatar: Unlock foto profil Pendekar An,Jejak Kaki: Meninggalkan jejak kaki berbentung anak panah,,,
47,Nuri YOYO,Apakah kamu percaya bahwa setiap awan memiliki rasa yang berbeda-beda? Aku akan menjadi sayapmu dan membawamu ke tempat yang indah.,@Null@,Efek Spesial: Cahaya emas menyinari mahkota,Avatar: Unlock foto profil Nuri YOYO,@Null@,,,
48,Mini-S,Ini adalah tugasku untuk menjaga kedamaian demi teman dan rumahku,@Null@,Efek Spesial: Cahaya berwarna emas di bagian belakang,Avatar: Unlock foto profil Mini-S,@Null@,,,
49,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
50,Joker,"Hi para petualang, ingin melihat atraksi sulap? Lihat atraksi keren di sini!",@Null@,@Null@,Avatar: Unlock foto profil Joker,Jejak Kaki: Meninggalkan jejak kaki berbentung ajaib,,,
51,Kana,Aku suka melanggar peraturan. Mau permenku atau paluku?,@Null@,@Null@,Avatar: Unlock foto profil Kana,Jejak Kaki: Meninggalkan jejak kaki berbentung lolipop,,,
52,Optimus Prime,"Saya, Optimus Prime dan saya mengirim pesan ini sehingga masa lalu kita akan selalu dikenang. Karena kita hidup dalam kenangan tersebut.",@Null@,Efek Spesial: Dapat berubah bentuk!,Avatar: Unlock foto profil Optimus Prime,Jejak Kaki: Meninggalkan jejak kaki berbentuk logo Autobot,#cda5b0aBerubah: Klik tombol di sebelah kanan untuk berubah #n,#cda5b0aSkill Eksklusif Transformers: Serangan Robot!#n,
53,Megatron,"Apakah itu kegagalan atau pengkhianatan, saya tidak akan pernah ditaklukkan, saya Megatron.",@Null@,Efek Spesial: Dapat berubah bentuk!,Avatar: Unlock foto profil Megatron,Jejak Kaki: Meninggalkan jejak kaki berbentuk logo Autobot,#cda5b0aBerubah: Klik tombol di sebelah kanan untuk berubah #n,#cda5b0aSkill Eksklusif Transformers: Serangan Robot!#n,
54,Mousse,"Hal apa yang paling penting saat malam Natal? Salju, kue, dan yang pasti kamu!",@Null@,@Null@,Avatar: Unlock foto profil Mousse,Jejak Kaki: Meninggalkan jejak kaki berbentung stroberi,,,
55,Kumquat,Salah satu anak kembar yang baru datang ke Mini World. Kumquat sangat suka mengumpulkan buah-buahan dan daun-daunan. Berbagi adalah rahasia untuk menjadi kaya.,@Null@,@Null@,Avatar: Unlock foto profil Kumquat,Jejak Kaki: Meninggalkan jejak kaki berbentuk kastanya,,,
