ID,名字,类型名称
ID,Name,TypeName
1,Kedepan,Gerak
2,Kekiri,Gerak
3,Kekanan,Gerak
4,Mundur,Gerak
5,Lompat,Gerak
6,Menyelinap,Gerak
7,Lari,Gerak
8,Tas,Inventory
9,Buang,Inventory
10,Hotbar 1,Inventory
11,Hotbar 2,Inventory
12,Hotbar 3,Inventory
13,Hotbar 4,Inventory
14,Hotbar 5,Inventory
15,Hotbar 6,Inventory
16,Hotbar 7,Inventory
17,Hotbar 8,Inventory
18,Atur,Inventory
19,Chat,Multiplayer
20,UI,Multiplayer
21,Skor,Multiplayer
22,Prestasi,Sistem
23,Peta kecil,Sistem
24,Tunggangan,Sistem
25,Setting mode dev,Sistem
26,Status,Sistem
27,Gudang,Sistem
28,Skin,Sistem
29,Top up,Sistem
30,Reload,Inventory
31,Ganti suara,permainan multipemain
32,Ganti mikrofon,permainan multipemain
33,perpustakaan sumber daya,fungsi
34,Pengembang jendela mengambang,fungsi
35,Bar cepat kiri,fungsi
36,Bar cepat halaman kanan,fungsi
37,antarmuka sumber daya,fungsi
38,naskah,fungsi
39,Editor Senior,fungsi
40,pemicu,fungsi
