ID,初始描述,选后描述
ID,DefaultDesc,AfterDesc
1,Iya,@Null@
2,Tidak,@Null@
3,07:00:00,@Null@
4,09:00:00,@Null@
5,12:00:00,@Null@
6,18:00:00,@Null@
7,00:00:00,@Null@
8,Custom,Custom $Num poin
9,Default,@Null@
10,Khusus cerah,@Null@
11,Khusus hujan,@Null@
12,1,@Null@
13,2,@Null@
14,3,@Null@
15,4,@Null@
16,5,@Null@
17,6,@Null@
18,10% tekanan gravitasi,@Null@
19,40% tekanan gravitasi,@Null@
20,60% tekanan gravitasi,@Null@
21,100% tekanan gravitasi,@Null@
22,500% tekanan gravitasi,@Null@
23,Custom 0.1-10,Custom $Num
24,Utama,@Null@
25,Belakang,@Null@
26,Depan,@Null@
27,Kunci pandangan utama,@Null@
28,Kunci pandangan belakang,@Null@
29,Kunci pandangan depan,@Null@
30,Tuan rumah membuka room,@Null@
31,Otomatis buka saat jumlah pemain cukup,@Null@
32,Kosong,@Null@
33,Tak terbatas,@Null@
34,2 menit,@Null@
35,5 menit,@Null@
36,10 menit,@Null@
37,Custom (1-999 menit),Custom $Num menit
38,10 menit,@Null@
39,50 menit,@Null@
40,100 menit,@Null@
41,Custom (1-999 menit),Custom $Num menit
42,Bangkit,@Null@
43,Hitung mundur 5 detik,@Null@
44,Custom (1-999 menit),Custom $Num detik
45,5 detik,@Null@
46,10 detik,@Null@
47,Tak terbatas,@Null@
48,Senyap,@Null@
49,bgm1 (tambah kecepatan),@Null@
50,bgm2 (gerakan aneh),@Null@
51,bgm3 (Chinese style),@Null@
52,bgm4 (Serang!),@Null@
53,bgm5 (Raja kesepian),@Null@
54,bgm6 (Cracker Time),@Null@
55,bgm7(Bomb！),@Null@
56,bgm8,@Null@
57,Serangan bebas,@Null@
58,Dilarang menyerang pemain,@Null@
59,Saling serang team,@Null@
60,Atur cerah & hujan (default),@Null@
61,Tidak perlu skor,@Null@
62,Pengaturan peta default,@Null@
63,Bangkit secara acak,@Null@
64,Bangkit di titik team terdekat,@Null@
65,Terlihat,@Null@
66,Tak terlihat,@Null@
67,Jatuh normal,@Null@
68,Tas kosong,@Null@
69,Simpan item,@Null@
70,Buka otomatis,@Null@
71,Tertutup,@Null@
72,Hanya utk team,@Null@
73,Terlihat musuh,@Null@
74,Tertutup semua,@Null@
75,Tergantung skor,@Null@
76,Menang,@Null@
77,Kalah,@Null@
78,Kunci sudut adas,@Null@
79,Tak terbatas,@Null@
80,2,@Null@
81,5,@Null@
82,13,@Null@
83,Custom(1-99),Custom $Num
84,10,@Null@
85,20,@Null@
86,40,@Null@
87,Custom(1-40),Custom $Num
88,Kunci pandangan custom,@Null@
89,0,@Null@
90,120,@Null@
91,Gratis,@Null@
92,Ikuti layar,@Null@
93,Bisa ganti,@Null@
94,Kotak drop,@Null@
95,@Null@,@Null@
96,@Null@,@Null@
105,Sudut pandang dari atas,
106,Perspektif kustom,
107,Cuaca buruk,
108,Turun Salju,
109,Badai pasir,
110,Badai,
111,Badai Salju,
112,Jatuhkan kotak,
