ID,任务名
ID,Name
1001,Kalahkan Void Phantom!
1002,Pejuang Fajar
1003,Penjelajah Baru
1004,Belajar Tanpa Akhir
1005,Penjelajah Terampil
1006,Insinyur Rantai Bintang
1007,Petualangan Hutan Hujan
1008,Tantangan Kuno
1009,Penyelamatan Orang Batu
2001,Tukang Alat
2002,Penjaga Hutan
2003,Pembisik Bunga
2004,Penjaga Tanah Pertanian
2005,Cerita Peternakan
2006,Guru Penjinak
2007,Koki Baru
2008,Koki Terampil
2009,Koki Michelin
2010,Artis Hebat
2011,Legenda Memancing
2012,Ahli Tambang
3001,Tukang Senjata
3002,Tukang Alat Pelindung
3003,Pengejar Kekuatan Rune
3004,Legenda Pertempuran
3005,Pemburu Alam Liar
4001,Teman Terpercaya
4002,Jejak Keberadaanku
4003,Wisatawan Gurun
4004,30.000 Mil di Bawah Lautan
4005,Ekspedisi Kutub
4006,Stellar Circuit (Dipesan)
4007,Kendaraan Mekanik (Dipesan)
