接口ID,印尼语,印尼语,印尼语,印尼语,印尼语,印尼语,印尼语
ID,TypeName,FunctionName,FunctionDesc,Desc1,Desc2,Desc3,Desc4
10001,Game ,doGameEnd,Game:doGameEnd(),nil,ErrorCode.OK,Akhiri Permainan,local result = Game:doGameEnd()
10002,Game ,setScriptVar,"Game:setScriptVar(index, val)","index:number index from 1 , val:number customized value",ErrorCode.OK,Atur skrip properti utk penggunaan khusus,"local result = Game:setScriptVar(index, val)"
10003,Game ,getScriptVar,Game:getScriptVar(index),index:number index from 1 ,"ErrorCode.OK, val:number User Value",Menerima skrip properti utk penggunaan khusus,local result = Game:getScriptVar(index)
10004,Game ,sendScriptVars2Client,Game:sendScriptVars2Client(),nil,ErrorCode.OK,Upload properti skrip,local result = Game:sendScriptVars2Client()
10005,Game ,addRenderGlobalEffect,Game:addRenderGlobalEffect(path),path:string,"ErrorCode.OK, effectid:number",Efek global,local result = Game:addRenderGlobalEffect(path)
10006,Game ,removeRenderGlobalEffect,Game:removeRenderGlobalEffect(effectid),effectid:number,ErrorCode.OK,Hapus efek global,local result = Game:removeRenderGlobalEffect(effectid)
10007,Game ,setRenderGlobalEffectPos,"Game:setRenderGlobalEffectPos(effectid, x, y, z)","effectid:number, x|y|z:number",ErrorCode.OK,Atur posisi efek global,"local result = Game:setRenderGlobalEffectPos(effectid, x, y, z)"
10008,Game ,setRenderGlobalEffectScale,"Game:setRenderGlobalEffectScale(effectid, scalex, scaley, scalez)","effectid:number, scalex|scaley|scalez:number",ErrorCode.OK,Atur ukuran efek global,"local result = Game:setRenderGlobalEffectScale(effectid, scalex, scaley, scalez)"
10009,Game ,msgBox,Game:msgBox(msg),,,Inbox,local result = Game:msgBox(msg)
20001,Peta,isDaytime,World:isDaytime(),none,"ErrorCode.OK, result:boolean",Apakah disiang hari?,"local isDayTx = World:isDaytime()
if isDayTx~=ErrorCode.OK then --If it is night, then give the torch to players
        local itemId, itemCnt = 817, 2 --Torch id and numbers
        Player:gainItems(playerId, itemId, itemCnt, 1)
end"
20002,Peta,isCustomGame,World:isCustomGame(),none,"ErrorCode.OK, result:boolean",Apakah termasuk customize game?,"local result = World:isCustomGame()
if result==ErrorCode.OK then print('Customize mode') end"
20003,Peta,isCreativeMode,World:isCreativeMode(),none,"ErrorCode.OK, result:boolean",Apakah dimode kreasi?,"local result = World:isCreativeMode()
if result==ErrorCode.OK then print('Creation mode') end"
20004,Peta,isGodMode,World:isGodMode(),none,"ErrorCode.OK, result:boolean",Mode kreasi multiplayer atau mode customized edit?,"local result = World:isGodMode()
if result==ErrorCode.OK then print('Multiplayer mode') end"
20005,Peta,isExtremityMode,World:isExtremityMode(),none,"ErrorCode.OK, result:boolean",Hardcore,"local result = World:isExtremityMode()
if result==ErrorCode.OK then print('Hardcore mode') end"
20006,Peta,isFreeMode,World:isFreeMode(),none,"ErrorCode.OK, result:boolean",Mode petualang-Free mode,"local result = World:isFreeMode()
if result==ErrorCode.OK then print('Survival mode-Free mode') end"
20007,Peta,isSurviveMode,World:isSurviveMode(),none,"ErrorCode.OK, result:boolean",Mode offline atau mode petualang-Free mode,"local result = World:isSurviveMode()
if result==ErrorCode.OK then print('Single Survival mode') end"
20008,Peta,isCreateRunMode,World:isCreateRunMode(),none,"ErrorCode.OK, result:boolean",Mode petualangan berubah menjadi mode kreasi,"local result = World:isCreateRunMode()
if result==ErrorCode.OK then print('Survival mode, turned from creation mode') end"
20009,Peta,isGameMakerMode,World:isGameMakerMode(),none,"ErrorCode.OK, result:boolean",Customized edit mode,"local result = World:isGameMakerMode()
if result==ErrorCode.OK then print('Customized edit mode') end"
20010,Peta,isGameMakerRunMode,World:isGameMakerRunMode(),none,"ErrorCode.OK, result:boolean",Customized operate mode,"local result = World:isGameMakerRunMode()
if result==ErrorCode.OK then print('Customized operation mode') end"
20011,Peta,getHours,World:getHours(),none,"ErrorCode.OK, result:number",Waktu sekarang(h),"local result, dayTime = World:getHours()
if result==ErrorCode.OK then print('Current time:', dayTime) end"
20012,Peta,getCameraEditState,World:getCameraEditState(),none,"ErrorCode.OK, state:number0Default，1Edit，2Test",Dapat status view editing,"local result, state = World:getCameraEditState()
if result==ErrorCode.OK then print('Current view editing state:', state) end"
