姓（印尼语的名，男女都会随机到，可以空着）;男名字（印尼语的姓，男角色随机）;女名字（印尼语的姓，女角色随机）,,
Surname,Male,Female
,Prabhu,Dewi
,Budi ,Anita
,Hadi ,Ratnasari
,Abdul ,Annie Halim
,Achmad ,Belinda
,Agung ,Catherine
,Agus Djohari,Cecilia 
,Agus Nursalim,Cindy
,Aguston,Veronica
,Albert ,Devi Tri
,Alvin Gozali,Garlina
,Andang,Garlina Sari
,Andre Abdi,Nilka Sari
,Andreas,Dina 
,Andrew Sriro,Sephia
,Andry ,Elisabeth
,Anthon ,Elly Lestari
,Anton Kusuma,Emmy 
,Anton Santoso,Hani
,Ardy ,Erna 
,Arief Santoso,Sofia
,Arief ,Cindu
,Arifin ,Farah Liza
,Aris ,Tifanny  
,Arman ,Fina
,Bambang ,Fitri
,Bayu ,Henny
,Bimo ,Herline
,Budi ,Hilary
,Daniel ,Indah
,Clarence,Indahwati
,David ,Irene
,Dicky ,Irma
,Eddy ,Istini
,Edy ,Jendrawasih
,Erwin ,Katini Dewi
,Fabian ,Katharina
,Fahmi ,Kezia Putri
,Fendi ,Kiki 
,Gary ,Kiki Barki
,Gerry ,Kimberly
,Gunawan ,Kiyomi
,Handy ,Kristina
,Harry ,Kusumawati
,Herman ,Lanasari
,Husin,Lanny
,Indawan,Lanny Widja
,Ishak ,Lilian
,Ivan ,LiLi Ashari
,Iwan ,Linda
,Jahja ,Lucia Mogi
,Jacky ,Lusi
,Jimmy ,Maiko Kawano
,Diputra ,Marcella
,Lukas ,Maria
,Mario,Megawati
,Markus,Masayu
,Marten Liu,Meiliana
,Meizar,Melly
,Mende ,Melissa
,Michael ,Natalie Ong
,Michael Koh,Nathalia
,Mochamad ,Rachmiwaty
,Mohan ,Ratnasari
,Myrna Putri,Alfi
,Muljadi ,Anggraini
,Nazamudin,Suriana
,Nico ,Christina
,Nova ,Rhita Manik
,Nursalim,Rita Handoso
,Nyoman ,Melia
,Oetie,Rosana
,Omar ,Roselyne 
,Omar Putihrai,Rosemelati
,Ong Ju Chi,Nadia
,Paulis Amin,Rosida Chung
,Paulus ,Sally Texania
,Peter Markart,Sallyawati
,Peter Merkle,Samin Tan
,Petrus Gho,Sammy Hamzah
,Piong,Sandrawati
,Pipin Arifin,Sandria
,Pramudji ,Sari
,Praptono ,Semiwati
,Pri Wono,Sengman Tjahja
,Prijono,Septiana
,Priyatno ,Sherlly
,Proboraras,Sherman
,Raj Kumar,Rayu Ayu
,Raja Sapta,Shinta
,Raju,Siti
,Reza Pribadi,Siti Hartati
,Reza Sazly,Sri Rahayu
,Ricky ,Sriningsih
,Ridwan ,Susan Lo
,Riza ,Susilawati
,Rizal Risjad,Sylvia Efi 
,Robby Rhemrev,Sylvia 
,Ronald Wijaya,Susilowati
,Ronaldi Machmud,Tanaka
,Runi Adianti,Raisa
,Rusdi Kirana,Teresa Suteja
,Rusdi Sunarjo,Olin
,Rusdy Budi,Theresia
,Ryan Pascal,Yustina
,Ryandi Irawan,Julia
,Ryu Kawano,Tiara 
,Salik Soetemo,Megan
,Salim Podiono,Tigran
,Salim Santoso,Timmie Melvin
,Setiabudi,Tina Suteja
,Setiady Koeswojo,Tio Imelda
,Setiawan Achmad,Tirta Juwana
,Setiawan Lukman,Trianawati
,Simon Lim,Tricia Barki
,Simon Subrata,Veronica
,Simon Susilo,Felicia
,Stephen Patra,Veronica Devi
,Steven Hirawan,Vivi Hottama
,Subianto Tjandra,Vivian 
,Subuh Cahyanto,Vivien Goh
,Sudiarso,Vonny Harsono
,Sudijanto,Vonny Juwono
,Sudiro Andi,Alifa
,Suhadi Zaini,Tasya
,Suhangkat,Sherina
,Suhardi,Syarini
,Syaiful Zen,Endah
,Syamsul Hoiri,Tuti
,Teddy Sutandi,Alexa
,Teddy Tjahjono,Salma
,Teddy Yoshawirja,Cameron
,Tedja Widjaja,Adele
,Wikutomojati,Anggun
,Tonny Raidy ,Maria
,Hengky,Syakira
,Aji Saputra,Maimunah
,Adi Kuncoro,Vina
,Theddy Andreas ,Kimberly
,Albert Chandra,Gigi
,Afandi Hermawan ,Citra
,Hengky,Tata
,Agam Kurniawan,Berta
,Agung Budiono,Chelsea
,Suliono Kalla,Natasha
,Didi Djohari,Bunga
,Agustio,Mawar
,Fajar Gunawan,Saskia
,Rio Purnomo,Marta
,Edho Johanda,Marsya
,Teguh Wijaya,Jasminah
,Pranoto Karekm,Rachel
,Edhi Bachtiar,Anjani
,Randy Andrian,Vikidianti
,Chandra Jaya,Rosita
,Tony Pratama,Berlin
,Deddy  Giovana,Istiqomah
,Andy Wijaya,Wijaya
,Agustinus,Panduwinata
,Agusdianto,Rosalinda
,Aguston  Falconet,Putri
,Ahadiat,Devita
,Hendry Drajat,Olivia
,Halim Kuncoro,Wijaya
,Mitra Simanjuntak,Hansen
,Ahmaddin  Wardhana,Citra
,Ahmades Suhartono ,Raditya
,Ahsanil  Sumeler,Wijaya
,Aida Sutanto,Chandra
,Sidik Purnama,Panduwinata
,Adi Bisono,Kalim
,Adi Sasono,Chandra
,Adi Sumito,Panduwinata
,Adimitra Baratama,Dewi Hamidah
,Agung Salim,Alice Haryono
,Agung Tobing,Alien Wibowo
,Agus Djohari,Alwi Alatas
,Allan Dijaya Keller,Alwijaya Aw
,Allan Tjahja Tjao,Amalia
,Aluinanto Sandjojo,Ang Rianti
,Alvin Gozali,Rosabella
,Ananda Soewono,Angelique
,Ance Anggraeny,Angie
,Andang Bachtiar,Angela
,Andrew Tanoto,Anna
,Andrew Thomas?,Annie Halim
,Anthony Kurniadi,Ben Morice
,Anthony Salim,Beng Phiau
,Anthony Siswanto,Chang Mei Yu
,Arie Kondang,Deborah Kent 
,Arief Prijatna,Dectra
,Arief Santoso,Monalisa
,Ary Surya,Dian 
,Arya Widjaya,Novia
,Aryo Bimo,Chisty
,Junus Siswadi,Maya 
,Jurnalis,Lolita
,Theddy,Elizabeth
,Giovana,Ernawati
,Wibowo,Erni Gunawan
,Jaya,Ernitha Halim
,Praskosto,Ery Yunasri
,Jaya,Esther
,Halim,Finney
,Pratama,Fiona
,Hansen,Giovani
,Wijaya,Nina
,Adriansyah,Herlina
,Chandra,Sally
,Ong,Herline
