角色ID,印尼语,印尼语,印尼语,印尼语,印尼语
ID,Name,Desc,GeniusName,GeniusDesc,BuyTips
1,Chief,Chief suka berpetualang ke manapun dan di manapun. Dia suka memperluas daerahnya.,Kuat ,Menambah damage dasar (tidak aktif),@Null@
2,Chief,Chief suka berpetualang ke manapun dan di manapun. Dia suka memperluas daerahnya.,Kuat 1,Damage dasar +5,@Null@
3,Chief,Chief suka berpetualang ke manapun dan di manapun. Dia suka memperluas daerahnya.,Kuat 2,Damage dasar +10,@Null@
4,Istri Chief,"Istri Chief, wanita yang mahir berburu.",Master Berburu,Menambah hasil berburu (tidak aktif),@Null@
5,Istri Chief,"Istri Chief, wanita yang mahir berburu.",Master Berburu 1,25% kesempatan untuk mendapatkan double item setelah menyerah monster,@Null@
6,Istri Chief,"Istri Chief, wanita yang mahir berburu.",Master Berburu 2,25% atau 15% kesempatan untuk mendapatkan double item setelah menyerah monster,@Null@
7,Kaka,Dia lahir di lingkungan primitif yg membuatnya mempunyai kemampuan berpetualang di alam liar.,Keras Kepala,Mengurangi damage yang diterima dari serangan jauh (tidak aktif),@Null@
8,Kaka,Dia lahir di lingkungan primitif yg membuatnya mempunyai kemampuan berpetualang di alam liar.,Keras Kepala 1,Mengurangi 20% damage yang diterima dari serangan jauh (tidak aktif),@Null@
9,Kaka,Dia lahir di lingkungan primitif yg membuatnya mempunyai kemampuan berpetualang di alam liar.,Keras Kepala 2,Mengurangi 40% damage yang diterima dari serangan jauh (tidak aktif),@Null@
10,Nini,"Adik Kaka yang sangat aktif, ceria dan menggemaskan.",Pekerja Keras,Menambah kecepatan saat mengambil sesuatu (tidak aktif),@Null@
11,Nini,"Adik Kaka yang sangat aktif, ceria dan menggemaskan.",Pekerja Keras 1,Menambah 50% kecepatan saat mengambil sesuatu (tidak aktif),@Null@
12,Nini,"Adik Kaka yang sangat aktif, ceria dan menggemaskan.",Pekerja Keras 2,Menambah 100% kecepatan saat mengambil sesuatu (tidak aktif),@Null@
13,Berli,Anak yang paling aktif diantara saudara-saudaranya. Lihat apa yang dia bawa di tangannya.,Boss Bomb,Mengurangi damage dari ledakan (tidak aktif),@Null@
14,Berli,Anak yang paling aktif diantara saudara-saudaranya. Lihat apa yang dia bawa di tangannya.,Boss Bomb 1,Mengurangi 20% damage dari ledakan (tidak aktif),@Null@
15,Berli,Anak yang paling aktif diantara saudara-saudaranya. Lihat apa yang dia bawa di tangannya.,Boss Bomb 2,Mengurangi 40% damage dari ledakan (tidak aktif),@Null@
16,Kapten Tom,Kapten yang dapat memimpin banyak prajurit. Sangat hebat dalam menembak dan berpetualang.,Pemimpin tangguh,Menambah efek makanan dan waktu menyelam di bawah air (tidak aktif),Prop untuk unlock dapat didapatkan dari buah Kebun
17,Kapten Tom,Kapten yang dapat memimpin banyak prajurit. Sangat hebat dalam menembak dan berpetualang.,Pemimpin tangguh 1,"Level kelaparan, pemulihan HP, dan waktu menyelam di bawah air bertambah 15%",Prop untuk unlock dapat didapatkan dari buah Kebun
18,Kapten Tom,Kapten yang dapat memimpin banyak prajurit. Sangat hebat dalam menembak dan berpetualang.,Pemimpin tangguh 2,"Level kelaparan, pemulihan HP, dan waktu menyelam di bawah air bertambah 30%",Prop untuk unlock dapat didapatkan dari buah Kebun
19,Agen Laura,Agen cantik yang suka berpetualang.,Antisipasi,Kebal terhadap damage yang fatal selama satu kali (tidak aktif),Prop untuk unlock dapat didapatkan dari buah Kebun
20,Agen Laura,Agen cantik yang suka berpetualang.,Antisipasi 1,"Ketika kerusakan yang diambil adalah lebih dari 45 poin dan menyebabkan kematian, itu akan segera beregenerasi dengan 25% dari nilai kesehatan. Interval pemicu adalah 5 menit.",Prop untuk unlock dapat didapatkan dari buah Kebun
21,Agen Laura,Agen cantik yang suka berpetualang.,Antisipasi 2,"Ketika kerusakan yang diambil lebih besar dari 25 poin dan menyebabkan kematian, itu akan segera beregenerasi dengan kesehatan 50%, dan interval pemicu adalah 3 menit.",Prop untuk unlock dapat didapatkan dari buah Kebun
22,Catty Cindy,Pilot kecil dari tim arkeologi yang sangat cerdas.,Lompatan Super,Menambah kemampuan melompat. Tinggi lompatan akan dua kali lipat lebih tinggi pada level 2 (tidak aktif),Prop untuk unlock dapat didapatkan dari buah Kebun
23,Catty Cindy,Pilot kecil dari tim arkeologi yang sangat cerdas.,Lompatan Super 1,Ketinggian lompatan +50%. Damage jatuh -10,Prop untuk unlock dapat didapatkan dari buah Kebun
24,Catty Cindy,Pilot kecil dari tim arkeologi yang sangat cerdas.,Lompatan Super 2,Ketinggian lompatan +50%. Damage jatuh -20. Dapat lompat dua kali.,Prop untuk unlock dapat didapatkan dari buah Kebun
25,Asisten Peter,"Demi nilai skripsi yang sempurna, Peter ikut berpetualang dengan tim arkeologi.",Penemuan,Dapatkan kesempatan untuk mendapatkan berbagai item saat memecahkan kendi (tidak aktif),Prop untuk unlock dapat didapatkan dari buah Kebun
26,Asisten Peter,"Demi nilai skripsi yang sempurna, Peter ikut berpetualang dengan tim arkeologi.",Penemuan 1,Dapatkan 18% kesempatan untuk mendapatkan item jarang saat memecahkan kendi,Prop untuk unlock dapat didapatkan dari buah Kebun
27,Asisten Peter,"Demi nilai skripsi yang sempurna, Peter ikut berpetualang dengan tim arkeologi.",Penemuan 2,Dapatkan 27% kesempatan untuk mendapatkan item jarang dan balok spesial saat memecahkan kendi,Prop untuk unlock dapat didapatkan dari buah Kebun
28,Profesor Stephen,Kok profesor bisa nyasar ke tempat ini ya?,Sang Jenius,Dapatkan kesempatan untuk mendapatkan berbagai item saat bertambang (tidak aktif),Prop untuk unlock dapat didapatkan dari buah Kebun
29,Profesor Stephen,Kok profesor bisa nyasar ke tempat ini ya?,Sang Jenius 1,Dapatkan 4% kesempatan untuk mendapatkan batuan jarang dan item saat bertambang,Prop untuk unlock dapat didapatkan dari buah Kebun
30,Profesor Stephen,Kok profesor bisa nyasar ke tempat ini ya?,Sang Jenius 2,"Dapatkan 6% kesempatan untuk mendapatkan batuan jarang,item, dan balok spesial saat bertambang",Prop untuk unlock dapat didapatkan dari buah Kebun
