ID,名字,描述,追踪
ID,Name,Desc,TrackDesc
1000,Aku Butuh Kayu,"Kumpulkan kayu, dapatkan 1 blok kayu #r (tekan lama untuk kumpulkan)",Kumpulkan #cfa7a0fKayu
1001,Pekerjaan kerajinan!,"Buat papan dari kayu apa pun, buat kotak peralatan 1 dari papan 4 #r (buka ransel terlebih dahulu, pilih Buat di tab kiri)",Membuat #cfa7a0f Toolbox
1002,Barbar harus kalah!,"Membuat tongkat dari papan dan tongkat #r (membutuhkan kotak peralatan, senjata dasar)",Membuat tongkat #cfa7a0f
1003,penambang junior,"Bijih kayu pick #r terbuat dari papan dan tongkat (kotak peralatan diperlukan, menggali lubang persembunyian sebelum malam)",Membuat #cfa7a0f bijih kayu
1004,Kehidupan bertani!,#r cangkul kayu yang terbuat dari papan dan tongkat (kotak peralatan diperlukan untuk mengubah gumpalan menjadi tanah subur),Membuat #cfa7a0f cangkul kayu
1005,Pertempuran pertama,"Kalahkan 1 orang biadab, tampaknya membawa kepala binatang itu @ 1 #r (orang biadab muncul dalam kegelapan dan merupakan makhluk berbahaya)",Mengalahkan #cfa7a0f wildlings
1006,Waktu BBQ!,1 tungku peleburan dari batu 8 @ 1 #r (membutuhkan kotak peralatan untuk mencium berbagai mineral),Manufaktur #cfa7a0f tungku peleburan
1007,pemberian tuhan,Dapatkan biji gandum dengan menghapus rumput @ 1 #r (rumput tekan panjang mungkin mendapatkan),Ambil #cfa7a0f biji gandum
1008,Keranjang karbon hitam,"Bakar kayu dengan bahan kayu untuk mendapatkan arang hitam @ 1 #r (tungku peleburan diperlukan, lampu obor dapat dibuat)",Membuat #cfa7a0f karbon hitam
1009,Besi tuang ingot,"peleburan bijih ferroalloy untuk mendapatkan ingot besi cor @ 1 #r (membutuhkan tungku peleburan, yang merupakan sumber daya penting)",peleburan #cfa7a0f ingot besi cor
1010,Penambang senior,Besi tuang ingot dan tongkat untuk membuat beliung bijih besi #r (beliung bijih besi dapat mengumpulkan bijih berlian biru),Pembuatan #cfa7a0f iron ore pick
1011,Saya kaya!,Untuk mengumpulkan bijih sphalerite dengan pick besi atau bor #r (jauh di bawah tanah),Kumpulkan #cfa7a0f bijih sphalerite
1012,"Oh ya, berlian biru!",Kumpulkan bijih berlian biru dengan pick besi atau bor #r (jauh di bawah tanah),#cfa7a0f blue diamond ore
1013,Sengatan listrik pertama,Kumpulkan bijih kalsium karbida dengan bijih besi pick atau bor #r (jauh di bawah tanah),Kumpulkan #cfa7a0f bijih kalsium karbida
1014,Pria keras,Gunakan bor untuk mengumpulkan #r spar hitam (mungkin muncul di dekat magma),Kumpulkan #cfa7a0f spar hitam
1015,Penyihir,"Buat kotak pesona fusi #r (membutuhkan kotak peralatan, Anda dapat melampirkan sihir ke alat)",Membuat #cfa7a0f Fusion Enchantment Box
1016,Benda ini menatapku,Kalahkan Bumi Bagian Dalam dan dapatkan Mata Bumi Bagian Dalam #r (Mata Bumi Bagian Dalam tampaknya terbang ke suatu tempat),Ambil #cfa7a0f Mata Pusat Bumi
1017,Permata kuno,"Dapatkan permata kuno dari penjara bawah tanah, buang dan ambil, karena memancarkan kekuatan sihir kuno...",Ambil #cfa7a0f Permata Kuno
1018,bata pintu geosentris,batu permata kuno dan #L kristal hitam #cfa7a0f bata pintu geosentris #n,Membuat #cfa7a0f ubin pintu geosentris
1022,portal geosentris,Buat 1 Geosentris Portal Blocks Isi Pintu Geosentris Rangka Pintu dengan #r Portal Geosentris Terbuka (Pusat 2 * 3 Space),Membuat #cfa7a0f blok portal geosentris
1023,Dunia lain,Masuk ke pusat bumi dan kalahkan raksasa lava @ 1 #r (dunia ini penuh dengan api),Kalahkan #cfa7a0f Lava Giant
1024,Pembunuh Naga,Kalahkan Naga Hitam Kuno di bintang Flamas @1,Kalahkan #cfa7a0fNaga Hitam Kuno
1025,Souvenir,#L #cfa7a0f Black Dragon Statue # n@1 #r,#cfa7a0f Black Dragon Statue
1026,Dunia tidak dikenal,Ini baru permulaan! #r (So-and-so: I 'll be back),Unknown #cfa7a0f
1027,tong besi,Pembuatan 1 #L #cfa7a0f air #n #r (1 irigasi sekitar 4 tanah subur),Membuat #cfa7a0f drum
1028,Musim Menabur,Tanam #L#cfa7a0fBiji Gandum #ndi lahan subur#r (hanya dapat ditanam di lahan subur),Tanam #cfa7a0fBiji Gandum
1029,Musim panen,Mendapatkan #L #cfa7a0f gandum #n #r (gandum hanya bisa diperoleh saat tumbuh dewasa),Ambil #cfa7a0f gandum
1030,Memanggang roti,Membuat 1 #L #cfa7a0f roti gandum # n@1 #r,Membuat roti gandum #cfa7a0f
1031,Baker,1 #L #cfa7a0f # n@1,Membuat roti panjang #cfa7a0f
1032,Pembuat kue,Membuat #L #cfa7a0f Cake # n@1,Membuat Kue #cfa7a0f
1033,Matador,"Mengalahkan sapi untuk mendapatkan #L #cfa7a0f daging sapi mentah # n@1 #r (penggembalaan sapi, moo moo)",Ambil #cfa7a0f daging sapi mentah
1034,Kulit,Mengalahkan ternak untuk mendapatkan #L #cfa7a0f kulit lembut # n@1,Ambil #cfa7a0f kulit lembut
1035,steak bakar,#L #cfa7a0f Grilled Steak di Melting Furnace # n@1,Membuat steak panggang #cfa7a0f
1036,Lari ayam,Kocok ayam untuk #L #cfa7a0f ayam mentah # n@1 #r,Ambil #cfa7a0f ayam mentah
1037,Telur Emas Telur Perak,Ambil #L #cfa7a0f telur # n@1,Dapatkan #cfa7a0f telur kecil
1038,Ayam bakar,Membuat #L #cfa7a0f Ayam Panggang di Tungku Mencair # n@1,Buat ayam bakar #cfa7a0f
1039,Baa,"Kalahkan domba untuk mengambil #L #cfa7a0f kaki domba mentah # n@1 #r (domba makan rumput, baa baa)",Ambil #cfa7a0f mentah kaki domba
1040,Wol plunder,Kalahkan domba atau gunakan gunting besi untuk mengambil #L #cfa7a0f wol # n@1,Ambil #cfa7a0f wol
1041,Wol merasa,#L karpet #cfa7a0f # n@1,Membuat #cfa7a0f merasa
1042,Love beauty,"Ambil #L #cfa7a0f bunga # n@1 #r (bunga indah, relatif langka)",Ambil #cfa7a0f bunga
1043,dunia warna,Membuat #L #cfa7a0f # n@1,Pembuatan #cfa7a0f Pigments
1044,Hei ini sangat cantik,#L #cfa7a0f wol merah # n@1,Membuat #cfa7a0f wol merah
1045,Perjalanan orbit,Membuat #L #cfa7a0f Iron Track # n@1,Membuat #cfa7a0f jalur besi
1046,Ayo pergi!,Pembuatan #L #cfa7a0f Railcar # n@1,Membuat mobil rel #cfa7a0f
1047,Chef,Selesaikan tugas secara otomatis setelah menyelesaikan pra-tugas,Buat #cfa7a0f makan
1048,Pahami hidup,Selesaikan tugas secara otomatis setelah menyelesaikan pra-tugas,Membuat #cfa7a0f blok kaca merah
1049,Perternak Alpaka,Memegang pakan rumput/daging atau hidnagan timun untuk memberi makan 2 alpaka di samping tumpukan rumput. Membiakkan alpaka hingga 200 ekor@1,Membiakkan #cfa7a0fAlpaka
1050,Peternak Badak,Memegang segenggam rumput atau pakan rumput untuk memberi makan 2 badak di samping tumpukan rumput. Membiakkan alpaka hingga 200 ekor@1,Membiakkan #cfa7a0fBadak
1051,Peternak Rusa Bertanduk,Memegang segenggam rumput atau pakan rumput untuk memberi makan 2 rusa bertanduk di samping tumpukan rumput. Membiakkan alpaka hingga 200 ekor@1,Membiakkan #cfa7a0fRusa Bertanduk
1052,Memanggil Burung Dodo,Memegang pakan rumput dan memberi makan 2 burung dodo di samping sarang. Membiakkan burung dodo sampai 200 ekor@1,Membiakkan #cfa7a0fBurung Dodo
1053,Basis pemuliaan massal,Selesaikan tugas secara otomatis setelah menyelesaikan pra-tugas,Prestasi Seri Hewan Pertanian #cfa7a0f
1054,tombak batu,Buat 1 #L #cfa7a0f tombak batu # n@1 #r (Bahaya selalu muncul dalam gelap),Membuat tombak batu #cfa7a0f
1055,Lebih tajam,Buat 1 #L belati #cfa7a0f # n@1 #r,Membuat belati #cfa7a0f
1056,Pemborosan tidak berguna,"Buat 1 #L #cfa7a0f Stab Gun # n@1 #r (lengkap, jangan khawatir diserang)",Membuat tombak #cfa7a0f menusuk
1057,Aneh seperti lumpur,Membuat 1 #L Pedang Energi #cfa7a0f # n@1 #r,Membuat Pedang Energi #cfa7a0f
