keyid,名字,属性描述
keyid,Name,AttrDesc
5001,Peluncuran,Memiliki peluang 10% untuk mendorong +
5002,Peluncuran,Memiliki kesempatan 20% untuk menolak +
5003,Peluncuran,Memiliki peluang 30% untuk menendang +
6001,Tajam,Serangan Jarak Dekat+
6002,Tajam,Serangan Jarak Dekat+
6003,Tajam,Serangan Jarak Dekat+
7001,Pemburu Manusia,Pemburu Manusia+
7002,Pemburu Manusia,Pemburu Manusia+
7003,Pemburu Manusia,Pemburu Manusia+
8001,Pemburu Hewan,Pemburu Hewan +
8002,Pemburu Hewan,Pemburu Hewan +
8003,Pemburu Hewan,Pemburu Hewan +
9001,Pemburu Elite,Pemburu Elite +
9002,Pemburu Elit,Pemburu Elit +
9003,Pemburu elit,Pemburu elit +
10001,Terbakar,Tingkat Pembakaran
10002,Terbakar,Tingkat Pembakaran
10003,Terbakar,Tingkat Pembakaran
11001,Jarak dorongan mundur meningkat,Jarak dorongan mundur meningkat
11002,Jarak Dorongan Mundur ditingkatkan,Jarak Dorongan Mundur ditingkatkan
11003,Jarak Knockback meningkat,Jarak Knockback meningkat
12001,Berburu Keberuntungan,Level Berburu Keberuntungan
12002,Berburu Keberuntungan,Level Berburu Keberuntungan
12003,Berburu Keberuntungan,Level Berburu Keberuntungan
13001,Tembakan Kuat,Kerusakan Busur dan Anak Panah+
13002,Tembakan Kuat,Kerusakan Busur dan Anak Panah+
13003,Tembakan Kuat,Kerusakan Busur dan Anak Panah+
14001,Tembakan Tidak Terbatas,Tembakan Tidak Terbatas
14002,Tembakan Tidak Terbatas,Tembakan Tidak Terbatas
14003,Tembakan Tidak Terbatas,Tembakan Tidak Terbatas
15001,Daya tahan,Daya tahan+
15002,Daya tahan,Daya tahan+
15003,Daya tahan,Daya tahan+
16001,Perlawanan Jarak Dekat,Perlawanan Jarak Dekat+
16002,Perlawanan Jarak Dekat,Perlawanan Jarak Dekat+
16003,Perlawanan Jarak Dekat,Perlawanan Jarak Dekat+
17001,Perlawanan Jarak Jauh,Resistensi Jarak Jauh+
17002,Perlawanan Jarak Jauh,Resistensi Jarak Jauh+
17003,Perlawanan Jarak Jauh,Resistensi Jarak Jauh+
18001,Resistensi ledakan,Resistensi ledakan+
18002,Resistensi ledakan,Resistensi ledakan+
18003,Resistensi ledakan,Resistensi ledakan+
19001,Tahan terbakar,Ketahanan Terbakar+
19002,Tahan terbakar,Ketahanan Terbakar+
19003,Tahan terbakar,Ketahanan Terbakar+
20001,Ketahanan Racun,Ketahanan Racun+
20002,Ketahanan Racun,Ketahanan Racun+
20003,Ketahanan Racun,Ketahanan Racun+
21001,Perlawanan Kekacauan,Perlawanan Kekacauan+
21002,Perlawanan Kekacauan,Perlawanan Kekacauan+
21003,Perlawanan Kekacauan,Perlawanan Kekacauan+
22001,Kontraserangan.,Memiliki kesempatan 15% untuk melakukan serangan balik pada unit melawan +
22002,Counterstrike,Memiliki 30% peluang untuk melakukan serangan balik terhadap unit melee +
22003,Serangan Balik.,Memiliki 45% kemungkinan untuk melakukan serangan balik pada unit jarak dekat +
23001,Jarak terpental berkurang,Jarak terpental berkurang
23002,Jarak lontaran terpukul dikurangi.,Jarak jatuh terpukul dikurangi
23003,Jarak mundur mundur berkurang,Jarak jatuh mundur dikurangi
24001,Akuisisi Lengkap,Akuisisi Lengkap
24002,Akuisisi Lengkap,Akuisisi Lengkap
24003,Akuisisi Lengkap,Akuisisi Lengkap
25001,Kecepatan penggalian,Kecepatan penggalian +
25002,Kecepatan menggali,Kecepatan menggali +
25003,Kecepatan penggalian,Kecepatan penggalian +
26001,Penggalian Keberuntungan,Tingkat Penggalian Keberuntungan
26002,Penggalian Keberuntungan,Tingkat Penggalian Keberuntungan
26003,Penggalian Keberuntungan,Tingkat Penggalian Keberuntungan
27001,Tembakan ledakan,Tembakan Ledakan+
27002,Tembakan ledakan,Tembakan Ledakan+
27003,Tembakan ledakan,Tembakan Ledakan+
28001,Kejatuhan Naga,Kerusakan jatuh-
28002,Kejatuhan Naga,Kerusakan jatuh-
28003,Kejatuhan Naga,Kerusakan jatuh-
29001,Tombak Goblin,Tombak Goblin+
29002,Tombak Goblin,Tombak Goblin+
29003,Tombak Goblin,Tombak Goblin+
30001,Downhill (Greaves),"Berjongkok di udara, kecepatan jatuh +"
30002,Downhill (Greaves),"Berjongkok di udara, kecepatan jatuh +"
30003,Downhill (Greaves),"Berjongkok di udara, kecepatan jatuh +"
31001,Panjat Dinding (Sepatu),"Aktifkan Wall Climbing, tetapi kecepatan"
31002,Panjat Dinding (Sepatu),"Aktifkan Wall Climbing, tetapi kecepatan"
31003,Panjat Dinding (Sepatu),"Aktifkan Wall Climbing, tetapi kecepatan"
32001,Berdarah,Tingkat Berdarah
32002,Berdarah,Tingkat Berdarah
32003,Berdarah,Tingkat Berdarah
33001,Cambuk Petir,Petir Cambuk Lvl 1
33002,Cambuk Petir,Cambuk Petir Lvl 2
33003,Cambuk Petir,Petir Cambuk Lvl 3
34003,Cambuk Petir,Petir Cambuk Lvl 4
35003,Cambuk Petir,Petir Cambuk Lvl 5
36001,Beruntung Memancing,Lucky Fishing Level
36002,Beruntung Memancing,Lucky Fishing Level
36003,Beruntung Memancing,Lucky Fishing Level
37001,Tahan dingin,Tahan dingin+
