id,地形名称
id,Name
-1,Upaya
1000,Laut Dangkal
1001,Padang Rumput
1002,Gurun
1003,Hutan
1004,Tebing
1005,Rawa
1006,Hutan Konifer
1007,Hutan belantara
1008,Medan Es
1009,Laut Beku
1010,Sungai Beku
1011,Tanah merah
1012,Pantai Tanah Merah
1013,Gundukan Pasir Gurun
1014,Bukit Hutan
1015,Bukit Hutan Konifer
1016,Gunung Es
1017,Bukit Hutan
1018,Sungai
1019,Pantai
1020,Tepi Jurang
1021,Tanah Lava
1022,Pulau Langit
1023,Cekungan
1024,Tepi Cekungan
1025,Cekungan Bambu
1026,Cekungan Pohon Persik
1027,Dataran Rendah
1028,Bukit
1029,Dataran Altar
1030,Gunung Tinggi
1031,Bukit-bukit
1032,Planet Pulau Langit
1033,Planet Pulau Langit
1034,Planet Pulau Langit
1035,Planet Pulau Langit
1036,Planet Pulau Langit
1037,Planet Pulau Langit
1038,Tepi Pulau Langit
1039,Hutan Hujan
1040,Dataran Pulau Langit
1041,Pulau Langit Padang Rumput
1042,Puncak Utama Vulkanik
1043,Datran Vulkanik
1044,Rantai Pegunungan Vulkanik
1045,Sungai Lava Vulkanik
1046,Kawah Vulkanik
1047,Oasis Gurun
1048,Danau Gurun
1049,Laut Dalam
1050,Pantai Pulau Terlantar
1051,Pusat Pulau Terlantar
1052,Pantai Pulau Tanah Merah
1053,Pusat Pulau Tanah Merah
1054,Pantai Pulau Karang
1055,Pusat Pulau Karang
1056,Hutan jenis konifera salju
1057,Puncak Gunung Salju
1058,Puncak Sekunder Gunung Salju
1059,Punggung Gunung Salju
1060,Pegunungan Salju Pegunungan Tengah
1061,Dasar Gunung Salju
1062,Pegunungan Salju Puncak Sekunder Pegunungan Salju Pegunungan Tengah
1063,Danau Beku
1064,Canyon
1065,Tepi jurang.
