序号,印尼语
No,Name
1,Masukkan UID Anda
2,Kata sandi
3,pluginres\btn_text_ind.png
4,Ingat UID
5,Saya setuju dengan
6,pluginres\btn_policy_ind.png
7,Silakan pilih pertanyaan
8,tolong masukan jawaban anda
9,pluginres\btn_num_ind.png
10,orang yang paling mengesankan
11,makanan favorit Anda
12,hewan favorit Anda
13,Yang paling bersemangat mengunjungi tempat
14,hadiah pertama Anda
15,angka keberuntungan Anda
16,Quick Play
17,Kata kunci Salah
18,menghubungkan
19,pluginres\btn_orange_e1_en.png
20,pluginres\btn_quickplay_en_h.png
21,pluginres\btn_quickplay_en_n.png
22,pluginres\option1_1_en.png
23,pluginres\option1_2_en.png
24,pluginres\option1_3_en.png
25,pluginres\en01.png
26,pluginres\en02.png
27,pluginres\en03.png
28,UID tidak benar
29,Masukkan kata sandi Anda
30,Silakan cek Kebijakan Pengguna
31,tolong masukan jawaban anda
32,Miniworld adalah Memperbarui:%d%%
33,pluginres\btn_orange_e1_en_h.png
34,pluginres\btn_orange_e1_en_s.png
35,14
36,Pemberitahuan
37,"Akun Anda telah:%s menetapkan Password, untuk menjaga keamanan akun Anda, silakan login dengan Password Anda."
38,Gabung
39,Verifikasi Login
40,HP
41,Email
42,Kode verifikasi
43,Verifikasi ponsel
44,Verifikasi email
45,Kirim
46,Harap verifikasi login untuk memastikan akun Anda aman.
47,Verifikasi gagal. Silahkan cek email Anda dan kode verifikasi.
48,Verifikasi gagal. Silakan periksa nomor dan kode verifikasi ponsel Anda.
49,Kirim（%d）
50,Kode sudah dikirim
51,Tidak dapat masuk ke akun ini. Eror akun platform lain.
