iD,日语,日语
ID,Name,AttrDesc
5,ぶっ飛ばす,接近攻撃で相手を4マス外の空中に飛ばす。
5,ぶっ飛ばす,接近攻撃で相手を6マス外の空中に飛ばす。
5,ぶっ飛ばす,接近攻撃で相手を8マス外の空中に飛ばす。
5,ぶっ飛ばす,接近攻撃で相手を10マス外の空中に飛ばす。
5,ぶっ飛ばす,接近攻撃で相手を12マス外の空中に飛ばす。
6,鋭い,接近攻撃ダメージ+5
6,鋭い,接近攻撃ダメージ+10
6,鋭い,接近攻撃ダメージ+16
6,鋭い,接近攻撃ダメージ+24
6,鋭い,接近攻撃ダメージ+35
7,人間狩人,人間に対する接近攻撃ダメージ+8
7,人間狩人,人間に対する接近攻撃ダメージ+16
7,人間狩人,人間に対する接近攻撃ダメージ+25
7,人間狩人,人間に対する接近攻撃ダメージ+40
7,人間狩人,人間に対する接近攻撃ダメージ+60
8,動物狩人,動物に対する接近攻撃ダメージ+8
8,動物狩人,動物に対する接近攻撃ダメージ+16
8,動物狩人,動物に対する接近攻撃ダメージ+25
8,動物狩人,動物に対する接近攻撃ダメージ+40
8,動物狩人,動物に対する接近攻撃ダメージ+60
9,魔物狩人,地心硫黄射手と溶岩巨人に対する接近攻撃ダメージ+8
9,魔物狩人,地心硫黄射手と溶岩巨人に対する接近攻撃ダメージ+16
9,魔物狩人,地心硫黄射手と溶岩巨人に対する接近攻撃ダメージ+25
9,魔物狩人,地心硫黄射手と溶岩巨人に対する接近攻撃ダメージ+40
9,魔物狩人,地心硫黄射手と溶岩巨人に対する接近攻撃ダメージ+60
29,野蛮人狩人,すべての野蛮人に対する接近攻撃ダメージ+8
29,野蛮人狩人,すべての野蛮人に対する接近攻撃ダメージ+16
29,野蛮人狩人,すべての野蛮人に対する接近攻撃ダメージ+25
29,野蛮人狩人,すべての野蛮人に対する接近攻撃ダメージ+40
29,野蛮人狩人,すべての野蛮人に対する接近攻撃ダメージ+60
10,燃やす,攻撃すると相手が3秒間着火する。1秒ごとに5点のダメージを与える。
10,燃やす,攻撃すると相手が3秒間着火する。1秒ごとに10点のダメージを与える。
10,燃やす,攻撃すると相手が3秒間着火する。1秒ごとに15点のダメージを与える。
10,燃やす,攻撃すると相手が3秒間着火する。1秒ごとに20点のダメージを与える。
10,燃やす,攻撃すると相手が3秒間着火する。1秒ごとに25点のダメージを与える。
11,撃退,相手を2マスノックバックする。
11,撃退,相手を4マスノックバックする。
11,撃退,相手を6マスノックバックする。
11,撃退,相手を8マスノックバックする。
11,撃退,相手を10マスノックバックする。
12,ラッキー狩猟,生物を倒すとき、20％の確率で二倍のドロップになる。
12,ラッキー狩猟,生物を倒すとき、20/15%の確率で二/三倍のドロップになる。
12,ラッキー狩猟,生物を倒すとき、20/15/15%の確率で二/三/四倍のドロップになる。
13,強力射撃,弓矢での攻撃ダメージが25％アップ。
13,強力射撃,弓矢での攻撃ダメージが50％アップ。
13,強力射撃,弓矢での攻撃ダメージが75％アップ。
13,強力射撃,弓矢での攻撃ダメージが100％アップ。
13,強力射撃,弓矢での攻撃ダメージが125％アップ。
14,無限射撃,弓矢の射撃で矢を消耗する代わりに、耐久度をさらに5点消耗する。
14,無限射撃,弓矢の射撃で矢を消耗する代わりに、耐久度をさらに4点消耗する。
14,無限射撃,弓矢の射撃で矢を消耗する代わりに、耐久度をさらに3点消耗する。
14,無限射撃,弓矢の射撃で矢を消耗する代わりに、耐久度をさらに2点消耗する。
14,無限射撃,弓矢の射撃で矢を消耗する代わりに、耐久度をさらに1点消耗する。
15,耐久性,ものの耐久度が40％プラス。
15,耐久性,ものの耐久度が80％プラス。
15,耐久性,ものの耐久度が160％プラス。
15,耐久性,ものの耐久度が240％プラス。
15,耐久性,ものの耐久度が320％プラス。
16,近戦防御,接近耐性が1点プラス。
16,近戦防御,接近耐性が3点プラス。
16,近戦防御,接近耐性が5点プラス。
16,近戦防御,接近耐性が9点プラス。
16,近戦防御,接近耐性が15点プラス。
17,遠距離防御性,遠距離耐性が1点プラス。
17,遠距離防御性,遠距離耐性が3点プラス。
17,遠距離防御性,遠距離耐性が5点プラス。
17,遠距離防御性,遠距離耐性が9点プラス。
17,遠距離防御性,遠距離耐性が15点プラス。
18,爆発防御性,ブラスト耐性が1点プラス。
18,爆発防御性,ブラスト耐性が3点プラス。
18,爆発防御性,ブラスト耐性が5点プラス。
18,爆発防御性,ブラスト耐性が9点プラス。
18,爆発防御性,ブラスト耐性が15点プラス。
19,燃焼防御性,炎耐性が1点プラス。
19,燃焼防御性,炎耐性が3点プラス。
19,燃焼防御性,炎耐性が5点プラス。
19,燃焼防御性,炎耐性が9点プラス。
19,燃焼防御性,炎耐性が15点プラス。
20,毒防御性,毒耐性が1点プラス。
20,毒防御性,毒耐性が3点プラス。
20,毒防御性,毒耐性が5点プラス。
20,毒防御性,毒耐性が9点プラス。
20,毒防御性,毒耐性が15点プラス。
21,混乱防御性,カオス耐性が1点プラス。
21,混乱防御性,カオス耐性が3点プラス。
21,混乱防御性,カオス耐性が5点プラス。
21,混乱防御性,カオス耐性が9点プラス。
21,混乱防御性,カオス耐性が15点プラス。
22,反撃,接近攻撃を受けるとき、50％の確率で相手に5点のダメージを与える。
22,反撃,接近攻撃を受けるとき、50％の確率で相手に10点のダメージを与える。
22,反撃,接近攻撃を受けるとき、50％の確率で相手に15点のダメージを与える。
22,反撃,接近攻撃を受けるとき、50％の確率で相手に20点のダメージを与える。
22,反撃,接近攻撃を受けるとき、50％の確率で相手に25点のダメージを与える。
23,撃退防御性,攻撃を受けるとき、ノックバックの距離が１マス減少。
23,撃退防御性,攻撃を受けるとき、ノックバックの距離が2マス減少。
23,撃退防御性,攻撃を受けるとき、ノックバックの距離が3マス減少。
23,撃退防御性,攻撃を受けるとき、ノックバックの距離が4マス減少。
23,撃退防御性,攻撃を受けるとき、ノックバックの距離が5マス減少。
24,精度採集,ブロックを採集するとき、ブロックそのものがドロップされる。
25,スピード,採取の速度が30％アップ。
25,スピード,採取の速度が70％アップ。
25,スピード,採取の速度が120％アップ。
25,スピード,採取の速度が180％アップ。
25,スピード,採取の速度が250％アップ。
26,ラッキー採掘,"ツルハシ：鉱物を採取する際、16％の確率で二倍ドロップになる。
シャペル：砂のドロップ率が20％になる。"
26,ラッキー採掘,"ツルハシ：鉱物を採取する際、16/8%の確率で二/三倍ドロップになる。
シャペル：砂のドロップ率が33％になる。"
26,ラッキー採掘,"ツルハシ：鉱物を採取する際、20/10/4%の確率で二/三/四倍ドロップになる。
シャペル：砂のドロップ率が100％になる。"
27,爆発射撃,弓矢が相手に命中するとブラストが起きる。
28,ドラゴンゆっくり落ちる,落下ダメージ-150、および落下速度がダウンする。
32,スピード,採取の速度が30％アップ。
30,速く降下（すね当て）,降りるときにShiftを押して、40%のスピードを増やして、15のダメージを減少される。
30,速く降下（すね当て）,降りるときにShiftを押して、55%のスピードを増やして、30のダメージを減少される。
30,速く降下（すね当て）,降りるときにShiftを押して、70%のスピードを増やして、9のダメージを減少される。
30,速く降下（すね当て）,降りるときにShiftを押して、85%のスピードを増やして、70のダメージを減少される。
30,速く降下（すね当て）,降りるときにShiftを押して、100%のスピードを増やして、100のダメージを減少される。
31,壁をはう（靴）,任意の側面にも、階段を上るのように移動できる。移動のスピードは40%減少されて、毎2秒に3の持久度はを消耗される。
31,壁をはう（靴）,任意の側面にも、階段を上るのように移動できる。移動のスピードは30%減少されて、毎2秒に3の持久度はを消耗される。
31,壁をはう（靴）,任意の側面にも、階段を上るのように移動できる。移動のスピードは25%減少されて、毎2秒に2の持久度はを消耗される。
31,壁をはう（靴）,任意の側面にも、階段を上るのように移動できる。移動のスピードは10%減少されて、毎秒に2の持久度はを消耗される。
31,壁をはう（靴）,任意の側面にも、階段を上るのように移動できる。毎2秒に1の持久度はを消耗される。
