ID,名字,类别名,描述
ID,Name,TypeName,Desc
10001,位置を地域に変換,共通,|@1|を中心点とし、サイズが（|@2|，|@3|，|@4|）の地域
10002,エリア偏移,共通,@1|の座標軸に沿って偏移（|@2|，|@3|，|@4|）
10003,エリア拡大,共通,|@1|の3軸のサイズがそれぞれX|@2|，Y|@3|，Z|@4|グリッド拡大
10005,指定座標位置,共通,座標値 X|@1|Y|@2|Z|@3|の位置
10006,位置偏移（元の位置を変更する）,共通,@1|の座標軸に沿って偏移（|@2|，|@3|，|@4|）
10007,エリアの中央位置,共通,@1|の中央位置
10008,エリア内のランダムな位置,共通,@1|のランダムな位置
10009,タイマー時間,共通,@1|の時間
10010,指定方向の射線の長さ,共通,|@1|から|@2|に|@3|グリッド投射する射線、阻止ブロックを開始位置に戻すまでの射線の長さ
10011,文字列結合,共通,@1|と|@2
10012,数値を文字列に変換,共通,@1|を文字列に変換する
10013,ブール値比較,共通,@1||@2||@3
10014,数値比較,共通,@1||@2||@3
10015,射線が当たるブロックタイプ,共通,|@1|から|@2|に|@3|グリッド投射、射線を阻止するブロックタイプ
10016,三軸座標系に対する方向,共通,@1|が向いたX|@2|，Y|@3|，Z|@4|の方向
10017,球面座標系に対する方向,共通,@1|が向いた方位角|@2|、仰角|@3|の方向
10018,プレイヤーの対象を選択,共通,@1|の対象を選択
10019,生物の対象を選択,共通,@1|の対象を選択
10020,投擲物の対象を選択,共通,@1|の対象を選択
10021,ドロップアイテムの対象を選択,共通,@1|の対象を選択
10022,音調が数値に変換,共通,@1|を数値に変換
10023,文字列比較,共通,@1||@2||@3
10024,位置偏移（元の位置を変更しない）,共通,@1|の座標軸に沿って偏移（|@2|，|@3|，|@4|）
10025,ブール値,共通,|@1
10026,数値,共通,|@1
10027,文字列,共通,|@1
10028,外観タイプ,共通,|@1
10029,ブール値グループ,共通,|@1
10030,数値グループ,共通,|@1
10031,文字列グループ,共通,|@1
10032,任意のグループの値の数を取得する,共通,|@1|の値の数を得る
10033,任意のグループの任意の値の数を取得する,共通,|@1|の|@2|の数を得る
10034,任意のグループの任意の値のIDを取得する,共通,|@1|の|@2|の番号を得る
10035,任意のグループの任意の値の存在を判断する,共通,@1|に|@2|がある
10036,任意のグループ指定IDの存在の判断,共通,@1|で番号は|@2|の存在値
10037,文字列を取り出す,共通,@1|の|@2|-|@3|位テキストを取り出す
