ID,名字,描述,购买提示,特别效果1描述,特别效果2描述,特别效果3描述,特别效果4描述,特别效果5描述,特别效果6描述
ID,Name,Desc,BuyTips,EffectDesc1,EffectDesc2,EffectDesc3,EffectDesc4,EffectDesc5,EffectDesc6
1,パンダー,ツンデレなパンダの男の子。シャキシャキした笹が大好物！,衣装カードはホーム果実で獲得できます！（課金は計画的に）,足跡：パンダの足跡が残ります。,アイコン：パンダーイコンを解放。,@Null@,,,
2,斉天小聖,申年春節期間限定販売。斉天小聖と一緒に年越ししよう！,衣装カードはホーム果実で獲得できます！（課金は計画的に）,足跡：雲の足跡が残ります。,アイコン：斉天小聖アイコンを解放。,@Null@,,,
3,バニービューティー,可愛らしいウサギの女の子。人参の足跡を残していきますよ。,衣装カードはホーム果実で獲得できます！（課金は計画的に）,足跡：人参の足跡が残ります。,アイコン：バニービューティーアイコンを解放。,@Null@,,,
4,ミジラ,ピピピ！原始の世界ではミジラにご注意！,衣装カードはホーム果実で獲得できます！（課金は計画的に）,足跡：恐竜の足跡が残ります。,アイコン：ミジラアイコンを解放。,@Null@,,,
5,瑠璃ちゃん,チリン！にゃんにゃんカフェへようこそ！,解放アイテムはホーム果実で獲得できます！（課金は計画的に）,足跡：ネコの足跡が残ります。,アイコン：瑠璃ちゃんアイコンを解放。,@Null@,,,
6,ジョージ,スポーツと音楽が好きな明るい少年。,解放アイテムはホーム果実で獲得できます！（課金は計画的に）,足跡：青いハートの形の足跡が残ります。,アイコン：ジョージアイコンを解放。,@Null@,,,
7,アニー,ダンスとスイーツが好きな元気少女。,解放アイテムはホーム果実で獲得できます！（課金は計画的に）,足跡：赤いハートの形の足跡が残ります。,アイコン：アニーアイコンを解放。,@Null@,,,
8,墨家のとび,由緒正しい墨家の一員。からくり作りのプロ。,@Null@,足跡：風の翼の足跡が残ります。,アイコン：からくり師アイコンを解放。,作成モード-特殊飛行動作,パターン飛行効果を作成する,,
9,ドラキュラ6世,吸血鬼の仲間になることを選んだ王室の末裔。とても優雅であり、冷酷。,解放アイテムはホーム果実で獲得できます！（課金は計画的に）,体エフェクト：体の周りに血の霧と蝙蝠が現れるよ！,アイコン：伯爵アイコンを解放。,@Null@,,,
10,ジングルベル,聖夜の谷で暮らすカモシカ。かわいい悪戯っ子。,@Null@,体エフェクト：クリスマスのオーラーが体を包み込む！,アイコン：鹿蝶子アイコンを解放。,足跡：クリスマスのカモシカの足跡が残ります。,,,
11,荒野の狩人スノー,極地からやって来た勇敢なスノーマン。鷹とだってお友達になれます。,@Null@,体エフェクト：体の周りに雪の結晶が現れるよ！,アイコン：スノーアイコンを解放。,足跡：雪玉の足跡が残ります。,,,
12,羽姫,人間界へ降りてきた仙女。慕容笑天と偶然居合わせる。,@Null@,体エフェクト：花びらが体の周りを舞うよ！,アイコン：羽姫アイコンを解放。,@Null@,,,
13,慕容笑天,山から下りて修行をしている隠者。羽姫と偶然居合わせる。,@Null@,体エフェクト：体から気を発するよ！,アイコン：慕容笑天アイコンを解放。,足跡：足跡が残ります。,,,
14,ジョイ-西部警長,ああ、すまない。俺の弾丸は君が嫌いみたいだ。,@Null@,体エフェクト：歩く度に西部カウボーイの砂ぼこりが舞い上がるよ！,アイコン：ジョイ-西部警長アイコンを解放。,足跡：星型バッジの足跡が残ります。,,,
15,バスケキャプテンのルーカス,素早い動き、華麗なダンクシュート、コートで輝くスター！,@Null@,@Null@,アイコン：スモールフォワード・ルーカスアイコンを解放。,足跡：バスケットボールの足跡が残ります。,,,
16,チアリーダーのクレール,ルーカスと同じように、コートで輝く彼女にみんなが釘付け！,@Null@,@Null@,アイコン：チアリーダーのクレールアイコンを解放。,足跡：カラフルなテープの足跡が残ります。,,,
17,西部ローズのルシー,んふっ、あたしの弾があなたのことを気に入っちゃったみたい。,@Null@,体エフェクト：魅惑のハートマークが体からほとばしる！,アイコン：ルーシーアイコンを解放。,@Null@,,,
18,黒帽船長ティーチ,マリー、俺は最も有名な海賊船長になって、海の果てにあるお宝を探しに行くぞ！,@Null@,@Null@,アイコン：船長アイコンを解放。,足跡：足跡が残ります。,,,
19,スイートハートのマリー,なら、わたしは最も有名な海賊船長のお供になるわ！,@Null@,体エフェクト：ピンク色の海の香りが漂うよ！,アイコン：アイコンを解放。,@Null@,,,
20,程錦衣,昨夜も吹くは東の風、祖国を振り返れぬ月明の中。,@Null@,足跡：足の底から風が吹き出します。,アイコン：アイコンを解放。,@Null@,,,
21,花小桜,昔は兄と一緒に花火を見たなぁ。今はどこにいるのかしら？,@Null@,体エフェクト：桃の花が舞うよ！,アイコン：アイコンを解放。,@Null@,,,
22,リリス,お菓子をくれないと悪戯しちゃうぞ！,@Null@,体エフェクト：巫女のオーラが漂うよ！,アイコン：アイコンを解放。,@Null@,,,
23,月無雙,あたしをイジめたら、ただじゃおかないからね！,@Null@,体エフェクト：青い花が漂うよ！,アイコン：饅頭アイコンを解放。,@Null@,,,
24,ドラゴンズ,妹弟子の世界は俺が守る！,@Null@,足跡：黒い煙の足跡が残ります。,アイコン：ドラゴンズアイコンを解放。,@Null@,,,
25,アーラン神,人間界にこんな美しい場所があったとは、ここは我が守る！,@Null@,体エフェクト：正義のオーラが漂うよ！,アイコン：アーラン神アイコンを解放。,@Null@,,,
26,マーマル,おかあちゃんがね、夢があった方が楽しいっていったの。,@Null@,体エフェクト：夢のオーラが体を包むよ！,アイコン：マーマルアイコンを解放。,@Null@,,,
27,Misoso,"「世界保護計画」主席環境保護夢構築士、郷里のために戦う。
 
 日々深刻化し続ける砂漠化に対して、『ミニワールド』二周年を機に、すべてのプレイヤーを代表してアルシャーの公益団体へ5万本の「梭梭」の樹を寄付しました。",世界保護計画から解放アイテムを獲得できます。,体エフェクト：体から木々の香りが漂うよ！,アイコン：リトルウッドマンアイコンを解放。,@Null@,,,
28,Mini-X,時空を守る少女。旅行と音楽が大好き。,@Null@,体エフェクト：体から電磁粒子が漂うよ！,アイコン：Mini-Xアイコンを解放。,@Null@,,,
29,Mini-T,冷たい体の奥にあるのは燃えるような魂！目標は宇宙の彼方！,@Null@,体エフェクト：背中から電磁粒子が漂うよ！,アイコン：Mini-Tアイコンを解放。,@Null@,,,
30,月子ちゃん,月の中に舞う小さな仙女。幸運な人だけがその姿を拝むことができるらしい。,@Null@,体エフェクト：体から三日月が漂うよ！,アイコン：アイコンを解放。,@Null@,,,
31,ハローパンプキン,強大な力を持つ謎の魔術師。奇術が記された宝典を持ち、よくわからない帽子を被っている。,@Null@,体エフェクト：魔法のオーラーが漂うよ！,アイコン：パンプキンマンアイコンを解放。,@Null@,,,
32,人魚プリンセス,ミニワールドで迷子になってしまった謎の海底王国の姫様。彼女を喜ばせた人は、その美しい歌声を聞けるとか。,@Null@,体エフェクト：体から水の雫が漂うよ！,アイコン：人魚プリンセスアイコンを解放。,足跡：貝殻の足跡が残ります。,,,
33,雪ちゃん,雪の結晶には命が宿っていて、お互い助け合うんだ、これは冬だけの秘密だよ。,@Null@,体エフェクト：体から雪の結晶が漂うよ！,アイコン：雪ちゃんアイコンを解放。,@Null@,,,
34,Popo,DodoとBoboはミジラの親友。弱い自分が嫌いだった二人だが、ある日、とある星で色の魔法を習得できると聞き、意気揚々とその星を目指し始めた。（ミニスター工場を購入し、Dodo、Boboのスキンを集めると、Popoのカメレオンスキンが解放されます！）,@Null@,体エフェクト：環境に応じて色が変わるよ！,アイコン：アイコンを解放。,@Null@,,,
35,Dodo,DodoとBoboはミジラの親友。弱い自分が嫌いだった二人だが、ある日、とある星で色の魔法を習得できると聞き、意気揚々とその星を目指し始めた。（ミニスター工場を購入し、Dodo、Boboのスキンを集めると、Popoのカメレオンスキンが解放されます！）,@Null@,アイコン：アイコンを解放。,@Null@,@Null@,,,
36,Bobo,DodoとBoboはミジラの親友。弱い自分が嫌いだった二人だが、ある日、とある星で色の魔法を習得できると聞き、意気揚々とその星を目指し始めた。（ミニスター工場を購入し、Dodo、Boboのスキンを集めると、Popoのカメレオンスキンが解放されます！）,@Null@,アイコン：アイコンを解放。,@Null@,@Null@,,,
37,桜ちゃん,夢の中から出てきたような女の子。心の赴くままに旅に出て、探検をしながら望むままの自分を見つけるの。,@Null@,アイコン：アイコンを解放。,足跡：花びらの足跡が残ります。,@Null@,,,
38,天蓬元帥,百戦錬磨の水軍大将。皆から天蓬元帥の生まれ変わりだと称えられている。,@Null@,体エフェクト：体から水しぶきがあがるよ！,アイコン：アイコンを解放。,足跡：水しぶきの足跡が残ります。,,,
39,Eva,正直者で優しいEva、星の杖を振りかざすと、思いやりと希望がミニ大陸のあちこちにこぼれ落ち、歴代の冒険者たちを守り続ける。（Evaはイベントでしか入手できません）,イベントから解放アイテムを獲得できます。,体エフェクト：体の周りに羽が漂うよ！,アイコン：アイコンを解放。,@Null@,,,
