ID,描述
ID,Desc
1,現在のステータスでは寝ることができません
2,この場所で寝ることはできません。ベッドが必要です
3,昼間に寝ることはできません
4,寝袋との距離が遠すぎます
5,ここは暑すぎるため、水を注すことができません。
6,炎プラネットに寝袋を設置することはできません
7,弾薬が不足しています
8,マップをアップロード中/ダウンロード中です。しばらくしてから再度お試しください
9,マップをダウンロード中です。しばらくしてから再度お試しください
10,セーブデータ数が上限に達しました。必要のないマップを削除してください
11,マップをシェアしました。早く仲間に知らせてダウンロードしてもらいましょう
12,インターネット接続が切れたためシェアできません。接続してから再度お試しください
13,マップを選択してください！
14,シェア中です。マップのアップロードが終わるまで入れません
15,このマップはまだダウンロードが完了していないため入れません
16,ダウンロード中のセーブデータを削除しますか？
17,"このマップを完全に削除しますか？
 #cef2d2d（マップのバックアップも削除されます）
 （削除すると元に戻せません）#n"
18,インターネットに繋がっていません。Wi-Fiを利用してマップをシェアしてください
19,インターネットに繋がっていません。Wi-Fiを利用してマップをダウンロードしてください
20,インターネットに繋がっていません。Wi-Fiを利用してマップを更新してください
21,"ご注意：モバイルネットワークを使用すると、ゲームのプレイと音声により多くのデータを消費します。続けますか？
 （Wi-Fiへの接続をおすすめします）"
22,ネットワーク接続が不安定なため、ダウンロードを中断しました。改めてWi-Fiに接続してから再度お試しください
23,これ以上マップがありません。あなたのマップをシェアしましょう
24,これ以上フォロー中のマップはありません
25,フォロー数が上限に達しました。フォローしているマップをいくつか削除してください
26,マップを追加しました。（フォロー中）でご確認ください
27,フォローをキャンセルしますか？
28,ダウンロードセーブデータが上限に達しました。必要のないマップを削除してください
29,マップのダウンロードが失敗しました。ネットワークを確認して再度お試しください
30,今日はすでにこのマップを評価済みです。評価は1日1回です
31,今日の「いいね」は使い切りました。明日またお試しください
32,制限ありマップ：大きさが固定されたランダム地形マップを作成します。ノーマル性能の端末に適しています
33,大型マップ：大きさに制限のない地形マップを作成します。高性能の端末に適しています
34,平坦地形：平らな地形のマップを作成します。建築を建てるのに適しています
35,作りたいアイテムを選択してください！
36,フレンドを削除しますか？
37,ネットワーク接続が不安定です。しばらくしてから再度お試しください
38,この仲間はすでにフレンドになっています
39,フレンド数が上限に達しました
40,自分をフレンドに加えることはできません
41,フレンド追加ができませんでした。しばらくしてから再度お試しください
42,このフレンドを削除しました
43,ゲーム内ではセーブデータマップをダウンロードできません。メイン画面に戻ってお試しください
44,近くにフレンドがいません。しばらくしてから再度探してみてください
45,キャラクターの名前には数字、アルファベット、漢字が使えます
46,このキャラクター名はすでに存在します（文字をタップすると入力できます）
47,上級設定
48,中級設定
49,初級設定
50,三人称視点
51,二人称視点
52,一人称視点
53,視野（遠）
54,視野（中）
55,視野（近）
56,チェストがいっぱいです！
57,アカウントタスクポイント：
58,なし
59,（サバイバル）
60,（創造）
61,@1が足りません
62,@1×@2を製作しました
63,フレンドを削除
64,@1があなたのフレンドになりました
65,エンチャント画面からドロップアウトしました
66,エンチャントに必要なスターが不足しています
67,エンチャントステータスがありません
