序号,日语
No,Name
1,UID
2,パスワード
3,pluginres\btn_text_jpn.png
4,UIDを覚える
5,読んで同意する
6,pluginres\btn_policy_jpn.png
7,質問を選んでください
8,答えを入力してください
9,pluginres\btn_num_jpn.png
10,一番印象深い人
11,大好きな食べ物
12,大好きな動物
13,一番行きたいところ
14,最初もらえたギフト
15,ラッキーナンバー
16,早めに遊ぶ
17,認証失敗
18,接続中
19,pluginres\btn_orange_e1_jpn.png
20,pluginres\btn_quickplay_jpn_h.png
21,pluginres\btn_quickplay_jpn_n.png
22,pluginres\option1_1_jpn.png
23,pluginres\option1_2_jpn.png
24,pluginres\option1_3_jpn.png
25,pluginres\en01.png
26,pluginres\en02.png
27,pluginres\en03.png
28,UIDの形式が正しくない
29,パスワードは空にできない
30,ユーザー契約に同意していない
31,答えを空にすることはできない
32,ミニワールドは更新中。進度 %d%%
33,pluginres\btn_orange_e1_jpn_h.png
34,pluginres\btn_orange_e1_jpn_s.png
35,14
36,安全通告
37,UID:%s にはパスワードが設定されています。アカウント安全性のため、パスワードでログインしてください！
38,ログイン
39,ログインを検証する
40,携帯電話
41,メールアドレス
42,認証コード入力
43,モバイル検証
44,メールボックス検証
45,送信
46,アカウントが安全であることを保証するには、最初に検証ログインしてください。
47,認証失敗。メールと認証コードを確認してください。
48,認証失敗。携帯番号と認証コードを確認してください。
49,送信（%d）
50,認証コードを送信しました
51,今のアカウントでこのプラットフォームにログインできない（複数のプラットフォームエラー）
