接口ID,日语,日语,日语,日语,日语,日语,日语
ID,TypeName,FunctionName,FunctionDesc,Desc1,Desc2,Desc3,Desc4
10001,ゲーム管理,doGameEnd,Game:doGameEnd(),nil,ErrorCode.OK,ゲームを終了,local result = Game:doGameEnd()
10002,ゲーム管理,setScriptVar,"Game:setScriptVar(index, val)","index:number index from 1 , val:number customized value",ErrorCode.OK,スクリプトの属性をカスタムに設定します,"local result = Game:setScriptVar(index, val)"
10003,ゲーム管理,getScriptVar,Game:getScriptVar(index),index:number index from 1 ,"ErrorCode.OK, val:number User Value",スクリプトの属性をカスタムに受け取ります。,local result = Game:getScriptVar(index)
10004,ゲーム管理,sendScriptVars2Client,Game:sendScriptVars2Client(),nil,ErrorCode.OK,スクリプトの属性をアップロードします,local result = Game:sendScriptVars2Client()
10005,ゲーム管理,addRenderGlobalEffect,Game:addRenderGlobalEffect(path),path:string,"ErrorCode.OK, effectid:number",新グローバルな効果,local result = Game:addRenderGlobalEffect(path)
10006,ゲーム管理,removeRenderGlobalEffect,Game:removeRenderGlobalEffect(effectid),effectid:number,ErrorCode.OK,グローバルな効果をクリア,local result = Game:removeRenderGlobalEffect(effectid)
10007,ゲーム管理,setRenderGlobalEffectPos,"Game:setRenderGlobalEffectPos(effectid, x, y, z)","effectid:number, x|y|z:number",ErrorCode.OK,グローバル効果の位置を設定,"local result = Game:setRenderGlobalEffectPos(effectid, x, y, z)"
10008,ゲーム管理,setRenderGlobalEffectScale,"Game:setRenderGlobalEffectScale(effectid, scalex, scaley, scalez)","effectid:number, scalex|scaley|scalez:number",ErrorCode.OK,グローバルな効果を縮んで設定する,"local result = Game:setRenderGlobalEffectScale(effectid, scalex, scaley, scalez)"
10009,ゲーム管理,msgBox,Game:msgBox(msg),,,メッセージボックス,local result = Game:msgBox(msg)
20001,ワールド管理,isDaytime,World:isDaytime(),none,"ErrorCode.OK, result:boolean",昼間かどうか,"local isDayTx = World:isDaytime()
if isDayTx~=ErrorCode.OK then --If it is night, then give the torch to players
        local itemId, itemCnt = 817, 2 --Torch id and numbers
        Player:gainItems(playerId, itemId, itemCnt, 1)
end"
20002,ワールド管理,isCustomGame,World:isCustomGame(),none,"ErrorCode.OK, result:boolean",カスタマイズゲームかどうか,"local result = World:isCustomGame()
if result==ErrorCode.OK then print('Customize mode') end"
20003,ワールド管理,isCreativeMode,World:isCreativeMode(),none,"ErrorCode.OK, result:boolean",創造モードかどうか,"local result = World:isCreativeMode()
if result==ErrorCode.OK then print('Creation mode') end"
20004,ワールド管理,isGodMode,World:isGodMode(),none,"ErrorCode.OK, result:boolean",マルチプレイヤー創造モード　または　DIY編集モード,"local result = World:isGodMode()
if result==ErrorCode.OK then print('Multiplayer mode') end"
20005,ワールド管理,isExtremityMode,World:isExtremityMode(),none,"ErrorCode.OK, result:boolean",ハードモード,"local result = World:isExtremityMode()
if result==ErrorCode.OK then print('Hardcore mode') end"
20006,ワールド管理,isFreeMode,World:isFreeMode(),none,"ErrorCode.OK, result:boolean",サバイバルモード - フリーモード,"local result = World:isFreeMode()
if result==ErrorCode.OK then print('Survival mode-Free mode') end"
20007,ワールド管理,isSurviveMode,World:isSurviveMode(),none,"ErrorCode.OK, result:boolean",シングルモードまたはサバイバルモード - フリーモード,"local result = World:isSurviveMode()
if result==ErrorCode.OK then print('Single Survival mode') end"
20008,ワールド管理,isCreateRunMode,World:isCreateRunMode(),none,"ErrorCode.OK, result:boolean",創造モードから生存モードに変わりました,"local result = World:isCreateRunMode()
if result==ErrorCode.OK then print('Survival mode, turned from creation mode') end"
20009,ワールド管理,isGameMakerMode,World:isGameMakerMode(),none,"ErrorCode.OK, result:boolean",DIY編集モード,"local result = World:isGameMakerMode()
if result==ErrorCode.OK then print('Customized edit mode') end"
20010,ワールド管理,isGameMakerRunMode,World:isGameMakerRunMode(),none,"ErrorCode.OK, result:boolean",DIY操作モード,"local result = World:isGameMakerRunMode()
if result==ErrorCode.OK then print('Customized operation mode') end"
20011,ワールド管理,getHours,World:getHours(),none,"ErrorCode.OK, result:number",現在時刻(h),"local result, dayTime = World:getHours()
if result==ErrorCode.OK then print('Current time:', dayTime) end"
20012,ワールド管理,getCameraEditState,World:getCameraEditState(),none,"ErrorCode.OK, state:number0Default，1Edit，2Test",視角編集状態を取得,"local result, state = World:getCameraEditState()
if result==ErrorCode.OK then print('Current view editing state:', state) end"
20013,ワールド管理,setCameraEditState,World:setCameraEditState(state),state:CameraEditState,ErrorCode.OK,視角編集状態を設定する,"--Get Camera(userdata)，Back to nil
local result, config = World:getCustomCameraConfig()
if result==ErrorCode.OK and config~=nil then --Customized view
        config:setOption(CAMERA_OPTION_INDEX_CONFIG_SET, CCG_FLATVIEW)
end"
20014,ワールド管理,getCustomCameraConfig,World:getCustomCameraConfig(),none,"ErrorCode.OK, config:CameraEditState",DIYカメラ配置を受け取る,local result = World:getCustomCameraConfig()
20015,ワールド管理,getRangeXZ,World:getRangeXZ(),none,"ErrorCode.OK, startX|startZ|endX|endZ:number",ブロック(chunk)の範囲を取得する,"local result, startX,startZ,endX,endZ = World:getRangeXZ()
if result==ErrorCode.OK then print('StartXZ=(',startX,', ',startZ,'), EndXZ=(',endX,', ',endZ,')')  end"
20016,ワールド管理,getActorsByBox,"World:getActorsByBox(objtype, x1, y1, z1, x2, y2, z2)","type:number designate type, x1|y1|z1:number starting point, x2|y2|z2:number ending point","ErrorCode.OK, num:number, objids:tableobjid array",指定された地域でのactorを獲得する,"local actorType = 0 --OBJ_TYPE_MONSTER
local x1, y1, z1 = -5, 1, -5
local x2, y2, z2 = 15, 9, 15
local ret, num, array = World:getActorsByBox(actorType, x1,y1,z1, x2,y2,z2)
if ret == ErrorCode.OK then print('Actors ===>> ', num, array) end"
20017,ワールド管理,getPlayerTotal,World:getPlayerTotal(alive),alive:number0 means being killed，1 means survival，default-1 means all the players,"ErrorCode.OK, num:number Number",すべてのプレイヤーを獲得する。生存状況をコントロールできます,local result = World:getPlayerTotal(alive)
20018,ワールド管理,getAllPlayers,World:getAllPlayers(alive),alive:number0 means being killed，1 means survival，default-1 means all the players,"ErrorCode.OK, num:number number, array:table player uin array",すべてのプレイヤーを獲得する。生存状況をコントロールできます,"local aliveType = -1 --Get all players data
local ret, num, array = World:getAllPlayers(aliveType)
if ret == ErrorCode.OK then print('Actors ===>> ', num, array) end"
20019,ワールド管理,randomOnePlayer,World:randomOnePlayer(alive),alive:number0 means being killed，1 means survival，default-1 means all the players,"ErrorCode.OK, uin:number",ランダムのプレイヤー,"local aliveType = 1 --Any survivors Id
local ret, playerId = World:randomOnePlayer(aliveType)
if ret == ErrorCode.OK then print('Player ===>> ', playerId) end"
20020,ワールド管理,despawnActor,World:despawnActor(objid),objid:number,ErrorCode.OK,actorを削除,"local ret, num, array = World:getActorsByBox(aType, x1,y1,z1, x2,y2,z2)
if array and #array>0 then --Remove Actor
        local result = World:despawnActor(array[#array])
        if result == ErrorCode.OK then print('Despawn the last actor') end
end"
20021,ワールド管理,spawnCreature,"World:spawnCreature(x, y, z, actorid, num)","x|y|z:number, mobid:number, num:number","ErrorCdoe.OK, objids:tableobjid array",生き物を生成する（モンスター、NPC、動物などを含む）,"local x, y, z = 6, 7, 8
local actorId, actorCnt = 3812, 2 --Little cow
local ret, objids = World:spawnCreature(x, y, z, actorId, actorCnt)
if objids and #objids>0 then
        for idx = 1, #objIds do --Set the Oxygen dependence
                Creature:setOxygenNeed(objids[idx], true)
        end 
end"
