ID,初始描述,选后描述
ID,DefaultDesc,AfterDesc
1,Yes,@Null@
2,No,@Null@
3,7時,@Null@
4,9時,@Null@
5,12時,@Null@
6,18時,@Null@
7,24時,@Null@
8,カスタマイズ,設定$Numポイント
9,デフォルト,@Null@
10,晴れのみ,@Null@
11,雨雪のみ,@Null@
12,1,@Null@
13,2,@Null@
14,3,@Null@
15,4,@Null@
16,5,@Null@
17,6,@Null@
18,0.1倍重力,@Null@
19,0.4倍重力,@Null@
20,0.6倍重力,@Null@
21,1倍重力(デフォルト),@Null@
22,5倍重力,@Null@
23,カスタム0.1-10,設定$Num
24,一人称視点,@Null@
25,三人称視点,@Null@
26,二人称視点,@Null@
27,一人称視点に固定,@Null@
28,三人称視点に固定,@Null@
29,二人称視点に固定,@Null@
30,ホストがワールドを開ける,@Null@
31,一定人数で自動開始,@Null@
32,なし,@Null@
33,時間制限なし,@Null@
34,2分間,@Null@
35,5分間,@Null@
36,10分間,@Null@
37,カスタム(1-999分間),設定$Num分
38,10分間,@Null@
39,50分間,@Null@
40,100分間,@Null@
41,カスタム(1-999分間),設定$Num分
42,すぐに復活！,@Null@
43,残り：5秒,@Null@
44,カスタム(1-999秒),設定$Num秒
45,5秒,@Null@
46,10秒,@Null@
47,無限,@Null@
48,音楽なし,@Null@
49,bgm1(加速ワールド),@Null@
50,bgm2(贤い),@Null@
51,bgm3(中華風),@Null@
52,bgm4(戦闘),@Null@
53,bgm5(孤独の神),@Null@
54,bgm6(改造雰囲気),@Null@
55,bgm7(Bomb！),@Null@
56,bgm8（サッカー場）,@Null@
57,フリー攻撃,@Null@
58,プレイヤーを攻撃禁止,@Null@
59,チーム間攻撃,@Null@
60,晴れ雨交差(デフォルト),@Null@
61,スコア不要,@Null@
62,デフォルトでマップ設定に従う,@Null@
63,チーム集合場所にランダム復活,@Null@
64,一番近いチーム集合場所に復活,@Null@
65,可視,@Null@
66,不可視,@Null@
67,普通にドロップ,@Null@
68,かばんを空にする,@Null@
69,アイテムを保留,@Null@
70,条件なしで自動開始,@Null@
71,全員可視,@Null@
72,味方のみ可視,@Null@
73,敵側のみ可視,@Null@
74,全員不可視,@Null@
75,デフォルト(スコアに基づく),@Null@
76,全員勝利,@Null@
77,全員敗北,@Null@
78,俯瞰視点に固定,@Null@
79,制限なし,@Null@
80,2,@Null@
81,5,@Null@
82,13,@Null@
83,カスタム(1-99),設定$Num
84,10,@Null@
85,20,@Null@
86,40,@Null@
87,カスタム(1-40),設定$Num
88,カスタマイズ視点に固定,@Null@
89,0,@Null@
90,120,@Null@
91,自由観戦,@Null@
92,スクリーンを従う,@Null@
93,スイッチできる,@Null@
94,箱を落ちる,@Null@
95,三人称視点2,@Null@
96,三人称視点に固定2,@Null@
105,俯瞰視点,
106,カスタマイズ視点,
107,悪天,
108,雪,
109,砂嵐,
110,嵐,
111,吹雪,
112,壺をドロップする,
